"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",1,6,5,50,"1","6","1-2-3-4-5-6","Elementwise","Padding","Elementwise-Padding-Convolution-Normalization-Elementwise-Padding",122502.,122813.03330000001,148853.,"{148853., 122639., 122824., 122669., 122629., 122813., 122649., 122854., 122807., 122845., 122733., 122737., 122778., 122813., 122785., 122767., 122752., 122922., 122632., 122502., 122714., 122734., 122698., 122691., 122681., 122737., 122846., 122770., 122795., 123386., 123332., 126247., 122938., 127147., 122819., 122598., 122752., 123340., 123387., 122662., 122650., 126023., 122728., 122671., 126692., 123145., 123116., 122940., 122857., 125169.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",7,12,5,50,"7","12","7-8-9-10-11-12","Convolution","Normalization","Convolution-Normalization-Elementwise-Padding-Convolution-Normalization",93183.,94097.3,102813.,"{102813., 94179., 94134., 94108., 93922., 94164., 94076., 94021., 94232., 94096., 94293., 94031., 94273., 94350., 94260., 94334., 94234., 95046., 94246., 95953., 94334., 94222., 94299., 94390., 94557., 94251., 94274., 94244., 94284., 94170., 94436., 94411., 94194., 94132., 93875., 93884., 93664., 93876., 93526., 93399., 93461., 93344., 93183., 93409., 93241., 93471., 93544., 93582., 93699., 93387.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",13,18,5,50,"13","14/1/5","13-14/1/1-14/1/2-14/1/3-14/1/4-14/1/5","Elementwise","Padding","Elementwise-Padding-Convolution-Normalization-Elementwise-Padding",36807.,36952.1,45978.,"{45978., 37071., 37142., 37034., 36979., 36863., 36867., 36976., 37021., 37022., 36898., 36811., 36924., 37038., 36918., 36897., 36931., 37109., 37055., 36917., 36910., 37134., 36807., 36839., 37197., 37360., 37042., 37137., 36927., 36972., 36893., 36980., 36974., 36924., 36939., 36845., 36937., 36832., 36831., 36831., 36829., 37117., 37030., 37022., 37101., 36832., 36844., 36879., 36829., 36949.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",19,19,0,50,"14/1/6","14/1/6","14/1/6","Convolution","Convolution","Convolution",8506.,8637.1667,17923.,"{17923., 9236., 9038., 8887., 8821., 8806., 8779., 8741., 8739., 8684., 8582., 8592., 8653., 8750., 8673., 8635., 8571., 8591., 8542., 8588., 8612., 8587., 8597., 8719., 8571., 8676., 8520., 8633., 8625., 8675., 8506., 8546., 8543., 8723., 8599., 8539., 8635., 8606., 8531., 8557., 8729., 8698., 8676., 8663., 8548., 8612., 8573., 8566., 8635., 8702.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",20,20,0,50,"14/1/7","14/1/7","14/1/7","Normalization","Normalization","Normalization",25965.,26066.533300000003,26184.,"{26175., 26044., 26014., 26060., 26080., 25999., 26097., 26114., 26080., 26117., 26100., 26112., 26123., 26005., 26184., 26047., 26085., 26107., 26103., 26047., 26106., 26068., 25986., 26090., 26033., 25965., 26098., 26094., 26003., 26024., 26094., 26094., 26096., 25990., 26085., 25971., 26053., 26092., 25994., 26115., 26038., 26092., 26008., 26057., 26052., 26042., 26002., 26042., 26016., 26082.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",21,26,5,50,"14/2","15/1/5","14/2-15/1/1-15/1/2-15/1/3-15/1/4-15/1/5","Total","Padding","Total-Padding-Convolution-Normalization-Elementwise-Padding",37238.,37502.1333,38080.,"{38080., 37540., 37632., 37591., 37395., 37441., 37367., 37333., 37315., 37330., 37319., 37364., 37506., 37386., 37383., 37521., 37550., 37675., 37499., 37487., 37371., 37238., 37282., 37536., 37496., 37313., 37477., 37814., 37447., 37501., 37586., 37466., 37475., 37646., 37488., 37565., 37715., 37606., 37607., 37760., 37768., 37599., 37481., 37844., 37522., 37715., 37442., 37709., 37468., 37302.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",27,27,0,50,"15/1/6","15/1/6","15/1/6","Convolution","Convolution","Convolution",8493.,8646.3333,9791.,"{9791., 9410., 9099., 8966., 8911., 8765., 8687., 8693., 8762., 8702., 8797., 8768., 8686., 8709., 8565., 8646., 8658., 8573., 8582., 8493., 8607., 8532., 8584., 8522., 8588., 8555., 8590., 8627., 8654., 8589., 8645., 8644., 8696., 8595., 8677., 8624., 8594., 8661., 8873., 8819., 8694., 8683., 8659., 8665., 8616., 8550., 8551., 8538., 8509., 8502.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",28,28,0,50,"15/1/7","15/1/7","15/1/7","Normalization","Normalization","Normalization",25978.,26068.9667,26196.,"{26196., 26124., 26168., 26168., 26095., 26135., 26150., 26153., 26063., 26178., 25994., 26059., 26096., 26094., 26090., 26003., 26041., 26022., 26097., 25984., 26091., 26104., 26044., 26050., 26098., 26088., 26064., 26036., 26060., 26042., 26106., 26132., 25988., 26004., 26037., 26077., 26032., 25978., 26042., 26022., 26017., 26104., 26036., 26068., 26094., 26038., 26099., 26032., 26007., 26098.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",29,34,5,50,"15/2","16/1/5","15/2-16/1/1-16/1/2-16/1/3-16/1/4-16/1/5","Total","Padding","Total-Padding-Convolution-Normalization-Elementwise-Padding",37135.,37296.2667,38053.,"{38053., 37547., 37214., 37438., 37276., 37372., 37383., 37369., 37141., 37308., 37583., 37357., 37245., 37328., 37250., 37245., 37299., 37255., 37259., 37263., 37307., 37334., 37482., 37394., 37294., 37200., 37504., 37245., 37238., 37207., 37267., 37135., 37479., 37294., 37378., 37168., 37325., 37328., 37160., 37320., 37292., 37307., 37438., 37302., 37135., 37179., 37268., 37238., 37292., 37271.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",35,35,0,50,"16/1/6","16/1/6","16/1/6","Convolution","Convolution","Convolution",8530.,8755.300000000001,9690.,"{9690., 9231., 9118., 9043., 8814., 8752., 8778., 8712., 8705., 8657., 8675., 8699., 8683., 8595., 8648., 8766., 8657., 8608., 8674., 8636., 8588., 8530., 8588., 8758., 8705., 8807., 8758., 8840., 8882., 8684., 8728., 8786., 8725., 8765., 8767., 8756., 8792., 8696., 8751., 8769., 8802., 8932., 8903., 8907., 8931., 8728., 8913., 8759., 8830., 8869.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",36,36,0,50,"16/1/7","16/1/7","16/1/7","Normalization","Normalization","Normalization",26009.,26077.7333,26189.,"{26083., 26100., 26057., 26092., 26126., 26095., 26125., 26110., 26158., 26055., 26051., 26052., 26057., 26041., 26056., 26061., 26130., 26076., 26086., 26102., 26050., 26083., 26102., 26108., 26061., 26094., 26089., 26033., 26039., 26068., 26050., 26119., 26025., 26104., 26009., 26103., 26050., 26027., 26053., 26110., 26069., 26129., 26120., 26085., 26071., 26063., 26028., 26071., 26189., 26085.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",37,42,5,50,"16/2","17/1/5","16/2-17/1/1-17/1/2-17/1/3-17/1/4-17/1/5","Total","Padding","Total-Padding-Convolution-Normalization-Elementwise-Padding",37732.,37928.6667,38272.,"{38272., 38003., 37832., 37828., 37767., 37892., 37951., 37840., 37732., 37844., 37952., 38239., 38161., 37991., 37831., 37903., 37941., 37888., 37834., 37916., 37925., 37859., 37769., 37795., 37948., 37937., 37885., 38070., 38081., 38006., 38039., 38198., 38078., 37893., 37947., 37839., 37858., 37747., 37936., 37908., 38024., 38174., 37987., 37879., 37994., 37914., 38045., 37920., 38051., 37880.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",43,43,0,50,"17/1/6","17/1/6","17/1/6","Convolution","Convolution","Convolution",8952.,9062.633300000001,9865.,"{9865., 9524., 9301., 9369., 9290., 9199., 9302., 9135., 9045., 9026., 9202., 9070., 9091., 9049., 9113., 9090., 9205., 9192., 9185., 9054., 8995., 9187., 8972., 8974., 9021., 9067., 9001., 9069., 9086., 9058., 8960., 8975., 8961., 8998., 9007., 9040., 9083., 9109., 9034., 9019., 9033., 9008., 8975., 8983., 9034., 9089., 9047., 9031., 8952., 8960.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",44,44,0,50,"17/1/7","17/1/7","17/1/7","Normalization","Normalization","Normalization",25990.,26057.033300000003,26196.,"{26133., 26184., 26196., 26139., 26094., 26184., 26144., 26095., 26058., 26047., 26095., 26044., 26011., 26044., 26099., 26122., 26180., 26020., 26059., 26093., 26029., 26033., 26026., 26047., 26001., 26013., 26040., 26056., 26050., 26032., 26045., 25992., 26042., 26090., 26043., 26066., 25990., 25992., 26080., 26021., 26061., 26038., 26038., 26024., 26033., 26019., 26095., 26039., 26102., 26114.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",45,50,5,50,"17/2","18/1/5","17/2-18/1/1-18/1/2-18/1/3-18/1/4-18/1/5","Total","Padding","Total-Padding-Convolution-Normalization-Elementwise-Padding",36987.,37183.3333,37980.,"{37980., 37583., 37538., 37539., 37277., 37350., 37583., 37406., 37409., 37239., 37235., 37135., 37099., 37077., 37216., 37364., 37174., 37101., 37215., 37077., 37328., 37275., 37174., 37154., 37025., 37098., 37070., 37024., 37023., 37166., 37008., 36987., 37239., 37160., 37259., 37171., 37046., 37068., 37059., 37130., 37336., 37195., 37099., 37139., 37396., 37350., 37157., 37062., 37155., 37009.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",51,51,0,50,"18/1/6","18/1/6","18/1/6","Convolution","Convolution","Convolution",8578.,8700.6333,16930.,"{9570., 9275., 9053., 8919., 8898., 8831., 8729., 8698., 8769., 8653., 8697., 8690., 8755., 8689., 8640., 8618., 8686., 8671., 8763., 8621., 8660., 8828., 8749., 8635., 8691., 8870., 8816., 16930., 8757., 8674., 8646., 8863., 8668., 8641., 8663., 8599., 8608., 8650., 8695., 8642., 8785., 8860., 8722., 8653., 8628., 8584., 8608., 8578., 8609., 8639.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",52,52,0,50,"18/1/7","18/1/7","18/1/7","Normalization","Normalization","Normalization",25977.,26067.7667,26218.,"{26157., 26205., 26169., 26119., 26218., 26160., 26175., 26095., 26044., 26103., 26087., 26115., 26085., 26014., 26026., 26080., 26128., 26097., 26003., 26103., 26030., 26056., 25986., 26099., 26102., 26024., 26022., 25986., 26089., 26030., 26018., 26081., 26031., 26039., 26022., 26028., 25977., 26040., 26092., 26048., 26101., 26008., 26095., 26034., 26050., 26093., 26106., 26037., 26043., 26095.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",53,58,5,50,"18/2","19/1/5","18/2-19/1/1-19/1/2-19/1/3-19/1/4-19/1/5","Total","Padding","Total-Padding-Convolution-Normalization-Elementwise-Padding",37187.,37352.7333,38184.,"{38184., 37731., 37530., 37729., 37291., 37353., 37399., 37365., 37357., 37458., 37433., 37409., 37553., 37318., 37358., 37493., 37314., 37237., 37187., 37254., 37293., 37384., 37302., 37306., 37419., 37274., 37206., 37273., 37385., 37389., 37197., 37321., 37254., 37303., 37238., 37248., 37245., 37195., 37304., 37359., 37401., 37234., 37604., 37509., 37371., 37480., 37426., 37502., 37320., 37443.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",59,59,0,50,"19/1/6","19/1/6","19/1/6","Convolution","Convolution","Convolution",8420.,8587.4333,9723.,"{9723., 9310., 9027., 8921., 8935., 8969., 8920., 8790., 8690., 8624., 8613., 8542., 8606., 8636., 8608., 8655., 8620., 8576., 8589., 8560., 8578., 8559., 8618., 8420., 8525., 8597., 8548., 8552., 8538., 8565., 8466., 8507., 8529., 8538., 8550., 8578., 8640., 8490., 8578., 8643., 8752., 8601., 8573., 8551., 8432., 8540., 8528., 8584., 8579., 8560.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",60,60,0,50,"19/1/7","19/1/7","19/1/7","Normalization","Normalization","Normalization",25972.,26076.2,26255.,"{26103., 26252., 26186., 26201., 26182., 26186., 26255., 26074., 26110., 26103., 26049., 26096., 26042., 26054., 26107., 26035., 26101., 26097., 26071., 26089., 26027., 26092., 26089., 26063., 26105., 25985., 26004., 26098., 26041., 26063., 26090., 25972., 26034., 26093., 26101., 26049., 26032., 26051., 26091., 26060., 25988., 26041., 26095., 26053., 26039., 26099., 26086., 26082., 26067., 26047.}"
"CycleGAN Photo-to-Cezanne Translation","c5.xlarge",61,66,5,50,"19/2","20/1/5","19/2-20/1/1-20/1/2-20/1/3-20/1/4-20/1/5","Total","Padding","Total-Padding-Convolution-Normalization-Elementwise-Padding",36974.,37238.3,37926.,"{37926., 37424., 37313., 37199., 37226., 37376., 37333., 37223., 37068., 37154., 37232., 37221., 37214., 37305., 37215., 37507., 37392., 37248., 37258., 37460., 37425., 37425., 37428., 37280., 37177., 37278., 37294., 37114., 37172., 37307., 37297., 37176., 37279., 37143., 37095., 37087., 37080., 37200., 37218., 37122., 37268., 37061., 37156., 37119., 37018., 36974., 37175., 37398., 37456., 37212.}"
