"start_index","end_index","start_name","end_name","min_start_index_time","mean_start_index_time","max_start_index_time","min_end_index_time","mean_end_index_time","max_end_index_time","min_path_time","mean_path_time","max_path_time","min_path_minus_start_time","mean_path_minus_start_time","max_path_minus_start_time","min_path_minus_end_time","mean_path_minus_end_time","max_path_minus_end_time","raw_start_index_time","raw_end_index_time","raw_path_time"
1,2,"1","2",56.,57.1,102.,28.,31.2667,49.,64.,64.9667,101.,8.,7.866700000000001,-1.,33.7,33.7,52.,"{102., 64., 59., 57., 58., 59., 57., 57., 57., 57., 58., 58., 58., 57., 60., 57., 57., 57., 57., 56., 57., 57., 57., 57., 57., 56., 57., 57., 58., 57., 58., 57., 57., 57., 57., 57., 57., 57., 58., 57., 57., 57., 57., 57., 57., 58., 57., 57., 57., 57.}","{49., 30., 28., 29., 29., 34., 34., 34., 29., 29., 33., 28., 28., 33., 29., 33., 33., 29., 33., 33., 28., 33., 33., 33., 28., 28., 28., 33., 33., 33., 28., 32., 28., 33., 29., 28., 33., 33., 28., 33., 33., 33., 33., 33., 28., 29., 33., 32., 28., 33.}","{101., 71., 67., 66., 66., 65., 64., 65., 65., 65., 65., 80., 65., 65., 64., 65., 65., 64., 65., 65., 65., 65., 64., 64., 64., 65., 64., 64., 64., 65., 65., 65., 65., 65., 65., 65., 65., 64., 65., 65., 64., 66., 65., 65., 65., 65., 65., 65., 65., 65.}"
2,3,"2","3",28.,32.7333,46.,45.,45.400000000000006,59.,47.,48.,65.,19.,15.2667,19.,2.6,2.6,6.,"{46., 37., 29., 28., 28., 33., 34., 29., 33., 34., 33., 29., 34., 33., 33., 33., 33., 29., 33., 29., 33., 33., 33., 28., 29., 33., 34., 33., 33., 33., 33., 29., 33., 37., 33., 28., 33., 33., 33., 33., 33., 33., 33., 29., 33., 33., 33., 33., 33., 33.}","{58., 48., 47., 46., 46., 46., 45., 45., 45., 45., 46., 46., 45., 46., 46., 46., 46., 45., 46., 46., 45., 46., 45., 45., 45., 45., 46., 45., 45., 46., 46., 45., 46., 59., 47., 45., 46., 45., 45., 45., 45., 45., 45., 45., 45., 45., 45., 45., 45., 45.}","{65., 51., 49., 48., 48., 48., 48., 48., 48., 48., 48., 48., 55., 51., 47., 48., 48., 48., 48., 48., 47., 47., 48., 48., 48., 48., 48., 48., 48., 48., 48., 47., 48., 48., 48., 48., 48., 48., 48., 47., 47., 48., 48., 48., 48., 48., 47., 47., 48., 48.}"
3,4,"3","4",45.,46.,59.,84.,86.9333,134.,99.,101.7667,163.,54.,55.7667,104.,14.833300000000001,14.833300000000001,29.,"{59., 50., 47., 47., 46., 46., 45., 46., 46., 46., 45., 46., 46., 46., 45., 45., 46., 46., 46., 46., 45., 46., 46., 46., 46., 46., 46., 46., 46., 46., 45., 46., 46., 46., 46., 46., 46., 46., 46., 46., 46., 46., 46., 46., 46., 46., 46., 46., 46., 47.}","{134., 90., 86., 86., 86., 87., 86., 86., 85., 86., 86., 85., 85., 85., 87., 86., 86., 85., 85., 86., 86., 86., 85., 85., 86., 86., 85., 86., 92., 121., 97., 98., 95., 114., 98., 97., 96., 97., 96., 114., 86., 86., 86., 85., 86., 85., 86., 86., 85., 84.}","{163., 110., 105., 103., 100., 100., 100., 101., 100., 99., 100., 100., 100., 100., 99., 143., 115., 114., 115., 114., 114., 112., 114., 113., 129., 100., 101., 100., 101., 101., 101., 100., 100., 100., 100., 100., 99., 109., 103., 100., 100., 100., 100., 100., 101., 102., 101., 101., 101., 100.}"
4,5,"4","5",84.,86.4667,127.,26.,26.166700000000002,44.,86.,87.9,140.,2.,1.4333,13.,61.7333,61.7333,96.,"{127., 92., 86., 85., 86., 86., 87., 86., 84., 85., 84., 86., 87., 84., 85., 86., 87., 87., 85., 85., 86., 86., 85., 91., 86., 85., 86., 85., 86., 86., 85., 84., 85., 85., 84., 86., 85., 85., 84., 84., 112., 97., 95., 95., 96., 96., 97., 96., 96., 95.}","{44., 29., 27., 27., 27., 26., 26., 27., 26., 26., 26., 26., 26., 26., 26., 26., 27., 26., 26., 26., 26., 26., 26., 27., 26., 26., 27., 26., 26., 26., 26., 26., 26., 27., 38., 27., 27., 26., 26., 26., 26., 27., 26., 27., 26., 26., 26., 26., 26., 26.}","{140., 96., 88., 89., 87., 98., 89., 90., 88., 87., 87., 87., 88., 88., 87., 89., 89., 88., 88., 88., 88., 87., 87., 86., 87., 88., 88., 88., 87., 87., 87., 87., 88., 89., 88., 88., 87., 87., 88., 88., 87., 88., 87., 87., 94., 124., 99., 98., 99., 110.}"
5,6,"5","6",26.,26.133300000000002,57.,35.,36.,47.,36.,37.,52.,10.,10.8667,-5.,1.,1.,5.,"{57., 30., 27., 26., 27., 26., 27., 26., 26., 27., 26., 26., 26., 26., 27., 27., 26., 27., 26., 26., 27., 26., 26., 26., 26., 26., 26., 27., 26., 26., 27., 26., 27., 26., 26., 27., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26.}","{47., 39., 37., 37., 36., 36., 36., 35., 35., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 44., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 44., 36., 35., 36., 36., 36., 36., 36., 35., 35., 35.}","{52., 41., 39., 38., 37., 37., 37., 37., 37., 36., 37., 37., 37., 37., 37., 37., 37., 37., 37., 37., 37., 37., 38., 37., 37., 37., 37., 37., 37., 37., 37., 37., 37., 37., 36., 36., 36., 36., 36., 36., 37., 37., 37., 37., 37., 37., 37., 37., 37., 36.}"
6,7,"6","7",35.,35.8667,48.,25.,26.,43.,35.,36.,49.,0.,0.1333,1.,10.,10.,6.,"{48., 38., 37., 36., 36., 36., 36., 35., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 35., 35., 36., 36., 36., 36., 36., 36., 36., 35., 36., 36., 36., 36., 36., 36., 36., 35., 35., 36., 36., 35., 36., 35., 35., 36., 35., 35., 35., 35., 35., 36.}","{43., 29., 27., 27., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 25., 26., 26., 25., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 25., 26., 26., 25., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26.}","{49., 40., 37., 37., 37., 37., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 36., 37., 36., 36., 35., 36., 36., 37., 36., 36., 35., 35.}"
7,8,"7","8",26.,26.,43.,41.,41.3667,82.,61.,62.2,106.,35.,36.2,63.,20.8333,20.8333,24.,"{43., 30., 27., 26., 26., 26., 26., 26., 26., 26., 26., 32., 26., 27., 26., 26., 26., 26., 26., 26., 26., 26., 26., 27., 26., 26., 26., 26., 26., 36., 27., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 27., 26., 26., 26., 26., 26., 26., 26., 26.}","{82., 49., 43., 43., 42., 42., 41., 41., 43., 42., 41., 41., 42., 41., 41., 41., 42., 41., 42., 42., 41., 41., 42., 41., 41., 56., 43., 41., 41., 42., 41., 41., 42., 41., 42., 41., 41., 42., 41., 41., 41., 41., 42., 41., 41., 41., 41., 41., 41., 42.}","{106., 71., 65., 63., 64., 63., 64., 62., 62., 63., 63., 62., 62., 62., 62., 61., 62., 62., 62., 61., 62., 62., 62., 62., 62., 62., 62., 63., 62., 63., 64., 62., 61., 62., 62., 62., 63., 62., 62., 61., 64., 61., 62., 61., 62., 61., 63., 63., 62., 62.}"
8,9,"8","9",41.,41.4,81.,25.,25.666700000000002,42.,42.,42.2667,92.,1.,0.8667,11.,16.6,16.6,50.,"{81., 48., 44., 42., 42., 42., 42., 41., 42., 42., 41., 41., 42., 41., 41., 42., 42., 42., 41., 41., 41., 42., 41., 42., 42., 41., 41., 41., 41., 42., 41., 41., 41., 41., 41., 42., 41., 41., 42., 41., 41., 41., 42., 41., 43., 41., 41., 42., 41., 41.}","{42., 28., 27., 26., 26., 26., 25., 25., 25., 25., 26., 26., 26., 26., 25., 25., 25., 25., 25., 26., 25., 26., 26., 26., 26., 26., 25., 25., 26., 26., 25., 25., 26., 26., 26., 26., 26., 25., 25., 26., 25., 25., 26., 26., 25., 26., 32., 26., 25., 26.}","{92., 50., 44., 43., 43., 43., 42., 42., 43., 42., 42., 42., 42., 42., 43., 42., 43., 42., 56., 43., 43., 42., 42., 43., 42., 42., 42., 42., 42., 42., 42., 42., 43., 42., 43., 42., 42., 43., 42., 43., 42., 42., 42., 43., 42., 42., 42., 42., 42., 42.}"
9,10,"9","10",25.,26.,42.,27.,27.666700000000002,48.,27.,28.,54.,2.,2.,12.,0.33330000000000004,0.33330000000000004,6.,"{42., 29., 27., 26., 26., 27., 26., 26., 27., 26., 26., 26., 26., 26., 26., 26., 26., 26., 26., 25., 26., 26., 26., 26., 26., 26., 26., 26., 27., 26., 26., 26., 26., 26., 26., 26., 26., 25., 25., 25., 25., 25., 26., 26., 25., 26., 25., 26., 26., 26.}","{48., 31., 29., 28., 28., 28., 28., 28., 28., 28., 27., 27., 27., 27., 28., 28., 27., 27., 28., 28., 28., 28., 27., 27., 28., 27., 27., 28., 27., 27., 28., 27., 27., 28., 28., 28., 28., 28., 27., 41., 29., 27., 27., 28., 27., 28., 28., 27., 28., 27.}","{49., 32., 29., 28., 28., 27., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 28., 27., 27., 27., 27., 27., 28., 28., 27., 28., 28., 28., 28., 28., 28., 27., 28., 54., 32., 32., 38., 38., 28., 28., 28., 28., 28., 28., 28., 29., 28., 28., 42.}"
10,11,"10","11",27.,27.2333,46.,25.,25.6,43.,27.,28.,60.,0.,0.7667,14.,2.4,2.4,17.,"{46., 31., 29., 28., 28., 28., 37., 27., 27., 28., 27., 27., 28., 27., 28., 27., 27., 27., 27., 27., 28., 27., 27., 28., 27., 28., 27., 27., 27., 27., 27., 27., 27., 27., 27., 27., 28., 27., 28., 27., 27., 27., 28., 27., 27., 27., 28., 27., 27., 27.}","{43., 29., 26., 26., 26., 26., 26., 25., 25., 26., 25., 25., 26., 25., 26., 25., 26., 26., 25., 26., 25., 25., 26., 26., 25., 25., 26., 25., 25., 26., 26., 25., 26., 25., 25., 26., 26., 25., 26., 26., 25., 25., 26., 25., 25., 26., 26., 25., 26., 26.}","{60., 31., 29., 28., 28., 28., 28., 29., 28., 28., 28., 28., 28., 28., 28., 29., 28., 28., 28., 28., 28., 27., 28., 28., 28., 28., 28., 28., 28., 28., 28., 29., 28., 28., 28., 28., 29., 28., 28., 28., 28., 29., 28., 28., 28., 28., 29., 28., 28., 28.}"
