"start_index","end_index","start_name","end_name","min_start_index_time","mean_start_index_time","max_start_index_time","min_end_index_time","mean_end_index_time","max_end_index_time","min_path_time","mean_path_time","max_path_time","min_path_minus_start_time","mean_path_minus_start_time","max_path_minus_start_time","min_path_minus_end_time","mean_path_minus_end_time","max_path_minus_end_time","raw_start_index_time","raw_end_index_time","raw_path_time"
1,2,"conv1","relu_conv1",1206.,1250.6000000000001,1605.,299.,300.7,377.,1239.,2100.9,2479.,33.,850.3000000000001,874.,1800.2,1800.2,2102.,"{1605., 1323., 1298., 1253., 1297., 1322., 1239., 1262., 1265., 1244., 1231., 1245., 1303., 1299., 1231., 1235., 1232., 1232., 1236., 1232., 1289., 1304., 1226., 1231., 1262., 1252., 1266., 1250., 1264., 1283., 1245., 1241., 1226., 1235., 1251., 1233., 1285., 1298., 1207., 1206., 1229., 1236., 1238., 1241., 1285., 1300., 1248., 1232., 1230., 1239.}","{377., 359., 307., 302., 301., 301., 301., 301., 300., 299., 300., 301., 299., 301., 300., 314., 301., 301., 300., 299., 300., 300., 301., 300., 300., 310., 301., 301., 313., 301., 300., 300., 301., 301., 300., 300., 301., 301., 301., 300., 301., 314., 301., 301., 299., 299., 301., 302., 301., 300.}","{2421., 2347., 2383., 2404., 2362., 2362., 2350., 2471., 2345., 2355., 2353., 2425., 2354., 2345., 2358., 2377., 2352., 2357., 2344., 2363., 2409., 2342., 2373., 2362., 2457., 2345., 2357., 2357., 2479., 2389., 2350., 2374., 2087., 1247., 1276., 1276., 1247., 1243., 1243., 1306., 1346., 1256., 1277., 1268., 1257., 1267., 1239., 1306., 1346., 1242.}"
2,3,"relu_conv1","pool1",297.,300.36670000000004,342.,1550.,1558.0333,1620.,1789.,1815.0667,1886.,1492.,1514.7,1544.,257.0333,257.0333,266.,"{342., 325., 309., 301., 302., 303., 302., 301., 303., 308., 304., 303., 315., 300., 297., 297., 299., 298., 299., 297., 299., 297., 297., 298., 297., 314., 302., 300., 298., 299., 299., 300., 300., 300., 300., 300., 300., 301., 301., 310., 300., 300., 308., 300., 301., 299., 300., 299., 298., 301.}","{1567., 1593., 1552., 1550., 1585., 1618., 1567., 1555., 1551., 1564., 1620., 1573., 1553., 1551., 1563., 1553., 1563., 1559., 1552., 1565., 1552., 1552., 1561., 1551., 1575., 1553., 1551., 1561., 1553., 1566., 1560., 1552., 1564., 1553., 1565., 1552., 1559., 1565., 1553., 1551., 1562., 1552., 1593., 1560., 1552., 1561., 1553., 1563., 1552., 1560.}","{1848., 1840., 1807., 1858., 1886., 1820., 1803., 1822., 1806., 1846., 1825., 1803., 1821., 1809., 1821., 1811., 1823., 1808., 1819., 1802., 1842., 1820., 1808., 1820., 1789., 1822., 1825., 1819., 1799., 1819., 1804., 1813., 1817., 1800., 1822., 1806., 1819., 1808., 1823., 1804., 1816., 1802., 1809., 1819., 1806., 1819., 1801., 1819., 1812., 1815.}"
3,4,"pool1","fire2/squeeze1x1",1550.,1559.3333,1633.,63.,66.6333,126.,1652.,1670.9,1759.,102.,111.56670000000001,126.,1604.2667000000001,1604.2667000000001,1633.,"{1573., 1569., 1551., 1550., 1633., 1551., 1580., 1553., 1574., 1572., 1553., 1629., 1559., 1553., 1599., 1554., 1552., 1562., 1551., 1575., 1552., 1552., 1561., 1552., 1567., 1561., 1551., 1587., 1552., 1566., 1551., 1559., 1564., 1553., 1552., 1629., 1552., 1597., 1560., 1552., 1563., 1552., 1563., 1552., 1560., 1565., 1620., 1631., 1552., 1551.}","{126., 72., 67., 80., 67., 65., 63., 65., 64., 63., 64., 65., 64., 64., 64., 65., 64., 65., 64., 65., 72., 97., 72., 73., 72., 71., 72., 71., 71., 71., 72., 72., 72., 72., 71., 80., 64., 64., 63., 64., 64., 64., 63., 64., 64., 64., 64., 64., 64., 63.}","{1711., 1711., 1685., 1692., 1659., 1676., 1692., 1660., 1667., 1662., 1672., 1658., 1715., 1660., 1659., 1670., 1657., 1672., 1696., 1656., 1670., 1658., 1671., 1658., 1726., 1703., 1656., 1669., 1660., 1669., 1712., 1673., 1683., 1656., 1669., 1657., 1727., 1657., 1683., 1710., 1655., 1669., 1730., 1672., 1652., 1654., 1682., 1660., 1759., 1659.}"
4,5,"fire2/squeeze1x1","fire2/relu_squeeze1x1",62.,66.4333,126.,40.,41.,63.,96.,98.4,160.,34.,31.966700000000003,34.,57.400000000000006,57.400000000000006,97.,"{126., 71., 66., 65., 65., 65., 64., 63., 63., 65., 64., 64., 64., 64., 63., 62., 64., 64., 64., 64., 63., 63., 64., 65., 64., 65., 65., 64., 64., 73., 97., 73., 72., 72., 73., 73., 71., 72., 72., 70., 88., 74., 72., 83., 76., 65., 64., 65., 65., 65.}","{63., 45., 42., 42., 41., 41., 41., 52., 43., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 40., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 40., 41., 42., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41.}","{160., 103., 98., 97., 97., 97., 97., 96., 114., 98., 97., 97., 96., 96., 96., 96., 96., 96., 96., 124., 111., 109., 108., 108., 108., 109., 109., 108., 108., 125., 96., 96., 96., 97., 96., 96., 97., 96., 96., 96., 96., 96., 96., 96., 97., 97., 107., 99., 97., 96.}"
5,6,"fire2/relu_squeeze1x1","fire2/expand1x1",41.,41.2,59.,136.,139.63330000000002,176.,173.,175.,212.,132.,133.8,153.,35.3667,35.3667,36.,"{59., 45., 42., 42., 41., 41., 42., 41., 42., 41., 42., 41., 41., 41., 42., 41., 42., 42., 41., 41., 41., 41., 41., 41., 42., 41., 42., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 42., 41., 42., 41., 41., 41., 41., 41., 43., 41., 41., 42., 41.}","{176., 147., 141., 142., 141., 141., 140., 139., 141., 142., 140., 150., 141., 139., 139., 142., 140., 140., 139., 139., 140., 139., 140., 139., 139., 139., 138., 139., 138., 139., 138., 139., 136., 139., 140., 139., 139., 138., 138., 155., 138., 139., 139., 137., 140., 138., 140., 168., 153., 153.}","{212., 197., 190., 190., 197., 176., 175., 174., 176., 176., 174., 176., 175., 174., 191., 175., 173., 175., 174., 175., 175., 174., 173., 173., 175., 173., 176., 175., 175., 176., 175., 176., 175., 175., 174., 173., 175., 186., 174., 174., 173., 176., 173., 174., 175., 174., 175., 175., 176., 176.}"
6,7,"fire2/expand1x1","fire2/relu_expand1x1",138.,140.3,174.,96.,97.6333,120.,263.,268.0333,310.,125.,127.7333,136.,170.4,170.4,190.,"{174., 146., 143., 142., 141., 141., 140., 140., 140., 139., 140., 149., 141., 141., 139., 140., 138., 140., 138., 139., 141., 140., 138., 138., 139., 138., 139., 140., 139., 139., 138., 138., 139., 172., 153., 154., 152., 151., 168., 154., 157., 140., 139., 140., 139., 140., 140., 140., 140., 140.}","{120., 103., 100., 99., 100., 99., 99., 99., 97., 98., 97., 98., 99., 99., 98., 97., 97., 98., 97., 97., 97., 98., 98., 97., 97., 97., 96., 98., 110., 98., 97., 97., 97., 97., 98., 98., 96., 97., 97., 97., 105., 99., 97., 97., 97., 98., 98., 98., 97., 97.}","{307., 277., 268., 283., 268., 266., 265., 295., 294., 295., 294., 300., 264., 265., 263., 264., 266., 280., 263., 267., 266., 265., 264., 264., 265., 265., 266., 264., 263., 267., 265., 266., 279., 268., 265., 265., 264., 265., 265., 266., 264., 264., 264., 263., 303., 296., 295., 310., 281., 265.}"
7,8,"fire2/relu_expand1x1","fire2/expand3x3",96.,97.30000000000001,118.,542.,546.3667,637.,"","","","","","","","","","{118., 103., 99., 97., 97., 98., 98., 99., 110., 98., 96., 98., 96., 97., 97., 98., 97., 97., 98., 96., 97., 97., 96., 97., 97., 97., 96., 98., 97., 97., 98., 97., 98., 97., 96., 97., 97., 97., 97., 97., 107., 102., 98., 97., 97., 97., 98., 97., 113., 97.}","{611., 564., 550., 548., 565., 549., 547., 546., 545., 545., 625., 637., 547., 546., 545., 546., 545., 545., 556., 546., 544., 543., 544., 543., 545., 558., 546., 545., 631., 612., 544., 543., 554., 544., 544., 544., 543., 542., 543., 542., 558., 544., 542., 543., 542., 542., 626., 626., 543., 542.}",""
8,9,"fire2/expand3x3","fire2/relu_expand3x3",541.,547.9667000000001,638.,102.,103.6667,122.,665.,671.1667,828.,124.,123.2,190.,567.5,567.5,706.,"{638., 562., 548., 556., 548., 579., 612., 599., 544., 545., 555., 546., 544., 543., 544., 551., 546., 544., 551., 545., 543., 543., 545., 583., 609., 607., 544., 544., 543., 544., 544., 543., 559., 544., 542., 543., 543., 543., 542., 553., 544., 576., 609., 594., 541., 542., 556., 549., 550., 548.}","{122., 109., 106., 105., 106., 103., 105., 103., 104., 113., 106., 104., 103., 104., 104., 102., 103., 117., 104., 105., 103., 104., 103., 103., 104., 103., 104., 103., 103., 103., 104., 103., 103., 103., 104., 104., 104., 104., 105., 103., 104., 103., 103., 102., 104., 103., 104., 102., 105., 103.}","{780., 783., 669., 670., 668., 669., 684., 668., 668., 667., 667., 667., 683., 669., 743., 747., 666., 666., 681., 668., 667., 667., 666., 667., 682., 669., 667., 671., 665., 766., 796., 668., 666., 666., 665., 686., 671., 670., 670., 670., 670., 685., 671., 726., 828., 670., 670., 684., 665., 667.}"
9,10,"fire2/relu_expand3x3","fire2/concat",102.,103.4667,119.,159.,160.13330000000002,213.,"","","","","","","","","","{119., 106., 105., 104., 103., 103., 114., 107., 105., 103., 103., 103., 104., 103., 103., 104., 103., 102., 105., 104., 103., 104., 104., 103., 102., 103., 104., 104., 102., 105., 102., 103., 104., 116., 106., 103., 103., 104., 103., 103., 104., 103., 103., 103., 104., 104., 102., 104., 103., 103.}","{213., 185., 164., 161., 162., 161., 160., 160., 160., 160., 174., 161., 160., 160., 159., 160., 160., 168., 160., 160., 160., 160., 160., 160., 160., 160., 159., 160., 160., 161., 160., 160., 160., 160., 161., 171., 161., 160., 160., 160., 160., 160., 161., 160., 160., 160., 160., 159., 160., 160.}",""
10,11,"fire2/concat","fire3/squeeze1x1",160.,160.5667,176.,80.,82.7333,158.,238.,242.20000000000002,287.,78.,81.6333,111.,159.4667,159.4667,129.,"{176., 164., 161., 161., 161., 161., 160., 160., 160., 161., 160., 160., 160., 160., 161., 160., 160., 160., 161., 160., 174., 162., 161., 160., 161., 161., 160., 161., 160., 160., 161., 160., 161., 161., 160., 160., 160., 161., 161., 160., 161., 161., 161., 161., 174., 161., 160., 160., 161., 160.}","{158., 97., 87., 84., 82., 82., 82., 81., 82., 81., 81., 82., 82., 82., 81., 81., 81., 81., 81., 82., 81., 81., 81., 82., 81., 81., 81., 82., 81., 82., 81., 81., 81., 81., 80., 81., 81., 81., 111., 93., 91., 92., 90., 92., 90., 90., 89., 98., 87., 98.}","{287., 248., 245., 245., 242., 242., 241., 242., 243., 283., 259., 256., 272., 255., 242., 241., 240., 242., 241., 241., 239., 241., 241., 243., 242., 241., 242., 247., 257., 243., 245., 241., 242., 241., 240., 238., 240., 240., 241., 241., 241., 242., 241., 241., 247., 239., 241., 242., 243., 277.}"
