"start_index","end_index","start_name","end_name","start_index_time","end_index_time","path_time","path_minus_start_time","path_minus_end_time"
1,2,"1/conv1","1/conv1_bn",2349.,2144.,2587.,238.,443.
2,3,"1/conv1_bn","1/relu1",2102.,2311.,2555.,453.,244.
3,4,"1/relu1","2_1/1/conv2_1_dwise",2272.,7392.,8009.,5737.,617.
4,5,"2_1/1/conv2_1_dwise","2_1/1/conv2_1_dwise_bn",7412.,2105.,7741.,329.,5636.
5,6,"2_1/1/conv2_1_dwise_bn","2_1/1/relu2_1_dwise",2090.,2267.,2545.,455.,278.
6,7,"2_1/1/relu2_1_dwise","2_1/2/conv2_1_linear",2261.,1421.,1916.,-345.,495.
7,8,"2_1/2/conv2_1_linear","2_1/2/conv2_1_linear_bn",1408.,1100.,1543.,135.,443.
8,9,"2_1/2/conv2_1_linear_bn","2_2/1/conv2_2_expand",1121.,6963.,7168.,6047.,205.
9,10,"2_2/1/conv2_2_expand","2_2/1/conv2_2_expand_bn",7005.,8468.,8354.,1349.,-114.
10,11,"2_2/1/conv2_2_expand_bn","2_2/1/relu2_2_expand",8477.,9182.,9940.,1463.,758.
11,12,"2_2/1/relu2_2_expand","2_2/2/conv2_2_dwise",9194.,8979.,10838.,1644.,1859.
12,13,"2_2/2/conv2_2_dwise","2_2/2/conv2_2_dwise_bn",8928.,1592.,9118.,190.,7526.
13,14,"2_2/2/conv2_2_dwise_bn","2_2/2/relu2_2_dwise",1553.,1695.,1886.,333.,191.
14,15,"2_2/2/relu2_2_dwise","2_2/3/conv2_2_linear",1695.,806.,1128.,-567.,322.
15,16,"2_2/3/conv2_2_linear","2_2/3/conv2_2_linear_bn",801.,510.,848.,47.,338.
16,17,"2_2/3/conv2_2_linear_bn","3_1/1/conv3_1_expand",513.,1857.,1949.,1436.,92.
17,18,"3_1/1/conv3_1_expand","3_1/1/conv3_1_expand_bn",1873.,2063.,2111.,238.,48.
18,19,"3_1/1/conv3_1_expand_bn","3_1/1/relu3_1_expand",2101.,2294.,2518.,417.,224.
19,20,"3_1/1/relu3_1_expand","3_1/2/conv3_1_dwise",2289.,8251.,8161.,5872.,-90.
20,21,"3_1/2/conv3_1_dwise","3_1/2/conv3_1_dwise_bn",8018.,2167.,8025.,7.,5858.
21,22,"3_1/2/conv3_1_dwise_bn","3_1/2/relu3_1_dwise",2024.,2219.,2455.,431.,236.
22,23,"3_1/2/relu3_1_dwise","3_1/3/conv3_1_linear",2207.,921.,1640.,-567.,719.
23,24,"3_1/3/conv3_1_linear","3_1/3/conv3_1_linear_bn",923.,516.,995.,72.,479.
24,25,"3_1/3/conv3_1_linear_bn","3_1/4",504.,554.,-999,-999,-999
25,26,"3_1/4","3_2/1/conv3_2_expand",552.,1955.,2088.,1536.,133.
26,27,"3_2/1/conv3_2_expand","3_2/1/conv3_2_expand_bn",2056.,2232.,2464.,408.,232.
27,28,"3_2/1/conv3_2_expand_bn","3_2/1/relu3_2_expand",2077.,2301.,2526.,449.,225.
28,29,"3_2/1/relu3_2_expand","3_2/2/conv3_2_dwise",2265.,2582.,3062.,797.,480.
29,30,"3_2/2/conv3_2_dwise","3_2/2/conv3_2_dwise_bn",2601.,615.,2607.,6.,1992.
30,31,"3_2/2/conv3_2_dwise_bn","3_2/2/relu3_2_dwise",619.,665.,725.,106.,60.
31,32,"3_2/2/relu3_2_dwise","3_2/3/conv3_2_linear",664.,432.,636.,-28.,204.
32,33,"3_2/3/conv3_2_linear","3_2/3/conv3_2_linear_bn",433.,310.,459.,26.,149.
33,34,"3_2/3/conv3_2_linear_bn","4_1/1/conv4_1_expand",310.,910.,941.,631.,31.
34,35,"4_1/1/conv4_1_expand","4_1/1/conv4_1_expand_bn",917.,854.,1053.,136.,199.
35,36,"4_1/1/conv4_1_expand_bn","4_1/1/relu4_1_expand",819.,920.,1013.,194.,93.
36,37,"4_1/1/relu4_1_expand","4_1/2/conv4_1_dwise",923.,2741.,2906.,1983.,165.
37,38,"4_1/2/conv4_1_dwise","4_1/2/conv4_1_dwise_bn",2741.,843.,2820.,79.,1977.
38,39,"4_1/2/conv4_1_dwise_bn","4_1/2/relu4_1_dwise",845.,918.,1008.,163.,90.
39,40,"4_1/2/relu4_1_dwise","4_1/3/conv4_1_linear",917.,506.,823.,-94.,317.
40,41,"4_1/3/conv4_1_linear","4_1/3/conv4_1_linear_bn",505.,321.,528.,23.,207.
41,42,"4_1/3/conv4_1_linear_bn","4_1/4",320.,342.,-999,-999,-999
42,43,"4_1/4","4_2/1/conv4_2_expand",340.,932.,979.,639.,47.
43,44,"4_2/1/conv4_2_expand","4_2/1/conv4_2_expand_bn",935.,860.,1075.,140.,215.
44,45,"4_2/1/conv4_2_expand_bn","4_2/1/relu4_2_expand",833.,910.,1002.,169.,92.
45,46,"4_2/1/relu4_2_expand","4_2/2/conv4_2_dwise",911.,2736.,2907.,1996.,171.
46,47,"4_2/2/conv4_2_dwise","4_2/2/conv4_2_dwise_bn",2742.,829.,2827.,85.,1998.
47,48,"4_2/2/conv4_2_dwise_bn","4_2/2/relu4_2_dwise",833.,911.,1001.,168.,90.
48,49,"4_2/2/relu4_2_dwise","4_2/3/conv4_2_linear",909.,495.,808.,-101.,313.
49,50,"4_2/3/conv4_2_linear","4_2/3/conv4_2_linear_bn",488.,320.,507.,19.,187.
