"start_index","end_index","start_name","end_name","start_index_time","end_index_time","path_time","path_minus_start_time","path_minus_end_time"
1,2,"1","2",4219.,3026.,4759.,540.,1733.
2,3,"2","3",3023.,2988.,3507.,484.,519.
3,4,"3","4",3033.,2559.,2845.,-188.,286.
4,5,"4","5/1",2541.,1343.,3232.,691.,1889.
5,6,"5/1","5/2",1343.,1422.,1502.,159.,80.
6,7,"5/2","5/3",1417.,1416.,1662.,245.,246.
7,8,"5/3","5/4",1394.,5823.,6091.,4697.,268.
8,9,"5/4","5/5",5802.,1447.,6080.,278.,4633.
9,10,"5/5","5/6",1411.,1399.,1663.,252.,264.
10,11,"5/6","5/7",1407.,2633.,2808.,1401.,175.
11,12,"5/7","5/8",2585.,2996.,3134.,549.,138.
12,13,"5/8","5/9",3022.,2420.,-999,-999,-999
13,14,"5/9","5/10",2398.,3056.,2845.,447.,-211.
14,15,"5/10","5/11",3014.,4072.,-999,-999,-999
15,16,"5/11","5/12",4035.,2946.,4474.,439.,1528.
16,17,"5/12","6/1",2928.,1855.,2587.,-341.,732.
17,18,"6/1","6/2",1859.,1425.,2053.,194.,628.
18,19,"6/2","6/3",1407.,1370.,1627.,220.,257.
19,20,"6/3","6/4",1419.,5786.,6088.,4669.,302.
20,21,"6/4","6/5",5797.,1393.,6076.,279.,4683.
21,22,"6/5","6/6",1423.,1402.,1627.,204.,225.
22,23,"6/6","6/7",1377.,2579.,2782.,1405.,203.
23,24,"6/7","6/8",2546.,2881.,3083.,537.,202.
24,25,"6/8","6/9",2921.,3954.,-999,-999,-999
25,26,"6/9","6/10",3955.,2854.,4416.,461.,1562.
26,27,"6/10","7/1",2912.,1861.,2199.,-713.,338.
27,28,"7/1","7/2",1837.,1428.,2131.,294.,703.
28,29,"7/2","7/3",1379.,1359.,1621.,242.,262.
29,30,"7/3","7/4",1417.,5788.,6059.,4642.,271.
30,31,"7/4","7/5",5794.,1387.,6076.,282.,4689.
31,32,"7/5","7/6",1395.,1425.,1615.,220.,190.
