"start_index","end_index","start_name","end_name","own_time","path_time","diff_time"
1,2,"conv_1","bn_1",4501.,6119.,1618.
2,3,"bn_1","relu_1",2980.,3518.,538.
3,4,"relu_1","pool_1",2903.,2735.,-168.
4,5,"pool_1","conv_2_red",2457.,4381.,1924.
5,6,"conv_2_red","bn_2_red",903.,1033.,130.
6,7,"bn_2_red","relu_2_red",1151.,869.,-282.
7,8,"relu_2_red","conv_2",740.,4452.,3712.
8,9,"conv_2","bn_2",4296.,4669.,373.
9,10,"bn_2","relu_2",2143.,2395.,252.
10,11,"relu_2","pool_2",2092.,2109.,17.
11,12,"pool_2","3a/conv1x1",1877.,1845.,-32.
12,13,"3a/conv1x1","3a/bn1x1",458.,485.,27.
13,14,"3a/bn1x1","3a/relu1x1",350.,382.,32.
14,15,"3a/relu1x1","3a/conv3x3_reduce",328.,-999,-999
15,16,"3a/conv3x3_reduce","3a/bn3x3_reduce",458.,477.,19.
16,17,"3a/bn3x3_reduce","3a/relu3x3_reduce",337.,376.,39.
17,18,"3a/relu3x3_reduce","3a/conv3x3",325.,837.,512.
18,19,"3a/conv3x3","3a/bn3x3",826.,846.,20.
19,20,"3a/bn3x3","3a/relu3x3",346.,381.,35.
20,21,"3a/relu3x3","3a/convdouble_3x3_reduce",322.,-999,-999
21,22,"3a/convdouble_3x3_reduce","3a/bndouble_3x3_reduce",457.,484.,27.
22,23,"3a/bndouble_3x3_reduce","3a/reludouble_3x3_reduce",344.,409.,65.
23,24,"3a/reludouble_3x3_reduce","3a/convdouble_3x3_0",317.,1117.,800.
24,25,"3a/convdouble_3x3_0","3a/bndouble_3x3_0",1082.,1112.,30.
25,26,"3a/bndouble_3x3_0","3a/reludouble_3x3_0",424.,525.,101.
26,27,"3a/reludouble_3x3_0","3a/convdouble_3x3_1",393.,1343.,950.
27,28,"3a/convdouble_3x3_1","3a/bndouble_3x3_1",1308.,1352.,44.
28,29,"3a/bndouble_3x3_1","3a/reludouble_3x3_1",428.,530.,102.
29,30,"3a/reludouble_3x3_1","3a/avg_poolpool",391.,-999,-999
30,31,"3a/avg_poolpool","3a/convproj",1840.,1754.,-86.
31,32,"3a/convproj","3a/bnproj",368.,402.,34.
32,33,"3a/bnproj","3a/reluproj",265.,297.,32.
33,34,"3a/reluproj","3a/ch_concatchconcat",256.,-999,-999
34,35,"3a/ch_concatchconcat","3b/conv1x1",838.,704.,-134.
35,36,"3b/conv1x1","3b/bn1x1",499.,525.,26.
36,37,"3b/bn1x1","3b/relu1x1",340.,383.,43.
37,38,"3b/relu1x1","3b/conv3x3_reduce",335.,-999,-999
38,39,"3b/conv3x3_reduce","3b/bn3x3_reduce",512.,526.,14.
39,40,"3b/bn3x3_reduce","3b/relu3x3_reduce",352.,380.,28.
40,41,"3b/relu3x3_reduce","3b/conv3x3",335.,928.,593.
41,42,"3b/conv3x3","3b/bn3x3",915.,942.,27.
42,43,"3b/bn3x3","3b/relu3x3",422.,472.,50.
43,44,"3b/relu3x3","3b/convdouble_3x3_reduce",405.,-999,-999
44,45,"3b/convdouble_3x3_reduce","3b/bndouble_3x3_reduce",511.,531.,20.
45,46,"3b/bndouble_3x3_reduce","3b/reludouble_3x3_reduce",352.,378.,26.
46,47,"3b/reludouble_3x3_reduce","3b/convdouble_3x3_0",332.,930.,598.
47,48,"3b/convdouble_3x3_0","3b/bndouble_3x3_0",919.,948.,29.
48,49,"3b/bndouble_3x3_0","3b/reludouble_3x3_0",421.,469.,48.
49,50,"3b/reludouble_3x3_0","3b/convdouble_3x3_1",407.,1161.,754.
50,51,"3b/convdouble_3x3_1","3b/bndouble_3x3_1",1142.,1171.,29.
51,52,"3b/bndouble_3x3_1","3b/reludouble_3x3_1",419.,471.,52.
52,53,"3b/reludouble_3x3_1","3b/avg_poolpool",402.,-999,-999
53,54,"3b/avg_poolpool","3b/convproj",2423.,2295.,-128.
54,55,"3b/convproj","3b/bnproj",504.,533.,29.
55,56,"3b/bnproj","3b/reluproj",348.,380.,32.
56,57,"3b/reluproj","3b/ch_concatchconcat",320.,-999,-999
57,58,"3b/ch_concatchconcat","3c/conv3x3_reduce",951.,923.,-28.
58,59,"3c/conv3x3_reduce","3c/bn3x3_reduce",712.,747.,35.
59,60,"3c/bn3x3_reduce","3c/relu3x3_reduce",492.,545.,53.
60,61,"3c/relu3x3_reduce","3c/conv3x3",465.,1043.,578.
61,62,"3c/conv3x3","3c/bn3x3",998.,1026.,28.
62,63,"3c/bn3x3","3c/relu3x3",294.,316.,22.
63,64,"3c/relu3x3","3c/convdouble_3x3_reduce",282.,-999,-999
64,65,"3c/convdouble_3x3_reduce","3c/bndouble_3x3_reduce",527.,547.,20.
65,66,"3c/bndouble_3x3_reduce","3c/reludouble_3x3_reduce",349.,379.,30.
66,67,"3c/reludouble_3x3_reduce","3c/convdouble_3x3_0",330.,922.,592.
67,68,"3c/convdouble_3x3_0","3c/bndouble_3x3_0",913.,948.,35.
68,69,"3c/bndouble_3x3_0","3c/reludouble_3x3_0",420.,468.,48.
69,70,"3c/reludouble_3x3_0","3c/convdouble_3x3_1",410.,582.,172.
70,71,"3c/convdouble_3x3_1","3c/bndouble_3x3_1",557.,576.,19.
71,72,"3c/bndouble_3x3_1","3c/reludouble_3x3_1",238.,266.,28.
72,73,"3c/reludouble_3x3_1","3c/max_poolpool",233.,-999,-999
73,74,"3c/max_poolpool","3c/ch_concatchconcat",934.,-999,-999
74,75,"3c/ch_concatchconcat","4a/conv1x1",572.,673.,101.
75,76,"4a/conv1x1","4a/bn1x1",557.,597.,40.
76,77,"4a/bn1x1","4a/relu1x1",353.,411.,58.
77,78,"4a/relu1x1","4a/conv3x3_reduce",314.,-999,-999
78,79,"4a/conv3x3_reduce","4a/bn3x3_reduce",370.,384.,14.
79,80,"4a/bn3x3_reduce","4a/relu3x3_reduce",220.,237.,17.
80,81,"4a/relu3x3_reduce","4a/conv3x3",205.,530.,325.
81,82,"4a/conv3x3","4a/bn3x3",519.,545.,26.
