"start_index","end_index","start_name","end_name","start_index_time","end_index_time","path_time","path_minus_start_time","path_minus_end_time"
1,2,"conv1_1","relu1_1",15329.,17149.,17191.,1862.,42.
2,3,"relu1_1","conv1_2",17094.,50096.,52312.,35218.,2216.
3,4,"conv1_2","relu1_2",50113.,17148.,51873.,1760.,34725.
4,5,"relu1_2","pool1",17155.,9322.,11338.,-5817.,2016.
5,6,"pool1","conv2_1",9359.,16061.,22757.,13398.,6696.
6,7,"conv2_1","relu2_1",16073.,7278.,17051.,978.,9773.
7,8,"relu2_1","conv2_2",7177.,26284.,27554.,20377.,1270.
8,9,"conv2_2","relu2_2",26327.,7266.,27236.,909.,19970.
9,10,"relu2_2","pool2",7180.,4253.,5157.,-2023.,904.
10,11,"pool2","conv3_1",4249.,8814.,12147.,7898.,3333.
11,12,"conv3_1","relu3_1",8810.,2994.,9316.,506.,6322.
12,13,"relu3_1","conv3_2",3005.,15339.,15875.,12870.,536.
13,14,"conv3_2","relu3_2",15353.,2960.,15857.,504.,12897.
14,15,"relu3_2","conv3_3",3001.,15326.,15879.,12878.,553.
15,16,"conv3_3","relu3_3",15369.,2978.,15843.,474.,12865.
16,17,"relu3_3","pool3",2985.,1995.,2393.,-592.,398.
17,18,"pool3","conv4_1",1989.,6446.,8084.,6095.,1638.
18,19,"conv4_1","relu4_1",6447.,1368.,6687.,240.,5319.
19,20,"relu4_1","conv4_2",1362.,12100.,12424.,11062.,324.
20,21,"conv4_2","relu4_2",12125.,1359.,12431.,306.,11072.
21,22,"relu4_2","conv4_3",1324.,12481.,12617.,11293.,136.
22,23,"conv4_3","relu4_3",12589.,1351.,12586.,-3.,11235.
23,24,"relu4_3","pool4",1357.,1098.,1237.,-120.,139.
24,25,"pool4","conv5_1",1103.,3170.,3623.,2520.,453.
25,26,"conv5_1","relu5_1",2902.,491.,2969.,67.,2478.
26,27,"relu5_1","conv5_2",496.,2923.,2951.,2455.,28.
27,28,"conv5_2","relu5_2",2915.,494.,2972.,57.,2478.
28,29,"relu5_2","conv5_3",494.,2914.,2933.,2439.,19.
29,30,"conv5_3","relu5_3",2924.,495.,2973.,49.,2478.
30,31,"relu5_3","pool5",491.,414.,443.,-48.,29.
31,32,"pool5","flatten_0",415.,244.,419.,4.,175.
32,33,"flatten_0","fc6",240.,8361.,8431.,8191.,70.
33,34,"fc6","relu6",8377.,163.,8401.,24.,8238.
34,35,"relu6","drop6",164.,163.,162.,-2.,-1.
35,36,"drop6","fc7",163.,1650.,1643.,1480.,-7.
36,37,"fc7","relu7",1655.,198.,1668.,13.,1470.
37,38,"relu7","drop7",163.,166.,166.,3.,0.
38,39,"drop7","fc8_101",166.,197.,196.,30.,-1.
39,40,"fc8_101","prob",197.,163.,209.,12.,46.
