"start_index","end_index","start_name","end_name","start_index_time","end_index_time","path_time","path_minus_start_time","path_minus_end_time"
1,2,"conv1","relu_conv1",3337.,2959.,4474.,1137.,1515.
2,3,"relu_conv1","pool1",2947.,2488.,2822.,-125.,334.
3,4,"pool1","fire2/squeeze1x1",2487.,486.,2547.,60.,2061.
4,5,"fire2/squeeze1x1","fire2/relu_squeeze1x1",491.,346.,527.,36.,181.
5,6,"fire2/relu_squeeze1x1","fire2/expand1x1",354.,793.,828.,474.,35.
6,7,"fire2/expand1x1","fire2/relu_expand1x1",793.,807.,905.,112.,98.
7,8,"fire2/relu_expand1x1","fire2/expand3x3",819.,1626.,-999,-999,-999
8,9,"fire2/expand3x3","fire2/relu_expand3x3",1527.,810.,1625.,98.,815.
9,10,"fire2/relu_expand3x3","fire2/concat",809.,1384.,-999,-999,-999
10,11,"fire2/concat","fire3/squeeze1x1",1354.,620.,814.,-540.,194.
11,12,"fire3/squeeze1x1","fire3/relu_squeeze1x1",622.,345.,660.,38.,315.
12,13,"fire3/relu_squeeze1x1","fire3/expand1x1",349.,830.,833.,484.,3.
13,14,"fire3/expand1x1","fire3/relu_expand1x1",833.,813.,1112.,279.,299.
14,15,"fire3/relu_expand1x1","fire3/expand3x3",816.,1627.,-999,-999,-999
15,16,"fire3/expand3x3","fire3/relu_expand3x3",1631.,796.,1328.,-303.,532.
16,17,"fire3/relu_expand3x3","fire3/concat",813.,1389.,-999,-999,-999
17,18,"fire3/concat","pool3_pad",1344.,1662.,1820.,476.,158.
18,19,"pool3_pad","pool3",1665.,1363.,1762.,97.,399.
19,20,"pool3","fire4/squeeze1x1",1363.,344.,1341.,-22.,997.
20,21,"fire4/squeeze1x1","fire4/relu_squeeze1x1",349.,270.,392.,43.,122.
21,22,"fire4/relu_squeeze1x1","fire4/expand1x1",273.,507.,520.,247.,13.
22,23,"fire4/expand1x1","fire4/relu_expand1x1",510.,517.,653.,143.,136.
23,24,"fire4/relu_expand1x1","fire4/expand3x3",511.,1063.,-999,-999,-999
24,25,"fire4/expand3x3","fire4/relu_expand3x3",1051.,513.,1206.,155.,693.
25,26,"fire4/relu_expand3x3","fire4/concat",511.,810.,-999,-999,-999
26,27,"fire4/concat","fire5/squeeze1x1",772.,460.,577.,-195.,117.
27,28,"fire5/squeeze1x1","fire5/relu_squeeze1x1",460.,399.,495.,35.,96.
28,29,"fire5/relu_squeeze1x1","fire5/expand1x1",266.,510.,522.,256.,12.
29,30,"fire5/expand1x1","fire5/relu_expand1x1",496.,513.,560.,64.,47.
30,31,"fire5/relu_expand1x1","fire5/expand3x3",513.,1062.,-999,-999,-999
31,32,"fire5/expand3x3","fire5/relu_expand3x3",1050.,508.,876.,-174.,368.
32,33,"fire5/relu_expand3x3","fire5/concat",502.,811.,-999,-999,-999
33,34,"fire5/concat","pool5_pad",804.,945.,1032.,228.,87.
34,35,"pool5_pad","pool5",955.,808.,1016.,61.,208.
35,36,"pool5","fire6/squeeze1x1",808.,291.,871.,63.,580.
36,37,"fire6/squeeze1x1","fire6/relu_squeeze1x1",293.,202.,307.,14.,105.
37,38,"fire6/relu_squeeze1x1","fire6/expand1x1",202.,339.,338.,136.,-1.
38,39,"fire6/expand1x1","fire6/relu_expand1x1",343.,310.,368.,25.,58.
39,40,"fire6/relu_expand1x1","fire6/expand3x3",309.,513.,-999,-999,-999
40,41,"fire6/expand3x3","fire6/relu_expand3x3",510.,310.,536.,26.,226.
41,42,"fire6/relu_expand3x3","fire6/concat",312.,453.,-999,-999,-999
42,43,"fire6/concat","fire7/squeeze1x1",451.,316.,358.,-93.,42.
43,44,"fire7/squeeze1x1","fire7/relu_squeeze1x1",313.,195.,318.,5.,123.
44,45,"fire7/relu_squeeze1x1","fire7/expand1x1",196.,323.,499.,303.,176.
45,46,"fire7/expand1x1","fire7/relu_expand1x1",328.,303.,359.,31.,56.
46,47,"fire7/relu_expand1x1","fire7/expand3x3",317.,593.,-999,-999,-999
47,48,"fire7/expand3x3","fire7/relu_expand3x3",554.,305.,593.,39.,288.
48,49,"fire7/relu_expand3x3","fire7/concat",304.,441.,-999,-999,-999
49,50,"fire7/concat","fire8/squeeze1x1",441.,328.,373.,-68.,45.
50,51,"fire8/squeeze1x1","fire8/relu_squeeze1x1",327.,205.,342.,15.,137.
51,52,"fire8/relu_squeeze1x1","fire8/expand1x1",208.,365.,371.,163.,6.
52,53,"fire8/expand1x1","fire8/relu_expand1x1",366.,363.,438.,72.,75.
53,54,"fire8/relu_expand1x1","fire8/expand3x3",356.,722.,-999,-999,-999
54,55,"fire8/expand3x3","fire8/relu_expand3x3",720.,354.,796.,76.,442.
55,56,"fire8/relu_expand3x3","fire8/concat",364.,541.,-999,-999,-999
56,57,"fire8/concat","fire9/squeeze1x1",538.,359.,424.,-114.,65.
57,58,"fire9/squeeze1x1","fire9/relu_squeeze1x1",356.,208.,374.,18.,166.
58,59,"fire9/relu_squeeze1x1","fire9/expand1x1",211.,358.,365.,154.,7.
59,60,"fire9/expand1x1","fire9/relu_expand1x1",360.,341.,394.,34.,53.
60,61,"fire9/relu_expand1x1","fire9/expand3x3",338.,576.,-999,-999,-999
61,62,"fire9/expand3x3","fire9/relu_expand3x3",576.,349.,608.,32.,259.
62,63,"fire9/relu_expand3x3","fire9/concat",341.,540.,-999,-999,-999
63,64,"fire9/concat","drop9",536.,487.,533.,-3.,46.
64,65,"drop9","conv10",502.,1157.,1156.,654.,-1.
65,66,"conv10","relu_conv10",1155.,788.,1270.,115.,482.
66,67,"relu_conv10","pool10",792.,3905.,3981.,3189.,76.
67,68,"pool10","flatten",3898.,169.,3900.,2.,3731.
68,69,"flatten","probabilities",168.,185.,186.,18.,1.
