"start_index","end_index","start_name","end_name","own_time","path_time","diff_time"
1,2,"conv_1","bn_1",5668.,5901.,233.
2,3,"bn_1","relu_1",2984.,3346.,362.
3,4,"relu_1","pool1_pad",2903.,3944.,1041.
4,5,"pool1_pad","pool1",3456.,3381.,-75.
5,6,"pool1","stage0_block0/conv_proj_shortcut",2549.,5201.,2652.
6,7,"stage0_block0/conv_proj_shortcut","stage0_block0/bn_proj_shortcut",1547.,1897.,350.
7,8,"stage0_block0/bn_proj_shortcut","stage0_block0/conv_branch2a",1487.,-999,-999
8,9,"stage0_block0/conv_branch2a","stage0_block0/bn_branch2a",630.,692.,62.
9,10,"stage0_block0/bn_branch2a","stage0_block0/relu_branch2a",508.,653.,145.
10,11,"stage0_block0/relu_branch2a","stage0_block0/conv_branch2b",477.,2087.,1610.
11,12,"stage0_block0/conv_branch2b","stage0_block0/bn_branch2b",2040.,1455.,-585.
12,13,"stage0_block0/bn_branch2b","stage0_block0/relu_branch2b",493.,602.,109.
13,14,"stage0_block0/relu_branch2b","stage0_block0/conv_branch2c",479.,1566.,1087.
14,15,"stage0_block0/conv_branch2c","stage0_block0/bn_branch2c",1515.,1776.,261.
15,16,"stage0_block0/bn_branch2c","stage0_block0/eltwise_stage0_block0",1494.,-999,-999
16,17,"stage0_block0/eltwise_stage0_block0","stage0_block0/relu_stage0_block0",1772.,2023.,251.
17,18,"stage0_block0/relu_stage0_block0","stage0_block1/conv_branch2a",1381.,986.,-395.
18,19,"stage0_block1/conv_branch2a","stage0_block1/bn_branch2a",859.,851.,-8.
19,20,"stage0_block1/bn_branch2a","stage0_block1/relu_branch2a",516.,659.,143.
20,21,"stage0_block1/relu_branch2a","stage0_block1/conv_branch2b",480.,1598.,1118.
21,22,"stage0_block1/conv_branch2b","stage0_block1/bn_branch2b",1420.,1456.,36.
22,23,"stage0_block1/bn_branch2b","stage0_block1/relu_branch2b",515.,660.,145.
23,24,"stage0_block1/relu_branch2b","stage0_block1/conv_branch2c",479.,1581.,1102.
24,25,"stage0_block1/conv_branch2c","stage0_block1/bn_branch2c",1518.,1749.,231.
25,26,"stage0_block1/bn_branch2c","stage0_block1/eltwise_stage0_block1",1481.,-999,-999
26,27,"stage0_block1/eltwise_stage0_block1","stage0_block1/relu_stage0_block1",1763.,2024.,261.
27,28,"stage0_block1/relu_stage0_block1","stage0_block2/conv_branch2a",1371.,1001.,-370.
28,29,"stage0_block2/conv_branch2a","stage0_block2/bn_branch2a",839.,842.,3.
29,30,"stage0_block2/bn_branch2a","stage0_block2/relu_branch2a",516.,652.,136.
30,31,"stage0_block2/relu_branch2a","stage0_block2/conv_branch2b",477.,1599.,1122.
31,32,"stage0_block2/conv_branch2b","stage0_block2/bn_branch2b",1418.,1604.,186.
32,33,"stage0_block2/bn_branch2b","stage0_block2/relu_branch2b",515.,658.,143.
33,34,"stage0_block2/relu_branch2b","stage0_block2/conv_branch2c",481.,1573.,1092.
