"start_index","end_index","start_name","end_name","own_time","path_time","diff_time"
1,2,"conv1","bn_conv1",5288.,5832.,544.
2,3,"bn_conv1","conv1_relu",2905.,3326.,421.
3,4,"conv1_relu","pool1_pad",2903.,3963.,1060.
4,5,"pool1_pad","pool1",3462.,3418.,-44.
5,6,"pool1","2a/res2a_branch1",2508.,5478.,2970.
6,7,"2a/res2a_branch1","2a/bn2a_branch1",2506.,3069.,563.
7,8,"2a/bn2a_branch1","2a/res2a_branch2a",2921.,-999,-999
8,9,"2a/res2a_branch2a","2a/bn2a_branch2a",856.,934.,78.
9,10,"2a/bn2a_branch2a","2a/res2a_branch2a_relu",822.,883.,61.
10,11,"2a/res2a_branch2a_relu","2a/res2a_branch2b",758.,2841.,2083.
11,12,"2a/res2a_branch2b","2a/bn2a_branch2b",2421.,2501.,80.
12,13,"2a/bn2a_branch2b","2a/res2a_branch2b_relu",807.,928.,121.
13,14,"2a/res2a_branch2b_relu","2a/res2a_branch2c",800.,2626.,1826.
14,15,"2a/res2a_branch2c","2a/bn2a_branch2c",2460.,2859.,399.
15,16,"2a/bn2a_branch2c","2a/res2a",2959.,-999,-999
16,17,"2a/res2a","2a/res2a_relu",4032.,4490.,458.
17,18,"2a/res2a_relu","2b/res2b_branch2a",2945.,1651.,-1294.
18,19,"2b/res2b_branch2a","2b/bn2b_branch2a",1286.,1415.,129.
19,20,"2b/bn2b_branch2a","2b/res2b_branch2a_relu",823.,896.,73.
20,21,"2b/res2b_branch2a_relu","2b/res2b_branch2b",766.,2505.,1739.
21,22,"2b/res2b_branch2b","2b/bn2b_branch2b",2432.,2512.,80.
22,23,"2b/bn2b_branch2b","2b/res2b_branch2b_relu",807.,928.,121.
23,24,"2b/res2b_branch2b_relu","2b/res2b_branch2c",804.,2625.,1821.
24,25,"2b/res2b_branch2c","2b/bn2b_branch2c",2468.,2859.,391.
25,26,"2b/bn2b_branch2c","2b/res2b",2968.,-999,-999
26,27,"2b/res2b","2b/res2b_relu",4064.,4481.,417.
27,28,"2b/res2b_relu","2c/res2c_branch2a",3012.,1615.,-1397.
28,29,"2c/res2c_branch2a","2c/bn2c_branch2a",1305.,1396.,91.
29,30,"2c/bn2c_branch2a","2c/res2c_branch2a_relu",811.,929.,118.
30,31,"2c/res2c_branch2a_relu","2c/res2c_branch2b",802.,2497.,1695.
31,32,"2c/res2c_branch2b","2c/bn2c_branch2b",2426.,2508.,82.
32,33,"2c/bn2c_branch2b","2c/res2c_branch2b_relu",813.,930.,117.
33,34,"2c/res2c_branch2b_relu","2c/res2c_branch2c",802.,2638.,1836.
34,35,"2c/res2c_branch2c","2c/bn2c_branch2c",2489.,2858.,369.
35,36,"2c/bn2c_branch2c","2c/res2c",2983.,-999,-999
36,37,"2c/res2c","2c/res2c_relu",4056.,4472.,416.
37,38,"2c/res2c_relu","3a/res3a_branch1",2975.,2503.,-472.
38,39,"3a/res3a_branch1","3a/bn3a_branch1",2092.,2315.,223.
39,40,"3a/bn3a_branch1","3a/res3a_branch2a",1392.,-999,-999
40,41,"3a/res3a_branch2a","3a/bn3a_branch2a",1154.,1215.,61.
