"start_index","end_index","start_name","end_name","start_index_time","end_index_time","path_time","path_minus_start_time","path_minus_end_time"
1,2,"conv1","bn_conv1",4541.,2954.,5097.,556.,2143.
2,3,"bn_conv1","conv1_relu",2990.,2898.,3446.,456.,548.
3,4,"conv1_relu","pool1_pad",2844.,3441.,3980.,1136.,539.
4,5,"pool1_pad","pool1",3483.,2504.,3391.,-92.,887.
5,6,"pool1","2a/res2a_branch1",2487.,2386.,5622.,3135.,3236.
6,7,"2a/res2a_branch1","2a/bn2a_branch1",2389.,3103.,3097.,708.,-6.
7,8,"2a/bn2a_branch1","2a/res2a_branch2a",2914.,835.,-999,-999,-999
8,9,"2a/res2a_branch2a","2a/bn2a_branch2a",833.,819.,923.,90.,104.
9,10,"2a/bn2a_branch2a","2a/res2a_branch2a_relu",820.,756.,885.,65.,129.
10,11,"2a/res2a_branch2a_relu","2a/res2a_branch2b",759.,2762.,2570.,1811.,-192.
11,12,"2a/res2a_branch2b","2a/bn2a_branch2b",2765.,813.,2790.,25.,1977.
12,13,"2a/bn2a_branch2b","2a/res2a_branch2b_relu",817.,755.,878.,61.,123.
13,14,"2a/res2a_branch2b_relu","2a/res2a_branch2c",757.,2364.,2511.,1754.,147.
14,15,"2a/res2a_branch2c","2a/bn2a_branch2c",2347.,2950.,3855.,1508.,905.
15,16,"2a/bn2a_branch2c","2a/res2a",2969.,3995.,-999,-999,-999
16,17,"2a/res2a","2a/res2a_relu",4013.,2958.,4488.,475.,1530.
17,18,"2a/res2a_relu","2b/res2b_branch2a",2937.,1298.,1600.,-1337.,302.
18,19,"2b/res2b_branch2a","2b/bn2b_branch2a",1299.,794.,1380.,81.,586.
19,20,"2b/bn2b_branch2a","2b/res2b_branch2a_relu",798.,793.,922.,124.,129.
20,21,"2b/res2b_branch2a_relu","2b/res2b_branch2b",791.,2423.,2503.,1712.,80.
21,22,"2b/res2b_branch2b","2b/bn2b_branch2b",2424.,788.,2890.,466.,2102.
22,23,"2b/bn2b_branch2b","2b/res2b_branch2b_relu",796.,790.,912.,116.,122.
23,24,"2b/res2b_branch2b_relu","2b/res2b_branch2c",748.,2323.,2440.,1692.,117.
24,25,"2b/res2b_branch2c","2b/bn2b_branch2c",2325.,2942.,2855.,530.,-87.
25,26,"2b/bn2b_branch2c","2b/res2b",2963.,3979.,-999,-999,-999
26,27,"2b/res2b","2b/res2b_relu",3974.,2921.,4440.,466.,1519.
27,28,"2b/res2b_relu","2c/res2c_branch2a",2958.,1289.,1602.,-1356.,313.
28,29,"2c/res2c_branch2a","2c/bn2c_branch2a",1271.,785.,1359.,88.,574.
29,30,"2c/bn2c_branch2a","2c/res2c_branch2a_relu",786.,780.,906.,120.,126.
30,31,"2c/res2c_branch2a_relu","2c/res2c_branch2b",781.,2466.,2505.,1724.,39.
31,32,"2c/res2c_branch2b","2c/bn2c_branch2b",2416.,764.,2692.,276.,1928.
32,33,"2c/bn2c_branch2b","2c/res2c_branch2b_relu",808.,751.,869.,61.,118.
33,34,"2c/res2c_branch2b_relu","2c/res2c_branch2c",750.,2393.,2528.,1778.,135.
34,35,"2c/res2c_branch2c","2c/bn2c_branch2c",2403.,2921.,3081.,678.,160.
35,36,"2c/bn2c_branch2c","2c/res2c",2932.,3937.,-999,-999,-999
36,37,"2c/res2c","2c/res2c_relu",3944.,2893.,4419.,475.,1526.
37,38,"2c/res2c_relu","3a/res3a_branch1",2935.,2510.,3064.,129.,554.
38,39,"3a/res3a_branch1","3a/bn3a_branch1",2530.,1454.,2854.,324.,1400.
39,40,"3a/bn3a_branch1","3a/res3a_branch2a",1331.,1359.,-999,-999,-999
40,41,"3a/res3a_branch2a","3a/bn3a_branch2a",1358.,517.,1418.,60.,901.
41,42,"3a/bn3a_branch2a","3a/res3a_branch2a_relu",520.,480.,605.,85.,125.
42,43,"3a/res3a_branch2a_relu","3a/res3a_branch2b",482.,1915.,1993.,1511.,78.
43,44,"3a/res3a_branch2b","3a/bn3a_branch2b",1893.,522.,1955.,62.,1433.
44,45,"3a/bn3a_branch2b","3a/res3a_branch2b_relu",518.,478.,654.,136.,176.
45,46,"3a/res3a_branch2b_relu","3a/res3a_branch2c",478.,1387.,1433.,955.,46.
46,47,"3a/res3a_branch2c","3a/bn3a_branch2c",1371.,1991.,1650.,279.,-341.
47,48,"3a/bn3a_branch2c","3a/res3a",1343.,1681.,-999,-999,-999
48,49,"3a/res3a","3a/res3a_relu",1670.,1312.,1907.,237.,595.
49,50,"3a/res3a_relu","3b/res3b_branch2a",1312.,949.,1133.,-179.,184.
50,51,"3b/res3b_branch2a","3b/bn3b_branch2a",957.,523.,1054.,97.,531.
51,52,"3b/bn3b_branch2a","3b/res3b_branch2a_relu",514.,478.,647.,133.,169.
52,53,"3b/res3b_branch2a_relu","3b/res3b_branch2b",477.,1681.,2594.,2117.,913.
53,54,"3b/res3b_branch2b","3b/bn3b_branch2b",1679.,512.,1724.,45.,1212.
54,55,"3b/bn3b_branch2b","3b/res3b_branch2b_relu",514.,506.,563.,49.,57.
55,56,"3b/res3b_branch2b_relu","3b/res3b_branch2c",500.,1298.,1324.,824.,26.
56,57,"3b/res3b_branch2c","3b/bn3b_branch2c",1379.,1442.,1642.,263.,200.
57,58,"3b/bn3b_branch2c","3b/res3b",1370.,1734.,-999,-999,-999
58,59,"3b/res3b","3b/res3b_relu",1690.,1306.,1903.,213.,597.
59,60,"3b/res3b_relu","3c/res3c_branch2a",1313.,881.,1069.,-244.,188.
60,61,"3c/res3c_branch2a","3c/bn3c_branch2a",870.,499.,940.,70.,441.
61,62,"3c/bn3c_branch2a","3c/res3c_branch2a_relu",498.,492.,560.,62.,68.
62,63,"3c/res3c_branch2a_relu","3c/res3c_branch2b",493.,1675.,1708.,1215.,33.
63,64,"3c/res3c_branch2b","3c/bn3c_branch2b",1668.,501.,1709.,41.,1208.
64,65,"3c/bn3c_branch2b","3c/res3c_branch2b_relu",500.,496.,557.,57.,61.
65,66,"3c/res3c_branch2b_relu","3c/res3c_branch2c",495.,1287.,1310.,815.,23.
66,67,"3c/res3c_branch2c","3c/bn3c_branch2c",1286.,1371.,1443.,157.,72.
67,68,"3c/bn3c_branch2c","3c/res3c",1361.,1740.,-999,-999,-999
68,69,"3c/res3c","3c/res3c_relu",1768.,1306.,1909.,141.,603.
69,70,"3c/res3c_relu","3d/res3d_branch2a",1305.,994.,1243.,-62.,249.
70,71,"3d/res3d_branch2a","3d/bn3d_branch2a",994.,509.,1100.,106.,591.
71,72,"3d/bn3d_branch2a","3d/res3d_branch2a_relu",513.,471.,649.,136.,178.
72,73,"3d/res3d_branch2a_relu","3d/res3d_branch2b",472.,2662.,2714.,2242.,52.
73,74,"3d/res3d_branch2b","3d/bn3d_branch2b",2667.,492.,2405.,-262.,1913.
74,75,"3d/bn3d_branch2b","3d/res3d_branch2b_relu",490.,494.,590.,100.,96.
75,76,"3d/res3d_branch2b_relu","3d/res3d_branch2c",470.,1349.,1426.,956.,77.
76,77,"3d/res3d_branch2c","3d/bn3d_branch2c",1358.,1429.,1636.,278.,207.
77,78,"3d/bn3d_branch2c","3d/res3d",1431.,1668.,-999,-999,-999
78,79,"3d/res3d","3d/res3d_relu",1676.,1304.,1901.,225.,597.
79,80,"3d/res3d_relu","4a/res4a_branch1",1306.,1544.,1681.,375.,137.
80,81,"4a/res4a_branch1","4a/bn4a_branch1",1686.,864.,1852.,166.,988.
81,82,"4a/bn4a_branch1","4a/res4a_branch2a",858.,838.,-999,-999,-999
82,83,"4a/res4a_branch2a","4a/bn4a_branch2a",888.,370.,941.,53.,571.
83,84,"4a/bn4a_branch2a","4a/res4a_branch2a_relu",369.,360.,441.,72.,81.
84,85,"4a/res4a_branch2a_relu","4a/res4a_branch2b",337.,1331.,1351.,1014.,20.
85,86,"4a/res4a_branch2b","4a/bn4a_branch2b",1335.,532.,1921.,586.,1389.
86,87,"4a/bn4a_branch2b","4a/res4a_branch2b_relu",525.,486.,587.,62.,101.
87,88,"4a/res4a_branch2b_relu","4a/res4a_branch2c",324.,980.,984.,660.,4.
88,89,"4a/res4a_branch2c","4a/bn4a_branch2c",1241.,799.,1278.,37.,479.
89,90,"4a/bn4a_branch2c","4a/res4a",809.,965.,-999,-999,-999
90,91,"4a/res4a","4a/res4a_relu",919.,768.,1045.,126.,277.
91,92,"4a/res4a_relu","4b/res4b_branch2a",765.,762.,834.,69.,72.
92,93,"4b/res4b_branch2a","4b/bn4b_branch2a",767.,353.,672.,-95.,319.
93,94,"4b/bn4b_branch2a","4b/res4b_branch2a_relu",365.,359.,441.,76.,82.
94,95,"4b/res4b_branch2a_relu","4b/res4b_branch2b",344.,1330.,1351.,1007.,21.
95,96,"4b/res4b_branch2b","4b/bn4b_branch2b",1353.,355.,1358.,5.,1003.
96,97,"4b/bn4b_branch2b","4b/res4b_branch2b_relu",362.,337.,388.,26.,51.
97,98,"4b/res4b_branch2b_relu","4b/res4b_branch2c",339.,889.,916.,577.,27.
98,99,"4b/res4b_branch2c","4b/bn4b_branch2c",888.,847.,982.,94.,135.
99,100,"4b/bn4b_branch2c","4b/res4b",863.,925.,-999,-999,-999
100,101,"4b/res4b","4b/res4b_relu",917.,764.,1038.,121.,274.
101,102,"4b/res4b_relu","4c/res4c_branch2a",770.,763.,842.,72.,79.
102,103,"4c/res4c_branch2a","4c/bn4c_branch2a",764.,372.,809.,45.,437.
103,104,"4c/bn4c_branch2a","4c/res4c_branch2a_relu",362.,334.,391.,29.,57.
104,105,"4c/res4c_branch2a_relu","4c/res4c_branch2b",336.,1177.,1189.,853.,12.
105,106,"4c/res4c_branch2b","4c/bn4c_branch2b",1162.,359.,1202.,40.,843.
106,107,"4c/bn4c_branch2b","4c/res4c_branch2b_relu",368.,324.,437.,69.,113.
107,108,"4c/res4c_branch2b_relu","4c/res4c_branch2c",325.,1031.,1219.,894.,188.
108,109,"4c/res4c_branch2c","4c/bn4c_branch2c",886.,864.,1143.,257.,279.
109,110,"4c/bn4c_branch2c","4c/res4c",857.,922.,-999,-999,-999
110,111,"4c/res4c","4c/res4c_relu",915.,766.,1037.,122.,271.
111,112,"4c/res4c_relu","4d/res4d_branch2a",772.,765.,842.,70.,77.
112,113,"4d/res4d_branch2a","4d/bn4d_branch2a",765.,372.,812.,47.,440.
113,114,"4d/bn4d_branch2a","4d/res4d_branch2a_relu",374.,357.,439.,65.,82.
114,115,"4d/res4d_branch2a_relu","4d/res4d_branch2b",342.,1182.,1187.,845.,5.
115,116,"4d/res4d_branch2b","4d/bn4d_branch2b",1310.,515.,1379.,69.,864.
116,117,"4d/bn4d_branch2b","4d/res4d_branch2b_relu",366.,340.,442.,76.,102.
117,118,"4d/res4d_branch2b_relu","4d/res4d_branch2c",336.,885.,1023.,687.,138.
118,119,"4d/res4d_branch2c","4d/bn4d_branch2c",887.,817.,985.,98.,168.
119,120,"4d/bn4d_branch2c","4d/res4d",815.,980.,-999,-999,-999
120,121,"4d/res4d","4d/res4d_relu",969.,802.,1106.,137.,304.
121,122,"4d/res4d_relu","4e/res4e_branch2a",798.,658.,723.,-75.,65.
122,123,"4e/res4e_branch2a","4e/bn4e_branch2a",657.,365.,675.,18.,310.
123,124,"4e/bn4e_branch2a","4e/res4e_branch2a_relu",359.,341.,393.,34.,52.
124,125,"4e/res4e_branch2a_relu","4e/res4e_branch2b",338.,1181.,1194.,856.,13.
125,126,"4e/res4e_branch2b","4e/bn4e_branch2b",1176.,355.,1203.,27.,848.
126,127,"4e/bn4e_branch2b","4e/res4e_branch2b_relu",359.,345.,390.,31.,45.
127,128,"4e/res4e_branch2b_relu","4e/res4e_branch2c",340.,891.,929.,589.,38.
128,129,"4e/res4e_branch2c","4e/bn4e_branch2c",891.,825.,983.,92.,158.
129,130,"4e/bn4e_branch2c","4e/res4e",818.,967.,-999,-999,-999
130,131,"4e/res4e","4e/res4e_relu",971.,803.,1084.,113.,281.
131,132,"4e/res4e_relu","4f/res4f_branch2a",804.,661.,724.,-80.,63.
132,133,"4f/res4f_branch2a","4f/bn4f_branch2a",665.,364.,684.,19.,320.
133,134,"4f/bn4f_branch2a","4f/res4f_branch2a_relu",360.,342.,394.,34.,52.
134,135,"4f/res4f_branch2a_relu","4f/res4f_branch2b",345.,1178.,1194.,849.,16.
135,136,"4f/res4f_branch2b","4f/bn4f_branch2b",1170.,516.,1361.,191.,845.
136,137,"4f/bn4f_branch2b","4f/res4f_branch2b_relu",356.,354.,394.,38.,40.
137,138,"4f/res4f_branch2b_relu","4f/res4f_branch2c",354.,896.,918.,564.,22.
138,139,"4f/res4f_branch2c","4f/bn4f_branch2c",894.,821.,985.,91.,164.
139,140,"4f/bn4f_branch2c","4f/res4f",817.,974.,-999,-999,-999
140,141,"4f/res4f","4f/res4f_relu",970.,802.,1098.,128.,296.
141,142,"4f/res4f_relu","5a/res5a_branch1",797.,1225.,1296.,499.,71.
142,143,"5a/res5a_branch1","5a/bn5a_branch1",1182.,605.,1512.,330.,907.
143,144,"5a/bn5a_branch1","5a/res5a_branch2a",603.,641.,-999,-999,-999
144,145,"5a/res5a_branch2a","5a/bn5a_branch2a",721.,291.,762.,41.,471.
145,146,"5a/bn5a_branch2a","5a/res5a_branch2a_relu",286.,264.,324.,38.,60.
146,147,"5a/res5a_branch2a_relu","5a/res5a_branch2b",265.,1217.,1222.,957.,5.
147,148,"5a/res5a_branch2b","5a/bn5a_branch2b",1237.,277.,1106.,-131.,829.
148,149,"5a/bn5a_branch2b","5a/res5a_branch2b_relu",393.,271.,307.,-86.,36.
149,150,"5a/res5a_branch2b_relu","5a/res5a_branch2c",268.,956.,976.,708.,20.
150,151,"5a/res5a_branch2c","5a/bn5a_branch2c",954.,793.,942.,-12.,149.
151,152,"5a/bn5a_branch2c","5a/res5a",787.,685.,-999,-999,-999
152,153,"5a/res5a","5a/res5a_relu",592.,491.,657.,65.,166.
153,154,"5a/res5a_relu","5b/res5b_branch2a",473.,608.,884.,411.,276.
154,155,"5b/res5b_branch2a","5b/bn5b_branch2a",726.,282.,724.,-2.,442.
155,156,"5b/bn5b_branch2a","5b/res5b_branch2a_relu",286.,387.,408.,122.,21.
156,157,"5b/res5b_branch2a_relu","5b/res5b_branch2b",259.,1681.,1457.,1198.,-224.
157,158,"5b/res5b_branch2b","5b/bn5b_branch2b",1339.,396.,1393.,54.,997.
158,159,"5b/bn5b_branch2b","5b/res5b_branch2b_relu",427.,282.,462.,35.,180.
159,160,"5b/res5b_branch2b_relu","5b/res5b_branch2c",252.,967.,1141.,889.,174.
160,161,"5b/res5b_branch2c","5b/bn5b_branch2c",943.,532.,773.,-170.,241.
161,162,"5b/bn5b_branch2c","5b/res5b",539.,603.,-999,-999,-999
162,163,"5b/res5b","5b/res5b_relu",600.,505.,666.,66.,161.
163,164,"5b/res5b_relu","5c/res5c_branch2a",476.,838.,888.,412.,50.
164,165,"5c/res5c_branch2a","5c/bn5c_branch2a",770.,398.,774.,4.,376.
165,166,"5c/bn5c_branch2a","5c/res5c_branch2a_relu",286.,260.,306.,20.,46.
166,167,"5c/res5c_branch2a_relu","5c/res5c_branch2b",257.,1274.,1641.,1384.,367.
167,168,"5c/res5c_branch2b","5c/bn5c_branch2b",1329.,291.,1284.,-45.,993.
168,169,"5c/bn5c_branch2b","5c/res5c_branch2b_relu",292.,265.,327.,35.,62.
169,170,"5c/res5c_branch2b_relu","5c/res5c_branch2c",270.,941.,958.,688.,17.
170,171,"5c/res5c_branch2c","5c/bn5c_branch2c",949.,593.,1088.,139.,495.
171,172,"5c/bn5c_branch2c","5c/res5c",592.,619.,-999,-999,-999
172,173,"5c/res5c","5c/res5c_relu",564.,478.,630.,66.,152.
173,174,"5c/res5c_relu","pool5",480.,352.,381.,-99.,29.
174,175,"pool5","flatten_0",354.,165.,349.,-5.,184.
175,176,"flatten_0","fc1000",166.,323.,334.,168.,11.
176,177,"fc1000","prob",325.,189.,356.,31.,167.
