"start_index","end_index","start_name","end_name","start_index_time","end_index_time","path_time","path_minus_start_time","path_minus_end_time"
1,2,"conv1_1","relu1_1",15529.,16998.,17481.,1952.,483.
2,3,"relu1_1","conv1_2",17021.,49993.,52175.,35154.,2182.
3,4,"conv1_2","relu1_2",50026.,16966.,52985.,2959.,36019.
4,5,"relu1_2","pool1",17064.,9309.,11461.,-5603.,2152.
5,6,"pool1","conv2_1",9305.,15966.,22682.,13377.,6716.
6,7,"conv2_1","relu2_1",15954.,7217.,16898.,944.,9681.
7,8,"relu2_1","conv2_2",7214.,26467.,27261.,20047.,794.
8,9,"conv2_2","relu2_2",26860.,7159.,27895.,1035.,20736.
9,10,"relu2_2","pool2",7015.,4023.,4917.,-2098.,894.
10,11,"pool2","conv3_1",4031.,8882.,12119.,8088.,3237.
11,12,"conv3_1","relu3_1",8898.,2930.,9366.,468.,6436.
12,13,"relu3_1","conv3_2",2931.,16676.,16225.,13294.,-451.
13,14,"conv3_2","relu3_2",15393.,2928.,15896.,503.,12968.
14,15,"relu3_2","conv3_3",2947.,15962.,16338.,13391.,376.
15,16,"conv3_3","relu3_3",15787.,2895.,16391.,604.,13496.
16,17,"relu3_3","pool3",2930.,1946.,2240.,-690.,294.
17,18,"pool3","conv4_1",1941.,6781.,8647.,6706.,1866.
18,19,"conv4_1","relu4_1",6691.,1441.,7393.,702.,5952.
19,20,"relu4_1","conv4_2",1345.,12349.,12828.,11483.,479.
20,21,"conv4_2","relu4_2",12698.,1450.,12807.,109.,11357.
21,22,"relu4_2","conv4_3",1347.,12224.,12744.,11397.,520.
22,23,"conv4_3","relu4_3",12161.,1411.,12407.,246.,10996.
23,24,"relu4_3","pool4",1409.,1123.,1226.,-183.,103.
24,25,"pool4","conv5_1",1113.,2930.,3659.,2546.,729.
25,26,"conv5_1","relu5_1",2930.,512.,3006.,76.,2494.
26,27,"relu5_1","conv5_2",513.,2923.,2971.,2458.,48.
27,28,"conv5_2","relu5_2",2919.,504.,2986.,67.,2482.
28,29,"relu5_2","conv5_3",510.,2931.,2957.,2447.,26.
29,30,"conv5_3","relu5_3",2933.,512.,2993.,60.,2481.
30,31,"relu5_3","pool5",514.,445.,490.,-24.,45.
31,32,"pool5","flatten_0",453.,270.,456.,3.,186.
32,33,"flatten_0","fc6",270.,8219.,8265.,7995.,46.
33,34,"fc6","relu6",8213.,171.,8218.,5.,8047.
34,35,"relu6","drop6",175.,173.,173.,-2.,0.
35,36,"drop6","fc7",173.,1518.,1498.,1325.,-20.
36,37,"fc7","relu7",1535.,173.,1545.,10.,1372.
37,38,"relu7","drop7",172.,172.,174.,2.,2.
38,39,"drop7","fc8",168.,409.,481.,313.,72.
39,40,"fc8","prob",416.,182.,433.,17.,251.
