"start_index","end_index","start_name","end_name","own_time","path_time","diff_time"
1,2,"conv1","bn_conv1",4277.,4842.,565.
2,3,"bn_conv1","conv1_relu",3046.,3506.,460.
3,4,"conv1_relu","pool1_pad",3026.,4117.,1091.
4,5,"pool1_pad","pool1",3583.,3469.,-114.
5,6,"pool1","2a/res2a_branch1",2569.,4416.,1847.
6,7,"2a/res2a_branch1","2a/bn2a_branch1",2428.,2908.,480.
7,8,"2a/bn2a_branch1","2a/res2a_branch2a",3056.,-999,-999
8,9,"2a/res2a_branch2a","2a/bn2a_branch2a",851.,930.,79.
9,10,"2a/bn2a_branch2a","2a/res2a_branch2a_relu",825.,943.,118.
10,11,"2a/res2a_branch2a_relu","2a/res2a_branch2b",816.,2518.,1702.
11,12,"2a/res2a_branch2b","2a/bn2a_branch2b",2443.,2532.,89.
12,13,"2a/bn2a_branch2b","2a/res2a_branch2b_relu",827.,947.,120.
13,14,"2a/res2a_branch2b_relu","2a/res2a_branch2c",816.,2520.,1704.
14,15,"2a/res2a_branch2c","2a/bn2a_branch2c",2409.,2895.,486.
15,16,"2a/bn2a_branch2c","2a/res2a",3064.,-999,-999
16,17,"2a/res2a","2a/res2a_relu",4091.,4586.,495.
17,18,"2a/res2a_relu","2b/res2b_branch2a",3023.,1645.,-1378.
18,19,"2b/res2b_branch2a","2b/bn2b_branch2a",1343.,1417.,74.
19,20,"2b/bn2b_branch2a","2b/res2b_branch2a_relu",828.,946.,118.
20,21,"2b/res2b_branch2a_relu","2b/res2b_branch2b",821.,2534.,1713.
21,22,"2b/res2b_branch2b","2b/bn2b_branch2b",2462.,2541.,79.
22,23,"2b/bn2b_branch2b","2b/res2b_branch2b_relu",824.,944.,120.
23,24,"2b/res2b_branch2b_relu","2b/res2b_branch2c",815.,2528.,1713.
24,25,"2b/res2b_branch2c","2b/bn2b_branch2c",2419.,2918.,499.
25,26,"2b/bn2b_branch2c","2b/res2b",3063.,-999,-999
26,27,"2b/res2b","2b/res2b_relu",4079.,4593.,514.
27,28,"2b/res2b_relu","2c/res2c_branch2a",2994.,1641.,-1353.
28,29,"2c/res2c_branch2a","2c/bn2c_branch2a",1331.,1417.,86.
29,30,"2c/bn2c_branch2a","2c/res2c_branch2a_relu",823.,945.,122.
30,31,"2c/res2c_branch2a_relu","2c/res2c_branch2b",752.,2838.,2086.
31,32,"2c/res2c_branch2b","2c/bn2c_branch2b",2451.,2555.,104.
32,33,"2c/bn2c_branch2b","2c/res2c_branch2b_relu",851.,1135.,284.
33,34,"2c/res2c_branch2b_relu","2c/res2c_branch2c",780.,2595.,1815.
34,35,"2c/res2c_branch2c","2c/bn2c_branch2c",2461.,3110.,649.
35,36,"2c/bn2c_branch2c","2c/res2c",3177.,-999,-999
36,37,"2c/res2c","2c/res2c_relu",3957.,4501.,544.
37,38,"2c/res2c_relu","3a/res3a_branch1",2908.,2961.,53.
38,39,"3a/res3a_branch1","3a/bn3a_branch1",2560.,2851.,291.
39,40,"3a/bn3a_branch1","3a/res3a_branch2a",1486.,-999,-999
40,41,"3a/res3a_branch2a","3a/bn3a_branch2a",1355.,1319.,-36.
41,42,"3a/bn3a_branch2a","3a/res3a_branch2a_relu",517.,677.,160.
42,43,"3a/res3a_branch2a_relu","3a/res3a_branch2b",522.,1734.,1212.
43,44,"3a/res3a_branch2b","3a/bn3a_branch2b",1704.,1741.,37.
44,45,"3a/bn3a_branch2b","3a/res3a_branch2b_relu",529.,589.,60.
45,46,"3a/res3a_branch2b_relu","3a/res3a_branch2c",517.,1361.,844.
46,47,"3a/res3a_branch2c","3a/bn3a_branch2c",1322.,1493.,171.
47,48,"3a/bn3a_branch2c","3a/res3a",1426.,-999,-999
48,49,"3a/res3a","3a/res3a_relu",1854.,2042.,188.
49,50,"3a/res3a_relu","3b1/res3b1_branch2a",1422.,1076.,-346.
50,51,"3b1/res3b1_branch2a","3b1/bn3b1_branch2a",937.,990.,53.
51,52,"3b1/bn3b1_branch2a","3b1/res3b1_branch2a_relu",528.,593.,65.
52,53,"3b1/res3b1_branch2a_relu","3b1/res3b1_branch2b",529.,2401.,1872.
53,54,"3b1/res3b1_branch2b","3b1/bn3b1_branch2b",1808.,1958.,150.
54,55,"3b1/bn3b1_branch2b","3b1/res3b1_branch2b_relu",541.,680.,139.
55,56,"3b1/res3b1_branch2b_relu","3b1/res3b1_branch2c",531.,1351.,820.
56,57,"3b1/res3b1_branch2c","3b1/bn3b1_branch2c",1319.,1494.,175.
57,58,"3b1/bn3b1_branch2c","3b1/res3b1",1425.,-999,-999
58,59,"3b1/res3b1","3b1/res3b1_relu",1741.,1988.,247.
59,60,"3b1/res3b1_relu","3b2/res3b2_branch2a",1388.,1267.,-121.
60,61,"3b2/res3b2_branch2a","3b2/bn3b2_branch2a",1030.,1118.,88.
61,62,"3b2/bn3b2_branch2a","3b2/res3b2_branch2a_relu",742.,576.,-166.
62,63,"3b2/res3b2_branch2a_relu","3b2/res3b2_branch2b",523.,1942.,1419.
63,64,"3b2/res3b2_branch2b","3b2/bn3b2_branch2b",1919.,1850.,-69.
64,65,"3b2/bn3b2_branch2b","3b2/res3b2_branch2b_relu",519.,628.,109.
65,66,"3b2/res3b2_branch2b_relu","3b2/res3b2_branch2c",523.,1470.,947.
66,67,"3b2/res3b2_branch2c","3b2/bn3b2_branch2c",1419.,1483.,64.
67,68,"3b2/bn3b2_branch2c","3b2/res3b2",1431.,-999,-999
68,69,"3b2/res3b2","3b2/res3b2_relu",1841.,2025.,184.
69,70,"3b2/res3b2_relu","3b3/res3b3_branch2a",1402.,1076.,-326.
70,71,"3b3/res3b3_branch2a","3b3/bn3b3_branch2a",922.,987.,65.
71,72,"3b3/bn3b3_branch2a","3b3/res3b3_branch2a_relu",525.,585.,60.
72,73,"3b3/res3b3_branch2a_relu","3b3/res3b3_branch2b",516.,1731.,1215.
73,74,"3b3/res3b3_branch2b","3b3/bn3b3_branch2b",1703.,1732.,29.
74,75,"3b3/bn3b3_branch2b","3b3/res3b3_branch2b_relu",532.,592.,60.
75,76,"3b3/res3b3_branch2b_relu","3b3/res3b3_branch2c",514.,1367.,853.
76,77,"3b3/res3b3_branch2c","3b3/bn3b3_branch2c",1321.,1488.,167.
77,78,"3b3/bn3b3_branch2c","3b3/res3b3",1424.,-999,-999
78,79,"3b3/res3b3","3b3/res3b3_relu",1816.,2033.,217.
79,80,"3b3/res3b3_relu","3b4/res3b4_branch2a",1422.,1075.,-347.
80,81,"3b4/res3b4_branch2a","3b4/bn3b4_branch2a",928.,994.,66.
81,82,"3b4/bn3b4_branch2a","3b4/res3b4_branch2a_relu",526.,591.,65.
82,83,"3b4/res3b4_branch2a_relu","3b4/res3b4_branch2b",527.,1732.,1205.
83,84,"3b4/res3b4_branch2b","3b4/bn3b4_branch2b",1706.,1753.,47.
84,85,"3b4/bn3b4_branch2b","3b4/res3b4_branch2b_relu",524.,587.,63.
85,86,"3b4/res3b4_branch2b_relu","3b4/res3b4_branch2c",516.,1473.,957.
86,87,"3b4/res3b4_branch2c","3b4/bn3b4_branch2c",1313.,1477.,164.
87,88,"3b4/bn3b4_branch2c","3b4/res3b4",1423.,-999,-999
88,89,"3b4/res3b4","3b4/res3b4_relu",1829.,2013.,184.
89,90,"3b4/res3b4_relu","3b5/res3b5_branch2a",1401.,1067.,-334.
90,91,"3b5/res3b5_branch2a","3b5/bn3b5_branch2a",931.,998.,67.
91,92,"3b5/bn3b5_branch2a","3b5/res3b5_branch2a_relu",527.,584.,57.
92,93,"3b5/res3b5_branch2a_relu","3b5/res3b5_branch2b",520.,1736.,1216.
93,94,"3b5/res3b5_branch2b","3b5/bn3b5_branch2b",1703.,1747.,44.
94,95,"3b5/bn3b5_branch2b","3b5/res3b5_branch2b_relu",525.,581.,56.
95,96,"3b5/res3b5_branch2b_relu","3b5/res3b5_branch2c",517.,1351.,834.
96,97,"3b5/res3b5_branch2c","3b5/bn3b5_branch2c",1336.,1675.,339.
97,98,"3b5/bn3b5_branch2c","3b5/res3b5",1506.,-999,-999
98,99,"3b5/res3b5","3b5/res3b5_relu",1770.,1965.,195.
99,100,"3b5/res3b5_relu","3b6/res3b6_branch2a",1372.,1222.,-150.
