"start_index","end_index","start_name","end_name","start_index_time","end_index_time","path_time","path_minus_start_time","path_minus_end_time"
1,2,"conv1a","pool1",77732.,24362.,23928.,-53804.,-434.
2,3,"pool1","2a/bn2a_branch2a",24228.,7469.,25470.,1242.,18001.
3,4,"2a/bn2a_branch2a","2a/res2a_branch2a_relu",7591.,7591.,8598.,1007.,1007.
4,5,"2a/res2a_branch2a_relu","2a/res2a_branch1",7440.,15891.,17249.,9809.,1358.
5,6,"2a/res2a_branch1","2a/res2a_branch2a",15797.,33972.,-999,-999,-999
6,7,"2a/res2a_branch2a","2a/bn2a_branch2b1",33926.,17458.,36206.,2280.,18748.
7,8,"2a/bn2a_branch2b1","2a/res2a_branch2b1_relu",17375.,17373.,19395.,2020.,2022.
8,9,"2a/res2a_branch2b1_relu","2a/res2a_branch2b1",17377.,54671.,56965.,39588.,2294.
9,10,"2a/res2a_branch2b1","2a/_plus2a",54747.,21528.,-999,-999,-999
10,11,"2a/_plus2a","2b1/bn2b1_branch2a",20857.,17344.,23722.,2865.,6378.
11,12,"2b1/bn2b1_branch2a","2b1/res2b1_branch2a_relu",17302.,17287.,19300.,1998.,2013.
12,13,"2b1/res2b1_branch2a_relu","2b1/res2b1_branch2a",17361.,54943.,57189.,39828.,2246.
13,14,"2b1/res2b1_branch2a","2b1/bn2b1_branch2b1",54900.,17578.,57201.,2301.,39623.
14,15,"2b1/bn2b1_branch2b1","2b1/res2b1_branch2b1_relu",17607.,17564.,19561.,1954.,1997.
15,16,"2b1/res2b1_branch2b1_relu","2b1/res2b1_branch2b1",17568.,54956.,57243.,39675.,2287.
16,17,"2b1/res2b1_branch2b1","2b1/_plus2b1",54989.,21753.,-999,-999,-999
17,18,"2b1/_plus2b1","2b2/bn2b2_branch2a",21631.,17646.,23886.,2255.,6240.
18,19,"2b2/bn2b2_branch2a","2b2/res2b2_branch2a_relu",17600.,17559.,19536.,1936.,1977.
19,20,"2b2/res2b2_branch2a_relu","2b2/res2b2_branch2a",17568.,54867.,57220.,39652.,2353.
20,21,"2b2/res2b2_branch2a","2b2/bn2b2_branch2b1",54950.,17661.,57534.,2584.,39873.
21,22,"2b2/bn2b2_branch2b1","2b2/res2b2_branch2b1_relu",17595.,17548.,19553.,1958.,2005.
22,23,"2b2/res2b2_branch2b1_relu","2b2/res2b2_branch2b1",17566.,54905.,57204.,39638.,2299.
23,24,"2b2/res2b2_branch2b1","2b2/_plus2b2",54875.,21797.,-999,-999,-999
24,25,"2b2/_plus2b2","pool2",21173.,11434.,17902.,-3271.,6468.
25,26,"pool2","3a/bn3a_branch2a",11564.,3085.,12000.,436.,8915.
26,27,"3a/bn3a_branch2a","3a/res3a_branch2a_relu",3080.,3042.,3561.,481.,519.
27,28,"3a/res3a_branch2a_relu","3a/res3a_branch1",3070.,6476.,7069.,3999.,593.
28,29,"3a/res3a_branch1","3a/res3a_branch2a",6490.,19077.,-999,-999,-999
29,30,"3a/res3a_branch2a","3a/bn3a_branch2b1",19073.,7367.,20274.,1201.,12907.
30,31,"3a/bn3a_branch2b1","3a/res3a_branch2b1_relu",7313.,7353.,8523.,1210.,1170.
31,32,"3a/res3a_branch2b1_relu","3a/res3a_branch2b1",7361.,32339.,34026.,26665.,1687.
32,33,"3a/res3a_branch2b1","3a/_plus3a",32348.,9559.,-999,-999,-999
33,34,"3a/_plus3a","3b1/bn3b1_branch2a",9624.,7492.,10902.,1278.,3410.
34,35,"3b1/bn3b1_branch2a","3b1/res3b1_branch2a_relu",7504.,7479.,8591.,1087.,1112.
35,36,"3b1/res3b1_branch2a_relu","3b1/res3b1_branch2a",7464.,32362.,33440.,25976.,1078.
36,37,"3b1/res3b1_branch2a","3b1/bn3b1_branch2b1",32398.,7536.,33471.,1073.,25935.
37,38,"3b1/bn3b1_branch2b1","3b1/res3b1_branch2b1_relu",7497.,7465.,8685.,1188.,1220.
38,39,"3b1/res3b1_branch2b1_relu","3b1/res3b1_branch2b1",7514.,32369.,33458.,25944.,1089.
39,40,"3b1/res3b1_branch2b1","3b1/_plus3b1",32339.,9572.,-999,-999,-999
40,41,"3b1/_plus3b1","3b2/bn3b2_branch2a",9607.,7523.,10900.,1293.,3377.
41,42,"3b2/bn3b2_branch2a","3b2/res3b2_branch2a_relu",7528.,7483.,8678.,1150.,1195.
42,43,"3b2/res3b2_branch2a_relu","3b2/res3b2_branch2a",7497.,32352.,33450.,25953.,1098.
43,44,"3b2/res3b2_branch2a","3b2/bn3b2_branch2b1",32373.,7510.,33447.,1074.,25937.
44,45,"3b2/bn3b2_branch2b1","3b2/res3b2_branch2b1_relu",7524.,7484.,8609.,1085.,1125.
45,46,"3b2/res3b2_branch2b1_relu","3b2/res3b2_branch2b1",7465.,32377.,33429.,25964.,1052.
46,47,"3b2/res3b2_branch2b1","3b2/_plus3b2",32341.,9574.,-999,-999,-999
47,48,"3b2/_plus3b2","pool3",9417.,5237.,8256.,-1161.,3019.
48,49,"pool3","4a/bn4a_branch2a",5206.,1358.,5479.,273.,4121.
49,50,"4a/bn4a_branch2a","4a/res4a_branch2a_relu",1373.,1355.,1602.,229.,247.
50,51,"4a/res4a_branch2a_relu","4a/res4a_branch1",1349.,3091.,3377.,2028.,286.
51,52,"4a/res4a_branch1","4a/res4a_branch2a",3089.,12652.,-999,-999,-999
52,53,"4a/res4a_branch2a","4a/bn4a_branch2b1",12648.,3108.,13274.,626.,10166.
53,54,"4a/bn4a_branch2b1","4a/res4a_branch2b1_relu",3098.,3090.,3600.,502.,510.
54,55,"4a/res4a_branch2b1_relu","4a/res4a_branch2b1",3021.,22948.,23539.,20518.,591.
55,56,"4a/res4a_branch2b1","4a/_plus4a",22919.,4190.,-999,-999,-999
56,57,"4a/_plus4a","4b1/bn4b1_branch2a",4170.,3008.,4647.,477.,1639.
57,58,"4b1/bn4b1_branch2a","4b1/res4b1_branch2a_relu",3026.,3007.,3495.,469.,488.
58,59,"4b1/res4b1_branch2a_relu","4b1/res4b1_branch2a",2996.,22878.,23413.,20417.,535.
