"start_index","end_index","start_name","end_name","own_time","path_time","diff_time"
1,2,"conv1_1","relu1_1",15774.,17838.,2064.
2,3,"relu1_1","conv1_2",17077.,53479.,36402.
3,4,"conv1_2","relu1_2",50092.,51911.,1819.
4,5,"relu1_2","pool1",17194.,11523.,-5671.
5,6,"pool1","conv2_1",9379.,22709.,13330.
6,7,"conv2_1","relu2_1",15907.,16851.,944.
7,8,"relu2_1","conv2_2",7292.,27352.,20060.
8,9,"conv2_2","relu2_2",26206.,27103.,897.
9,10,"relu2_2","pool2",7310.,5143.,-2167.
10,11,"pool2","conv3_1",4214.,12196.,7982.
11,12,"conv3_1","relu3_1",8884.,9399.,515.
12,13,"relu3_1","conv3_2",2991.,15969.,12978.
13,14,"conv3_2","relu3_2",15430.,15850.,420.
14,15,"relu3_2","conv3_3",2975.,15885.,12910.
15,16,"conv3_3","relu3_3",15417.,15887.,470.
16,17,"relu3_3","conv3_4",3000.,15929.,12929.
17,18,"conv3_4","relu3_4",15416.,15909.,493.
18,19,"relu3_4","pool3",2995.,2348.,-647.
19,20,"pool3","conv4_1",2070.,8118.,6048.
20,21,"conv4_1","relu4_1",6487.,6743.,256.
21,22,"relu4_1","conv4_2",1388.,12440.,11052.
22,23,"conv4_2","relu4_2",12121.,12373.,252.
23,24,"relu4_2","conv4_3",1438.,12462.,11024.
24,25,"conv4_3","relu4_3",12150.,12395.,245.
25,26,"relu4_3","conv4_4",1418.,12437.,11019.
26,27,"conv4_4","relu4_4",12461.,12617.,156.
27,28,"relu4_4","pool4",1393.,1242.,-151.
28,29,"pool4","conv5_1",1108.,3637.,2529.
29,30,"conv5_1","relu5_1",2932.,2996.,64.
30,31,"relu5_1","conv5_2",512.,2970.,2458.
31,32,"conv5_2","relu5_2",2941.,3203.,262.
32,33,"relu5_2","conv5_3",521.,3184.,2663.
33,34,"conv5_3","relu5_3",3147.,3226.,79.
34,35,"relu5_3","conv5_4",500.,3168.,2668.
35,36,"conv5_4","relu5_4",3153.,3056.,-97.
36,37,"relu5_4","pool5",483.,436.,-47.
37,38,"pool5","flatten_0",413.,410.,-3.
38,39,"flatten_0","fc6",242.,8412.,8170.
39,40,"fc6","relu6",8293.,8366.,73.
40,41,"relu6","drop6",166.,167.,1.
41,42,"drop6","fc7",164.,1670.,1506.
42,43,"fc7","relu7",1685.,1686.,1.
43,44,"relu7","drop7",163.,166.,3.
44,45,"drop7","fc8",166.,490.,324.
45,46,"fc8","prob",486.,522.,36.
