"start_index","end_index","start_name","end_name","own_time","path_time","diff_time"
1,2,"conv1_7x7_s2","conv1_relu_7x7",6431.,5084.,-1347.
2,3,"conv1_relu_7x7","pool1_3x3_s2_pad",3009.,4130.,1121.
3,4,"pool1_3x3_s2_pad","pool1_3x3_s2",3573.,3472.,-101.
4,5,"pool1_3x3_s2","pool1_norm1",2581.,5984.,3403.
5,6,"pool1_norm1","conv2_3x3_reduce",4182.,4359.,177.
6,7,"conv2_3x3_reduce","conv2_relu_3x3_reduce",954.,1254.,300.
7,8,"conv2_relu_3x3_reduce","conv2_3x3",810.,4518.,3708.
8,9,"conv2_3x3","conv2_relu_3x3",4423.,4806.,383.
9,10,"conv2_relu_3x3","conv2_norm2",2107.,12912.,10805.
10,11,"conv2_norm2","pool2_3x3_s2_pad",12445.,13108.,663.
11,12,"pool2_3x3_s2_pad","pool2_3x3_s2",2583.,2653.,70.
12,13,"pool2_3x3_s2","inception_3a/1x1",1959.,1872.,-87.
13,14,"inception_3a/1x1","inception_3a/relu_1x1",490.,560.,70.
14,15,"inception_3a/relu_1x1","inception_3a/3x3_reduce",355.,-999,-999
15,16,"inception_3a/3x3_reduce","inception_3a/relu_3x3_reduce",589.,703.,114.
16,17,"inception_3a/relu_3x3_reduce","inception_3a/3x3",432.,2242.,1810.
17,18,"inception_3a/3x3","inception_3a/relu_3x3",1690.,1611.,-79.
18,19,"inception_3a/relu_3x3","inception_3a/5x5_reduce",495.,-999,-999
19,20,"inception_3a/5x5_reduce","inception_3a/relu_5x5_reduce",350.,366.,16.
20,21,"inception_3a/relu_5x5_reduce","inception_3a/5x5",210.,850.,640.
21,22,"inception_3a/5x5","inception_3a/relu_5x5",746.,763.,17.
22,23,"inception_3a/relu_5x5","inception_3a/pool",265.,-999,-999
23,24,"inception_3a/pool","inception_3a/pool_proj",1730.,1612.,-118.
24,25,"inception_3a/pool_proj","inception_3a/relu_pool_proj",395.,423.,28.
25,26,"inception_3a/relu_pool_proj","inception_3a/output",269.,-999,-999
26,27,"inception_3a/output","inception_3b/1x1",851.,882.,31.
27,28,"inception_3b/1x1","inception_3b/relu_1x1",704.,927.,223.
28,29,"inception_3b/relu_1x1","inception_3b/3x3_reduce",519.,-999,-999
29,30,"inception_3b/3x3_reduce","inception_3b/relu_3x3_reduce",754.,929.,175.
