"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",1,8,7,50,"7","11/4/1/1/4/1","7-11/1-11/2-11/3-11/4/1/1/1-11/4/1/1/2-11/4/1/1/3-11/4/1/1/4/1","Elementwise","Elementwise","Elementwise-Convolution-BatchNormalization-Elementwise-BatchNormalization-Elementwise-Convolution-Elementwise",22328.,22610.4667,50285.,"{50285., 22946., 22734., 22418., 22818., 22663., 22586., 22694., 22631., 22707., 22545., 22512., 22556., 22929., 23019., 22771., 22636., 22525., 22581., 22600., 22616., 22466., 22698., 22417., 22564., 22448., 22567., 22471., 22328., 22722., 22611., 22755., 22552., 22551., 22778., 22668., 22509., 22670., 22710., 22441., 22602., 22560., 22520., 22459., 22563., 22730., 22733., 22569., 22497., 22605.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",9,9,0,50,"11/4/1/1/4/2/1/1","11/4/1/1/4/2/1/1","11/4/1/1/4/2/1/1","BatchNormalization","BatchNormalization","BatchNormalization",408.,428.9667,685.,"{685., 608., 480., 415., 414., 413., 412., 410., 411., 410., 413., 412., 409., 409., 409., 409., 411., 451., 413., 408., 409., 637., 454., 436., 433., 431., 431., 431., 432., 450., 434., 431., 431., 459., 431., 430., 431., 431., 446., 432., 480., 433., 442., 437., 434., 434., 435., 455., 436., 435.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",10,10,0,50,"11/4/1/1/4/2/1/2","11/4/1/1/4/2/1/2","11/4/1/1/4/2/1/2","Elementwise","Elementwise","Elementwise",403.,408.23330000000004,657.,"{657., 522., 443., 410., 461., 409., 408., 422., 409., 407., 408., 408., 429., 409., 407., 409., 408., 408., 408., 408., 408., 453., 406., 406., 405., 403., 404., 404., 450., 406., 421., 417., 405., 405., 437., 405., 405., 404., 403., 404., 422., 404., 403., 405., 428., 405., 404., 405., 405., 403.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",11,11,0,50,"11/4/1/1/4/2/1/3","11/4/1/1/4/2/1/3","11/4/1/1/4/2/1/3","Convolution","Convolution","Convolution",13196.,13452.3667,30898.,"{30898., 13773., 13539., 13463., 13591., 13663., 13631., 13581., 13495., 13243., 13378., 13649., 13218., 13383., 13396., 13667., 13567., 13566., 13439., 13462., 13376., 13400., 13552., 13449., 13387., 13501., 13461., 13487., 13445., 13196., 13286., 13357., 13308., 13271., 13411., 13422., 13352., 13552., 13527., 13657., 13539., 13565., 13313., 13377., 13275., 13266., 13465., 13301., 13287., 13512.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",12,12,0,50,"11/4/1/1/4/2/2/1","11/4/1/1/4/2/2/1","11/4/1/1/4/2/2/1","Elementwise","Elementwise","Elementwise",215.,218.70000000000002,403.,"{403., 268., 230., 241., 220., 219., 219., 219., 219., 219., 219., 218., 219., 219., 219., 219., 218., 218., 220., 218., 219., 230., 220., 218., 218., 218., 218., 218., 220., 233., 219., 219., 219., 218., 250., 219., 218., 217., 286., 221., 218., 216., 217., 216., 216., 216., 217., 215., 216., 216.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",13,13,0,50,"11/4/1/1/4/2/2/2/1","11/4/1/1/4/2/2/2/1","11/4/1/1/4/2/2/2/1","BatchNormalization","BatchNormalization","BatchNormalization",220.,224.0667,343.,"{343., 282., 230., 226., 226., 226., 224., 225., 225., 225., 226., 225., 225., 224., 226., 224., 225., 223., 240., 224., 224., 223., 224., 223., 223., 223., 238., 223., 223., 224., 224., 223., 255., 224., 223., 249., 304., 225., 223., 223., 223., 221., 220., 222., 221., 221., 220., 221., 220., 221.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",14,14,0,50,"11/4/1/1/4/2/2/2/2","11/4/1/1/4/2/2/2/2","11/4/1/1/4/2/2/2/2","Elementwise","Elementwise","Elementwise",217.,220.4,329.,"{329., 252., 222., 221., 220., 220., 221., 220., 220., 221., 221., 221., 220., 221., 221., 220., 238., 222., 221., 220., 220., 221., 220., 220., 233., 220., 220., 221., 220., 220., 249., 221., 220., 234., 221., 269., 221., 220., 220., 219., 220., 220., 220., 220., 220., 220., 219., 217., 218., 217.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",15,15,0,50,"11/4/1/1/4/2/2/2/3","11/4/1/1/4/2/2/2/3","11/4/1/1/4/2/2/2/3","Convolution","Convolution","Convolution",5726.,5886.0333,15380.,"{15380., 6458., 6428., 6238., 6048., 5939., 5952., 5994., 5875., 5940., 5823., 5854., 5836., 5850., 5944., 5825., 5875., 5817., 5909., 6000., 5843., 5888., 5906., 5827., 5773., 5828., 6109., 5777., 5851., 5926., 5890., 5902., 5803., 5890., 5844., 5867., 6046., 5838., 6016., 5915., 5885., 5828., 5824., 5933., 5726., 5872., 5845., 5907., 5949., 5816.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",16,16,0,50,"11/4/1/1/4/2/2/3","11/4/1/1/4/2/2/3","11/4/1/1/4/2/2/3","Catenate","Catenate","Catenate",404.,407.0667,739.,"{739., 545., 462., 411., 410., 411., 409., 425., 412., 410., 408., 408., 422., 408., 407., 407., 437., 407., 407., 407., 407., 474., 408., 406., 405., 405., 404., 404., 405., 404., 406., 418., 406., 405., 405., 405., 405., 404., 404., 405., 441., 405., 405., 404., 406., 451., 406., 405., 405., 405.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",17,17,0,50,"11/4/1/1/4/3","11/4/1/1/4/3","11/4/1/1/4/3","Catenate","Catenate","Catenate",899.,934.5667000000001,1528.,"{1528., 1513., 1279., 1075., 1016., 943., 957., 928., 956., 932., 968., 972., 908., 911., 949., 916., 906., 912., 931., 940., 899., 899., 965., 944., 910., 920., 906., 930., 902., 900., 942., 933., 915., 980., 909., 952., 910., 914., 918., 952., 995., 942., 928., 937., 1009., 932., 940., 920., 949., 929.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",18,18,0,50,"11/4/1/2/1","11/4/1/2/1","11/4/1/2/1","BatchNormalization","BatchNormalization","BatchNormalization",408.,412.6,717.,"{717., 647., 453., 416., 413., 429., 414., 414., 413., 412., 434., 413., 411., 412., 411., 412., 412., 440., 411., 411., 413., 414., 410., 409., 409., 457., 409., 410., 408., 445., 409., 410., 411., 410., 409., 410., 410., 411., 424., 411., 441., 410., 410., 410., 411., 411., 411., 411., 425., 443.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",19,19,0,50,"11/4/1/2/2","11/4/1/2/2","11/4/1/2/2","Elementwise","Elementwise","Elementwise",404.,408.5667,653.,"{653., 511., 422., 427., 409., 437., 408., 409., 408., 409., 408., 408., 426., 407., 460., 408., 408., 422., 406., 407., 407., 407., 427., 405., 407., 406., 405., 405., 406., 432., 407., 417., 406., 405., 404., 406., 405., 404., 452., 406., 420., 418., 406., 405., 406., 405., 404., 404., 404., 405.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",20,20,0,50,"11/4/1/2/3","11/4/1/2/3","11/4/1/2/3","Convolution","Convolution","Convolution",1199.,1226.6667,2273.,"{2273., 1924., 1594., 1356., 1291., 1238., 1252., 1296., 1218., 1238., 1212., 1205., 1251., 1207., 1210., 1307., 1215., 1215., 1217., 1230., 1236., 1215., 1230., 1279., 1214., 1227., 1217., 1201., 1244., 1209., 1209., 1283., 1224., 1202., 1199., 1215., 1224., 1203., 1215., 1253., 1219., 1231., 1238., 1207., 1223., 1229., 1201., 1256., 1241., 1204.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",21,28,7,50,"11/4/1/3","11/6/1/1/4/2/1/2","11/4/1/3-11/5-11/6/1/1/1-11/6/1/1/2-11/6/1/1/3-11/6/1/1/4/1-11/6/1/1/4/2/1/1-11/6/1/1/4/2/1/2","Total","Elementwise","Total-Pooling-BatchNormalization-Elementwise-Convolution-Elementwise-BatchNormalization-Elementwise",13609.,13774.8333,14619.,"{14619., 14106., 13904., 13958., 13782., 13952., 13836., 13715., 13851., 13818., 13754., 14011., 13790., 13787., 13778., 13687., 13667., 13801., 13810., 13750., 13797., 13769., 13750., 13609., 13752., 13799., 13802., 13701., 13733., 13778., 13929., 13754., 13837., 13682., 13707., 13690., 13865., 13808., 13669., 13670., 13754., 13941., 13672., 13702., 13665., 13757., 13719., 13801., 13846., 13759.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",29,29,0,50,"11/6/1/1/4/2/1/3","11/6/1/1/4/2/1/3","11/6/1/1/4/2/1/3","Convolution","Convolution","Convolution",2634.,2704.3,3516.,"{3516., 3200., 3017., 2936., 2869., 2858., 2772., 2808., 2763., 2773., 2702., 2745., 2725., 2720., 2682., 2741., 2706., 2695., 2784., 2691., 2737., 2661., 2699., 2638., 2689., 2647., 2678., 2694., 2689., 2720., 2695., 2741., 2669., 2708., 2721., 2641., 2671., 2685., 2656., 2680., 2673., 2634., 2684., 2696., 2673., 2685., 2731., 2639., 2635., 2681.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",30,30,0,50,"11/6/1/1/4/2/2/1","11/6/1/1/4/2/2/1","11/6/1/1/4/2/2/1","Elementwise","Elementwise","Elementwise",46.,47.566700000000004,97.,"{97., 53., 74., 51., 48., 49., 48., 47., 48., 48., 51., 48., 48., 48., 48., 48., 48., 47., 47., 48., 47., 48., 47., 48., 47., 47., 47., 48., 47., 47., 47., 48., 47., 48., 48., 47., 47., 47., 48., 47., 48., 47., 46., 47., 47., 47., 47., 48., 47., 48.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",31,31,0,50,"11/6/1/1/4/2/2/2/1","11/6/1/1/4/2/2/2/1","11/6/1/1/4/2/2/2/1","BatchNormalization","BatchNormalization","BatchNormalization",66.,66.8,101.,"{101., 69., 68., 78., 80., 68., 66., 66., 67., 66., 67., 67., 67., 67., 67., 66., 67., 67., 67., 67., 67., 66., 66., 67., 66., 67., 70., 69., 67., 66., 66., 67., 67., 67., 67., 67., 66., 67., 66., 67., 67., 66., 66., 67., 67., 66., 67., 66., 67., 66.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",32,32,0,50,"11/6/1/1/4/2/2/2/2","11/6/1/1/4/2/2/2/2","11/6/1/1/4/2/2/2/2","Elementwise","Elementwise","Elementwise",59.,59.6,92.,"{92., 62., 60., 60., 60., 60., 60., 59., 59., 59., 60., 59., 59., 60., 59., 60., 59., 59., 69., 61., 60., 60., 59., 59., 59., 60., 60., 59., 59., 59., 60., 60., 59., 60., 59., 59., 60., 59., 60., 60., 59., 60., 59., 60., 59., 62., 62., 59., 60., 80.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",33,33,0,50,"11/6/1/1/4/2/2/2/3","11/6/1/1/4/2/2/2/3","11/6/1/1/4/2/2/2/3","Convolution","Convolution","Convolution",1394.,1431.8000000000002,2878.,"{2878., 1468., 1426., 1504., 1413., 1465., 1404., 1433., 1438., 1420., 1400., 1450., 1462., 1421., 1481., 1434., 1394., 1424., 1419., 1461., 1429., 1411., 1428., 1422., 1395., 1437., 1441., 1429., 1461., 1399., 1427., 1421., 1397., 1483., 1424., 1438., 1455., 1400., 1432., 1447., 1431., 1441., 1430., 1400., 1423., 1426., 1406., 1462., 1447., 1448.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",34,34,0,50,"11/6/1/1/4/2/2/3","11/6/1/1/4/2/2/3","11/6/1/1/4/2/2/3","Catenate","Catenate","Catenate",108.,108.7667,195.,"{195., 144., 112., 110., 110., 109., 110., 109., 109., 108., 119., 139., 109., 109., 108., 108., 108., 108., 108., 109., 109., 109., 109., 108., 109., 109., 108., 109., 109., 108., 112., 112., 109., 108., 109., 108., 109., 108., 109., 108., 109., 109., 108., 108., 109., 117., 108., 108., 108., 109.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",35,35,0,50,"11/6/1/1/4/3","11/6/1/1/4/3","11/6/1/1/4/3","Catenate","Catenate","Catenate",195.,198.0667,351.,"{351., 291., 224., 229., 199., 199., 199., 199., 199., 199., 199., 198., 198., 199., 213., 199., 198., 198., 198., 198., 199., 199., 209., 208., 197., 196., 196., 196., 196., 195., 197., 196., 197., 196., 205., 200., 196., 196., 197., 197., 196., 197., 203., 198., 197., 197., 199., 198., 197., 197.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",36,36,0,50,"11/6/1/2","11/6/1/2","11/6/1/2","Elementwise","Elementwise","Elementwise",193.,196.5,272.,"{272., 234., 198., 199., 198., 197., 197., 196., 210., 196., 198., 196., 197., 197., 196., 196., 197., 197., 197., 220., 199., 197., 197., 197., 197., 194., 195., 205., 204., 195., 195., 195., 195., 195., 195., 194., 195., 194., 196., 194., 198., 198., 195., 195., 207., 197., 195., 204., 193., 195.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",37,44,7,50,"11/6/1/3","11/7/1/1/4/2/1/3","11/6/1/3-11/7/1/1/1-11/7/1/1/2-11/7/1/1/3-11/7/1/1/4/1-11/7/1/1/4/2/1/1-11/7/1/1/4/2/1/2-11/7/1/1/4/2/1/3","Total","Convolution","Total-BatchNormalization-Elementwise-Convolution-Elementwise-BatchNormalization-Elementwise-Convolution",17006.,17274.4333,26621.,"{26621., 17559., 17517., 17455., 17342., 17435., 17280., 17324., 17432., 17187., 17240., 17220., 17156., 17207., 17209., 17096., 17006., 17229., 17149., 17120., 17304., 17265., 17134., 17229., 17155., 17166., 17415., 17269., 17159., 17505., 17791., 17322., 17120., 17291., 17301., 17294., 17326., 17349., 17624., 17430., 17275., 17206., 17199., 17339., 17386., 17186., 17142., 17355., 17294., 17224.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",45,45,0,50,"11/7/1/1/4/2/2/1","11/7/1/1/4/2/2/1","11/7/1/1/4/2/2/1","Elementwise","Elementwise","Elementwise",104.,106.4,209.,"{209., 143., 110., 107., 106., 107., 107., 106., 106., 107., 106., 107., 107., 106., 107., 116., 107., 107., 106., 106., 106., 106., 136., 104., 106., 107., 106., 107., 105., 107., 106., 106., 107., 106., 106., 106., 107., 106., 106., 106., 106., 116., 105., 106., 107., 106., 106., 106., 106., 116.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",46,46,0,50,"11/7/1/1/4/2/2/2/1","11/7/1/1/4/2/2/2/1","11/7/1/1/4/2/2/2/1","BatchNormalization","BatchNormalization","BatchNormalization",113.,113.83330000000001,158.,"{158., 146., 114., 114., 113., 115., 113., 115., 114., 114., 123., 114., 113., 115., 114., 114., 114., 114., 127., 116., 113., 113., 113., 114., 113., 123., 113., 114., 113., 114., 113., 114., 115., 113., 113., 114., 115., 114., 113., 114., 113., 114., 130., 113., 114., 114., 114., 113., 113., 114.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",47,47,0,50,"11/7/1/1/4/2/2/2/2","11/7/1/1/4/2/2/2/2","11/7/1/1/4/2/2/2/2","Elementwise","Elementwise","Elementwise",104.,105.6667,154.,"{154., 117., 109., 108., 107., 118., 117., 105., 104., 105., 105., 105., 105., 106., 104., 106., 105., 105., 105., 105., 106., 106., 105., 105., 105., 105., 105., 105., 105., 105., 106., 105., 105., 104., 106., 104., 105., 105., 105., 104., 105., 136., 107., 108., 108., 108., 108., 107., 108., 107.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",48,48,0,50,"11/7/1/1/4/2/2/2/3","11/7/1/1/4/2/2/2/3","11/7/1/1/4/2/2/2/3","Convolution","Convolution","Convolution",3073.,3140.6667,5596.,"{5596., 3427., 3330., 3243., 3186., 3119., 3115., 3204., 3099., 3158., 3185., 3155., 3086., 3144., 3165., 3108., 3159., 3129., 3108., 3153., 3170., 3108., 3137., 3183., 3109., 3135., 3178., 3088., 3094., 3146., 3137., 3073., 3144., 3164., 3146., 3152., 3113., 3086., 3101., 3178., 3119., 3120., 3213., 3131., 3088., 3188., 3095., 3121., 3175., 3132.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",49,49,0,50,"11/7/1/1/4/2/2/3","11/7/1/1/4/2/2/3","11/7/1/1/4/2/2/3","Catenate","Catenate","Catenate",216.,219.,384.,"{384., 274., 225., 220., 220., 220., 238., 219., 219., 220., 219., 218., 220., 219., 219., 218., 219., 219., 219., 218., 218., 219., 219., 302., 221., 219., 266., 220., 219., 219., 219., 232., 221., 219., 249., 220., 217., 217., 218., 217., 235., 217., 217., 217., 217., 217., 217., 217., 216., 217.}"
"2D Face Alignment Net Trained on 300W Large Pose Data","c5.xlarge",50,50,0,50,"11/7/1/1/4/3","11/7/1/1/4/3","11/7/1/1/4/3","Catenate","Catenate","Catenate",404.,408.7667,737.,"{737., 598., 447., 412., 410., 410., 408., 409., 408., 410., 426., 408., 407., 407., 407., 407., 406., 458., 407., 407., 438., 436., 407., 405., 434., 404., 404., 405., 404., 417., 405., 404., 406., 404., 405., 404., 404., 405., 405., 418., 405., 449., 407., 420., 405., 430., 406., 405., 423., 406.}"
