"model_name","instance_type","start_index","end_index","sequence_length","num_runs","start_name","end_name","sequence_name","start_layer_kind","end_layer_kind","sequence_layer_kind","start_layer_path_time","mean_path_time","end_layer_path_time","raw_path_time"
"CycleGAN Winter-to-Summer Translation","c5.xlarge",1,1,0,50,"1","1","1","Elementwise","Elementwise","Elementwise",153.,154.1,690.,"{690., 170., 157., 154., 154., 175., 156., 154., 154., 154., 154., 153., 154., 154., 154., 154., 153., 154., 153., 153., 154., 154., 168., 156., 154., 154., 153., 164., 154., 153., 174., 155., 155., 154., 154., 154., 153., 154., 154., 153., 154., 154., 154., 153., 154., 154., 153., 154., 168., 155.}"
"CycleGAN Winter-to-Summer Translation","c5.xlarge",2,2,0,50,"2","2","2","Padding","Padding","Padding",259.,260.0667,693.,"{693., 284., 264., 270., 274., 285., 262., 260., 259., 260., 259., 260., 259., 260., 259., 259., 261., 261., 259., 259., 284., 260., 260., 259., 260., 260., 259., 260., 259., 259., 260., 260., 259., 259., 260., 279., 260., 259., 260., 263., 273., 261., 259., 260., 260., 259., 273., 261., 260., 259.}"
"CycleGAN Winter-to-Summer Translation","c5.xlarge",3,3,0,50,"3","3","3","Convolution","Convolution","Convolution",13431.,13710.1,36543.,"{36543., 14495., 14290., 14338., 14287., 14270., 14267., 14136., 14286., 14227., 14144., 14199., 14177., 13840., 13647., 13672., 13587., 13736., 13783., 13600., 13560., 13517., 13560., 13515., 13549., 13506., 13485., 13542., 13514., 13708., 13886., 13714., 13575., 13677., 13534., 13554., 13710., 13582., 13482., 13679., 13489., 13431., 13557., 13551., 13525., 13536., 13537., 17001., 13708., 13597.}"
"CycleGAN Winter-to-Summer Translation","c5.xlarge",4,4,0,50,"4","4","4","Normalization","Normalization","Normalization",103952.,104045.3,104314.,"{104314., 103979., 104076., 103952., 104028., 104093., 104112., 104178., 103996., 104004., 104012., 104087., 104007., 103966., 103959., 104108., 104086., 104109., 104043., 103994., 104036., 104063., 104105., 104202., 103963., 104098., 104060., 104014., 103971., 103978., 104053., 104048., 103969., 104035., 104247., 103979., 104050., 104094., 104067., 104012., 104074., 104068., 103977., 104004., 104055., 104144., 104086., 104037., 104179., 103961.}"
"CycleGAN Winter-to-Summer Translation","c5.xlarge",5,5,0,50,"5","5","5","Elementwise","Elementwise","Elementwise",806.,838.9000000000001,1352.,"{1352., 1301., 1149., 914., 884., 870., 913., 839., 830., 870., 853., 865., 821., 821., 847., 858., 870., 839., 806., 818., 866., 828., 829., 840., 836., 857., 826., 828., 847., 833., 857., 816., 814., 807., 818., 841., 825., 820., 822., 869., 849., 839., 831., 821., 852., 816., 814., 819., 814., 847.}"
"CycleGAN Winter-to-Summer Translation","c5.xlarge",6,6,0,50,"6","6","6","Convolution","Convolution","Convolution",7941.,8136.666700000001,17398.,"{17398., 8628., 8436., 8440., 8269., 8149., 8044., 8037., 7994., 8110., 7992., 8013., 8114., 8128., 8244., 8254., 8093., 8085., 8214., 8304., 8169., 7983., 7962., 8135., 8490., 8263., 8106., 7964., 8107., 8195., 8153., 8085., 8133., 8042., 8092., 8250., 8462., 8139., 8046., 8044., 8049., 8278., 8527., 8271., 8219., 8098., 8071., 7941., 7967., 7948.}"
"CycleGAN Winter-to-Summer Translation","c5.xlarge",7,7,0,50,"7","7","7","Normalization","Normalization","Normalization",51959.,52076.9,52181.,"{52117., 52155., 52126., 52181., 52125., 52085., 52109., 52059., 52014., 52030., 52024., 52140., 52052., 52044., 52084., 51970., 52073., 51989., 52108., 52069., 52126., 52100., 52037., 52032., 51959., 52049., 52126., 51995., 52050., 52108., 52071., 52118., 52046., 52099., 52168., 52056., 52107., 51986., 52109., 52046., 52074., 52110., 52001., 51992., 52054., 52057., 52134., 52143., 52137., 52059.}"
"CycleGAN Winter-to-Summer Translation","c5.xlarge",8,8,0,50,"8","8","8","Elementwise","Elementwise","Elementwise",391.,393.3333,633.,"{633., 545., 427., 403., 391., 391., 392., 391., 392., 392., 452., 392., 392., 391., 392., 391., 391., 392., 392., 406., 414., 392., 392., 404., 394., 393., 391., 392., 402., 392., 412., 393., 393., 392., 392., 408., 391., 393., 392., 412., 391., 391., 391., 391., 393., 394., 391., 391., 394., 422.}"
"CycleGAN Winter-to-Summer Translation","c5.xlarge",9,9,0,50,"9","9","9","Convolution","Convolution","Convolution",4199.,4262.3333,9241.,"{9241., 4687., 4577., 4393., 4343., 4308., 4324., 4263., 4261., 4449., 4251., 4322., 4231., 4322., 4223., 4261., 4267., 4234., 4229., 4233., 4252., 4234., 4270., 4309., 4262., 4307., 4226., 4266., 4250., 4279., 4279., 4224., 4253., 4250., 4322., 4283., 4243., 4270., 4239., 4261., 4295., 4242., 4222., 4224., 4288., 4209., 4226., 4206., 4199., 4223.}"
"CycleGAN Winter-to-Summer Translation","c5.xlarge",10,10,0,50,"10","10","10","Normalization","Normalization","Normalization",25968.,26062.9,26156.,"{26156., 25981., 26111., 26130., 26111., 26079., 26112., 26070., 26099., 26040., 26071., 26030., 26087., 26103., 26119., 26024., 26085., 26082., 26071., 26045., 26044., 26026., 26038., 26011., 26052., 26100., 26025., 26115., 26039., 26002., 26089., 26105., 26046., 26062., 26077., 26040., 26042., 26062., 26050., 26108., 25968., 26068., 26040., 25980., 26024., 26026., 26065., 26108., 26033., 26078.}"
"CycleGAN Winter-to-Summer Translation","c5.xlarge",11,11,0,50,"11","11","11","Elementwise","Elementwise","Elementwise",204.,205.9,280.,"{280., 233., 210., 207., 205., 205., 204., 205., 226., 204., 205., 205., 205., 217., 206., 205., 204., 204., 204., 205., 205., 204., 204., 205., 204., 216., 207., 226., 208., 206., 207., 206., 206., 218., 209., 206., 206., 206., 206., 206., 207., 206., 205., 206., 206., 206., 225., 206., 206., 206.}"
"CycleGAN Winter-to-Summer Translation","c5.xlarge",12,12,0,50,"12/1/1","12/1/1","12/1/1","Padding","Padding","Padding",663.,668.1,699.,"{699., 672., 667., 691., 667., 679., 667., 666., 665., 693., 667., 676., 664., 665., 663., 688., 665., 664., 664., 664., 666., 685., 666., 667., 668., 665., 676., 683., 668., 667., 667., 666., 667., 692., 670., 669., 667., 666., 689., 666., 688., 668., 666., 666., 685., 667., 666., 666., 666., 667.}"
"CycleGAN Winter-to-Summer Translation","c5.xlarge",13,13,0,50,"12/1/2","12/1/2","12/1/2","Convolution","Convolution","Convolution",8697.,8811.566700000001,17942.,"{17942., 9073., 8843., 8760., 8807., 8704., 8733., 8810., 8809., 8750., 8715., 8732., 8818., 8825., 8871., 8761., 8836., 8735., 8710., 8757., 8792., 8697., 8732., 8876., 8770., 8818., 8836., 8766., 8726., 8736., 8910., 8793., 8743., 8835., 8820., 10214., 9301., 8859., 8872., 8914., 8788., 8826., 8949., 9015., 8824., 8824., 8801., 8881., 8917., 8857.}"
