38,"Dropout","drop7",166.07,0,0,0,0,4096,4096,"","",4096,"","","","","","","","","",24.664298187511292
35,"Dropout","drop6",169.3,0,0,0,0,4096,4096,"","",4096,"","","","","","","","","",24.193738924985233
38,"Dropout","drop7",178.43,0,0,0,0,4096,4096,"","",4096,"","","","","","","","","",22.955780978535
35,"Dropout","drop6",181.03,0,0,0,0,4096,4096,"","",4096,"","","","","","","","","",22.626084074462796
35,"Dropout","drop6",181.5,0,0,0,0,4096,4096,"","",4096,"","","","","","","","","",22.56749311294766
38,"Dropout","drop7",182.07,0,0,0,0,4096,4096,"","",4096,"","","","","","","","","",22.496841874004506
144,"Dropout","pool5_drop_7x7_s1",170.83,0,0,0,0,1024,1024,1,1,1024,1,1,"","","","","","","",5.994263302698589
144,"Dropout","pool5_drop_7x7_s1",170.37,0,0,0,0,1024,1024,1,1,1024,1,1,"","","","","","","",6.0104478487996715
144,"Dropout","pool5_drop_7x7_s1",173.70000000000002,0,0,0,0,1024,1024,1,1,1024,1,1,"","","","","","","",5.895221646516982
64,"Dropout","drop9",489.40000000000003,0,0,0,0,100352,512,14,14,512,14,14,"","","","","","","",205.05108295872498
38,"Dropout","drop7",189.63,0,0,0,0,4096,4096,"","",4096,"","","","","","","","","",21.5999578125824
35,"Dropout","drop6",189.97,0,0,0,0,4096,4096,"","",4096,"","","","","","","","","",21.561299152497764
41,"Dropout","drop6",187.9,0,0,0,0,4096,4096,"","",4096,"","","","","","","","","",21.798829164449174
44,"Dropout","drop7",188.17000000000002,0,0,0,0,4096,4096,"","",4096,"","","","","","","","","",21.767550619121007
