140,"Aggregation","pool7",7974.83,409600,409600,0,0,0,4096,10,10,4096,"","","Mean","","","","","","",0.
38,"Aggregation","DigitCaps/v/2",162.97,160,0,0,0,0,10,16,"",10,"","","Total","","","","","","",0.
22,"Aggregation","DynamicRouting/2/Net/capsule/v/2",164.87,160,0,0,0,0,10,16,"",10,"","","Total","","","","","","",0.
43,"Aggregation","Norm/2",164.97,160,0,0,0,0,10,16,"",10,"","","Total","","","","","","",0.
7,"Aggregation","PrimaryCaps/4/2",522.8,9216,0,0,0,0,1152,8,"",1152,"","","Total","","","","","","",0.
36,"Aggregation","DigitCaps/s/3",3843.73,184320,0,0,0,0,1152,10,16,10,16,"","Total","","","","","","",0.
20,"Aggregation","DynamicRouting/2/Net/capsule/s/3",3849.5,184320,0,0,0,0,1152,10,16,10,16,"","Total","","","","","","",0.
28,"Aggregation","DynamicRouting/2/Net/dots/3",3861.1,184320,0,0,0,0,1152,10,16,1152,10,"","Total","","","","","","",0.
14,"Aggregation","PrimaryPredVects/4",31374.83,1474560,0,0,0,0,1152,10,16,1152,10,16,"Total","","","","","","",0.
342,"Aggregation","pool1",2145.2,100352,100352,0,0,0,2048,7,7,2048,"","","Mean","","","","","","",0.
67,"Aggregation","pool10",3882.77,196000,196000,0,0,0,1000,14,14,1000,"","","Mean","","","","","","",0.
