3,"Padding","pool1_3x3_s2_pad",3587.8,0,0,0,0,0,64,112,112,64,113,113,"","","","","","","",0.
11,"Padding","pool2_3x3_s2_pad",2567.2000000000003,0,0,0,0,0,192,56,56,192,57,57,"","","","","","","",0.
41,"Padding","pool3_3x3_s2_pad",1727.5,0,0,0,0,0,480,28,28,480,29,29,"","","","","","","",0.
113,"Padding","pool4_3x3_s2_pad",1006.5,0,0,0,0,0,832,14,14,832,15,15,"","","","","","","",0.
3,"Padding","pool1_3x3_s2_pad",3573.57,0,0,0,0,0,64,112,112,64,113,113,"","","","","","","",0.
11,"Padding","pool2_3x3_s2_pad",2626.37,0,0,0,0,0,192,56,56,192,57,57,"","","","","","","",0.
41,"Padding","pool3_3x3_s2_pad",1682.8,0,0,0,0,0,480,28,28,480,29,29,"","","","","","","",0.
113,"Padding","pool4_3x3_s2_pad",1207.6000000000001,0,0,0,0,0,832,14,14,832,15,15,"","","","","","","",0.
3,"Padding","pool1_3x3_s2_pad",3589.27,0,0,0,0,0,64,112,112,64,113,113,"","","","","","","",0.
11,"Padding","pool2_3x3_s2_pad",2529.13,0,0,0,0,0,192,56,56,192,57,57,"","","","","","","",0.
41,"Padding","pool3_3x3_s2_pad",1684.73,0,0,0,0,0,480,28,28,480,29,29,"","","","","","","",0.
113,"Padding","pool4_3x3_s2_pad",911.07,0,0,0,0,0,832,14,14,832,15,15,"","","","","","","",0.
4,"Padding","pool1_pad",3510.83,0,0,0,0,0,64,112,112,64,113,113,"","","","","","","",0.
4,"Padding","pool1_pad",3602.5,0,0,0,0,0,64,112,112,64,113,113,"","","","","","","",0.
4,"Padding","pool1_pad",3498.8,0,0,0,0,0,64,112,112,64,113,113,"","","","","","","",0.
18,"Padding","pool3_pad",1670.3,0,0,0,0,0,128,56,56,128,57,57,"","","","","","","",0.
34,"Padding","pool5_pad",957.4,0,0,0,0,0,256,28,28,256,29,29,"","","","","","","",0.
4,"Padding","pool1_pad",3520.8,0,0,0,0,0,64,112,112,64,113,113,"","","","","","","",0.
