"name","min_time","mean_time","max_time","raw_time"
"2D_Face_Alignment_Net_Trained_on_300W_Large_Pose_Data",450551.,451412.5,490281.,"{490281., 450646., 450683., 450608., 450855., 450750., 450799., 454742., 459043., 450551.}"
"3D_Face_Alignment_Net_Trained_on_300W_Large_Pose_Data",433570.,434147.3333,463009.,"{463009., 433921., 434370., 434393., 433570., 434231., 433790., 434343., 434027., 433992.}"
"AdaIN-Style_Trained_on_MS-COCO_and_Painter_by_Numbers_Data",3.275306e6,3.2784451667e6,3.620056e6,"{3.620056*^6, 3.278549*^6, 3.277556*^6, 3.280164*^6, 3.276285*^6, 3.276374*^6, 3.36061*^6, 3.275306*^6, 3.281699*^6, 3.276329*^6}"
"Ademxapp_Model_A1_Trained_on_ADE20K_Data",3.07962e6,3.0809923333e6,3.567674e6,"{3.567674*^6, 3.082089*^6, 3.080745*^6, 3.080172*^6, 3.082239*^6, 3.080225*^6, 3.079924*^6, 3.08199*^6, 3.080733*^6, 3.07962*^6}"
"Ademxapp_Model_A1_Trained_on_Cityscapes_Data",2.8750625e7,2.8756822333300002e7,3.1285168e7,"{3.1285168*^7, 2.8778826*^7, 2.8753807*^7, 2.8756604*^7, 2.8766154*^7, 2.8752889*^7, 2.8753377*^7, 2.8756846*^7, 2.8750625*^7, 2.8754146*^7}"
"Ademxapp_Model_A1_Trained_on_PASCAL_VOC2012_and_MS-COCO_Data",3.061351e6,3.0630366667e6,3.535282e6,"{3.535282*^6, 3.061351*^6, 3.063931*^6, 3.062259*^6, 3.062676*^6, 3.063944*^6, 3.061975*^6, 3.063973*^6, 3.063435*^6, 3.061403*^6}"
"Ademxapp_Model_A_Trained_on_ImageNet_Competition_Data",752440.,753725.8333,761102.,"{761102., 752440., 753187., 754298., 753671., 754566., 756869., 753127., 753020., 753506.}"
"Age_Estimation_VGG-16_Trained_on_IMDB-WIKI_and_Looking_at_People_Data",154049.,154930.,155766.,"{155766., 154359., 155460., 154049., 155331., 154666., 155344., 154151., 155362., 154518.}"
"Age_Estimation_VGG-16_Trained_on_IMDB-WIKI_Data",154884.,155497.,155995.,"{155757., 155828., 155105., 155767., 155003., 155615., 154902., 155735., 154884., 155995.}"
"BERT_Trained_on_BookCorpus_and_English_Wikipedia_Data","","","",""
"BPEmb_Subword_Embeddings_Trained_on_Wikipedia_Data","","","",""
"CapsNet_Trained_on_MNIST_Data",150649.,150736.1667,152791.,"{152791., 150649., 150773., 150677., 150742., 150790., 150675., 150661., 150770., 150780.}"
"Clinical_Concept_Embeddings_Trained_on_Health_Insurance_Claims,_Clinical_Narratives_from_Stanford_and_PubMed_Journal_Articles","","","",""
"Colorful_Image_Colorization_Trained_on_ImageNet_Competition_Data",424694.,425224.5,435781.,"{426607., 425161., 425735., 424719., 425397., 424876., 435781., 424883., 425295., 424694.}"
"ColorNet_Image_Colorization_Trained_on_ImageNet_Competition_Data",130271.,130485.1667,132039.,"{132039., 130577., 130486., 130824., 130333., 130271., 130547., 130522., 130446., 130301.}"
"ColorNet_Image_Colorization_Trained_on_Places_Data",135828.,136070.5,137177.,"{137177., 136121., 136293., 135873., 136068., 135997., 136571., 136035., 135828., 135909.}"
"ConceptNet_Numberbatch_Word_Vectors_V17.06","","","",""
"ConceptNet_Numberbatch_Word_Vectors_V17.06_(Raw_Model)","","","",""
"CREPE_Pitch_Detection_Net_Trained_on_Monophonic_Signal_Data",65949.,66295.5,67043.,"{66409., 67043., 66381., 65949., 66272., 66140., 66344., 66270., 66113., 66366.}"
"CycleGAN_Apple-to-Orange_Translation_Trained_on_ImageNet_Competition_Data",1.447513e6,1.4480853333e6,1.451359e6,"{1.449162*^6, 1.451359*^6, 1.44807*^6, 1.44818*^6, 1.448207*^6, 1.447628*^6, 1.447835*^6, 1.448057*^6, 1.447513*^6, 1.448163*^6}"
"CycleGAN_Horse-to-Zebra_Translation_Trained_on_ImageNet_Competition_Data",1.450752e6,1.4521361667000002e6,1.453237e6,"{1.453237*^6, 1.452345*^6, 1.451944*^6, 1.452201*^6, 1.451541*^6, 1.452656*^6, 1.452082*^6, 1.452168*^6, 1.450752*^6, 1.452077*^6}"
"CycleGAN_Monet-to-Photo_Translation",1.447584e6,1.4484025e6,1.450078e6,"{1.450078*^6, 1.448344*^6, 1.448891*^6, 1.447786*^6, 1.448335*^6, 1.448001*^6, 1.448568*^6, 1.448702*^6, 1.448465*^6, 1.447584*^6}"
"CycleGAN_Orange-to-Apple_Translation_Trained_on_ImageNet_Competition_Data",1.447288e6,1.4477891667000002e6,1.448566e6,"{1.448566*^6, 1.447977*^6, 1.447979*^6, 1.447288*^6, 1.447803*^6, 1.44729*^6, 1.448126*^6, 1.44772*^6, 1.447419*^6, 1.447837*^6}"
"CycleGAN_Photo-to-Cezanne_Translation",1.451346e6,1.4519745e6,1.45475e6,"{1.453073*^6, 1.45475*^6, 1.451667*^6, 1.452192*^6, 1.45147*^6, 1.452087*^6, 1.451838*^6, 1.451346*^6, 1.452079*^6, 1.451984*^6}"
"CycleGAN_Photo-to-Monet_Translation",1.45189e6,1.4531528333e6,1.476587e6,"{1.472438*^6, 1.456313*^6, 1.45189*^6, 1.476587*^6, 1.45248*^6, 1.452905*^6, 1.452478*^6, 1.452169*^6, 1.452537*^6, 1.452204*^6}"
"CycleGAN_Photo-to-Van_Gogh_Translation",1.451129e6,1.4518815e6,1.475543e6,"{1.453426*^6, 1.475543*^6, 1.453953*^6, 1.451135*^6, 1.451488*^6, 1.45126*^6, 1.451781*^6, 1.451129*^6, 1.451564*^6, 1.45177*^6}"
"CycleGAN_Summer-to-Winter_Translation",1.44686e6,1.447287e6,1.450351e6,"{1.450351*^6, 1.447342*^6, 1.447464*^6, 1.44696*^6, 1.447334*^6, 1.447449*^6, 1.447277*^6, 1.44686*^6, 1.44736*^6, 1.446875*^6}"
