"index","kind","name","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","constant_input_overhead","constant_output_overhead","mad/time","time"
4,"Elementwise","2a/res2a_branch2a_relu",0,0,1638400,0,1638400,64,160,160,64,160,160,"Ramp","","","","","","",19834.,19793.,225.24058289799288,580.5
8,"Elementwise","2a/res2a_branch2b1_relu",0,0,3276800,0,3276800,128,160,160,128,160,160,"Ramp","","","","","","",40583.,40598.,83.54068937385274,1506.1000000000001
12,"Elementwise","2b1/res2b1_branch2a_relu",0,0,3276800,0,3276800,128,160,160,128,160,160,"Ramp","","","","","","",40571.,40604.,83.54707937074525,1558.7667000000001
15,"Elementwise","2b1/res2b1_branch2b1_relu",0,0,3276800,0,3276800,128,160,160,128,160,160,"Ramp","","","","","","",40547.,40583.,81.20539254559873,1583.1333
19,"Elementwise","2b2/res2b2_branch2a_relu",0,0,3276800,0,3276800,128,160,160,128,160,160,"Ramp","","","","","","",40576.,40576.,80.57837013721536,1579.6000000000001
22,"Elementwise","2b2/res2b2_branch2b1_relu",0,0,3276800,0,3276800,128,160,160,128,160,160,"Ramp","","","","","","",40563.,40632.,82.74329579314175,1575.4
27,"Elementwise","3a/res3a_branch2a_relu",0,0,819200,0,819200,128,80,80,128,80,80,"Ramp","","","","","","",9582.,9569.,265.8876987990912,291.8
31,"Elementwise","3a/res3a_branch2b1_relu",0,0,1638400,0,1638400,256,80,80,256,80,80,"Ramp","","","","","","",19814.,19820.,219.30129835363402,714.1667
35,"Elementwise","3b1/res3b1_branch2a_relu",0,0,1638400,0,1638400,256,80,80,256,80,80,"Ramp","","","","","","",19794.,19809.,219.1839464882943,693.1
38,"Elementwise","3b1/res3b1_branch2b1_relu",0,0,1638400,0,1638400,256,80,80,256,80,80,"Ramp","","","","","","",19853.,19822.,219.00815399010827,693.1667
42,"Elementwise","3b2/res3b2_branch2a_relu",0,0,1638400,0,1638400,256,80,80,256,80,80,"Ramp","","","","","","",19810.,19819.,219.9194630872483,721.9667000000001
45,"Elementwise","3b2/res3b2_branch2b1_relu",0,0,1638400,0,1638400,256,80,80,256,80,80,"Ramp","","","","","","",19829.,19849.,218.8618755009351,720.7333
50,"Elementwise","4a/res4a_branch2a_relu",0,0,409600,0,409600,256,40,40,256,40,40,"Ramp","","","","","","",4806.,4808.,286.43356643356645,165.2333
54,"Elementwise","4a/res4a_branch2b1_relu",0,0,819200,0,819200,512,40,40,512,40,40,"Ramp","","","","","","",9560.,9601.,266.31989596879066,292.5333
58,"Elementwise","4b1/res4b1_branch2a_relu",0,0,819200,0,819200,512,40,40,512,40,40,"Ramp","","","","","","",9559.,9582.,265.80142764438676,293.2667
61,"Elementwise","4b1/res4b1_branch2b1_relu",0,0,819200,0,819200,512,40,40,512,40,40,"Ramp","","","","","","",9571.,9592.,266.92733789507986,292.6333
65,"Elementwise","4b2/res4b2_branch2a_relu",0,0,819200,0,819200,512,40,40,512,40,40,"Ramp","","","","","","",9560.,9603.,267.27569331158236,294.3333
68,"Elementwise","4b2/res4b2_branch2b1_relu",0,0,819200,0,819200,512,40,40,512,40,40,"Ramp","","","","","","",9569.,9590.,273.15771923974654,286.3333
72,"Elementwise","4b3/res4b3_branch2a_relu",0,0,819200,0,819200,512,40,40,512,40,40,"Ramp","","","","","","",9562.,9600.,277.0375380453162,273.86670000000004
75,"Elementwise","4b3/res4b3_branch2b1_relu",0,0,819200,0,819200,512,40,40,512,40,40,"Ramp","","","","","","",9547.,9552.,276.6632894292469,284.0333
79,"Elementwise","4b4/res4b4_branch2a_relu",0,0,819200,0,819200,512,40,40,512,40,40,"Ramp","","","","","","",9525.,9536.,274.9916079221215,275.86670000000004
82,"Elementwise","4b4/res4b4_branch2b1_relu",0,0,819200,0,819200,512,40,40,512,40,40,"Ramp","","","","","","",9526.,9551.,277.1312584573748,420.36670000000004
86,"Elementwise","4b5/res4b5_branch2a_relu",0,0,819200,0,819200,512,40,40,512,40,40,"Ramp","","","","","","",9515.,9537.,277.3188896411645,277.6667
89,"Elementwise","4b5/res4b5_branch2b1_relu",0,0,819200,0,819200,512,40,40,512,40,40,"Ramp","","","","","","",9504.,9534.,278.544712682761,289.0333
94,"Elementwise","5a/res5a_branch2a_relu",0,0,204800,0,204800,512,20,20,512,20,20,"Ramp","","","","","","",2423.,2418.,271.2582781456954,86.10000000000001
98,"Elementwise","5a/res5a_branch2b1_relu",0,0,204800,0,204800,512,20,20,512,20,20,"Ramp","","","","","","",2423.,2425.,270.8994708994709,125.03330000000001
102,"Elementwise","5b1/res5b1_branch2a_relu",0,0,409600,0,409600,1024,20,20,1024,20,20,"Ramp","","","","","","",4771.,4772.,302.2878228782288,234.8
105,"Elementwise","5b1/res5b1_branch2b1_relu",0,0,204800,0,204800,512,20,20,512,20,20,"Ramp","","","","","","",2421.,2422.,255.36159600997505,126.56670000000001
109,"Elementwise","5b2/res5b2_branch2a_relu",0,0,409600,0,409600,1024,20,20,1024,20,20,"Ramp","","","","","","",4770.,4766.,287.84258608573435,162.5
112,"Elementwise","5b2/res5b2_branch2b1_relu",0,0,204800,0,204800,512,20,20,512,20,20,"Ramp","","","","","","",2417.,2420.,265.6290531776913,126.6667
117,"Elementwise","6a/res6a_branch2a_relu",0,0,102400,0,102400,1024,10,10,1024,10,10,"Ramp","","","","","","",1252.,1248.,198.4496124031008,49.
121,"Elementwise","6a/res6a_branch2b1_relu",0,0,51200,0,51200,512,10,10,512,10,10,"Ramp","","","","","","",652.,651.,142.6183844011142,43.800000000000004
124,"Elementwise","6a/res6a_branch2b2_relu",0,0,102400,0,102400,1024,10,10,1024,10,10,"Ramp","","","","","","",1251.,1250.,197.6833976833977,61.2667
128,"Elementwise","7a/res7a_branch2a_relu",0,0,204800,0,204800,2048,10,10,2048,10,10,"Ramp","","","","","","",2420.,2426.,263.5778635778636,99.6333
132,"Elementwise","7a/res7a_branch2b1_relu",0,0,102400,0,102400,1024,10,10,1024,10,10,"Ramp","","","","","","",1276.,1279.,198.83495145631068,85.2667
135,"Elementwise","7a/res7a_branch2b2_relu",0,0,204800,0,204800,2048,10,10,2048,10,10,"Ramp","","","","","","",2453.,2448.,253.15203955500616,124.4
139,"Elementwise","relu7",0,0,409600,0,409600,4096,10,10,4096,10,10,"Ramp","","","","","","",4803.,4795.,286.43356643356645,220.4667
2,"Elementwise","relu1_1",0,0,3211264,0,3211264,64,224,224,64,224,224,"Ramp","","","","","","",39727.,39728.,188.14530114834778,1403.9667000000002
4,"Elementwise","relu1_2",0,0,3211264,0,3211264,64,224,224,64,224,224,"Ramp","","","","","","",39767.,39751.,186.66883683078532,1371.3
7,"Elementwise","relu2_1",0,0,1605632,0,1605632,128,112,112,128,112,112,"Ramp","","","","","","",19397.,19419.,219.1390746553842,721.1
9,"Elementwise","relu2_2",0,0,1605632,0,1605632,128,112,112,128,112,112,"Ramp","","","","","","",19371.,19430.,222.26356589147287,785.3667
12,"Elementwise","relu3_1",0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",9348.,9343.,263.04587155963304,284.3333
14,"Elementwise","relu3_2",0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",9339.,9341.,264.95577557755774,285.1333
16,"Elementwise","relu3_3",0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",9366.,9339.,264.7810026385224,285.5333
19,"Elementwise","relu4_1",0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",4713.,4713.,285.4964438122333,161.0667
21,"Elementwise","relu4_2",0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",4720.,4712.,290.2443962400578,161.4
23,"Elementwise","relu4_3",0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",4713.,4708.,287.54154727793696,161.16670000000002
26,"Elementwise","relu5_1",0,0,100352,0,100352,512,14,14,512,14,14,"Ramp","","","","","","",1265.,1265.,199.506958250497,58.
28,"Elementwise","relu5_2",0,0,100352,0,100352,512,14,14,512,14,14,"Ramp","","","","","","",1226.,1222.,196.,58.533300000000004
30,"Elementwise","relu5_3",0,0,100352,0,100352,512,14,14,512,14,14,"Ramp","","","","","","",1228.,1229.,196.,73.10000000000001
34,"Elementwise","relu6",0,0,4096,0,4096,4096,"","",4096,"","","Ramp","","","","","","",118.,117.,23.405714285714286,24.433300000000003
37,"Elementwise","relu7",0,0,4096,0,4096,4096,"","",4096,"","","Ramp","","","","","","",118.,117.,23.01123595505618,24.5
2,"Elementwise","relu1_1",0,0,3211264,0,3211264,64,224,224,64,224,224,"Ramp","","","","","","",39466.,39441.,186.7774094108067,1419.7
4,"Elementwise","relu1_2",0,0,3211264,0,3211264,64,224,224,64,224,224,"Ramp","","","","","","",39430.,39459.,187.12569197599208,1426.6333
7,"Elementwise","relu2_1",0,0,1605632,0,1605632,128,112,112,128,112,112,"Ramp","","","","","","",19265.,19255.,219.2288367012561,608.0333
9,"Elementwise","relu2_2",0,0,1605632,0,1605632,128,112,112,128,112,112,"Ramp","","","","","","",19262.,19262.,218.06763547467065,603.5
12,"Elementwise","relu3_1",0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",9291.,9285.,268.23120614767794,316.1
14,"Elementwise","relu3_2",0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",9279.,9290.,274.93698630136987,312.93330000000003
16,"Elementwise","relu3_3",0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",9283.,9288.,269.4917757636791,314.4667
19,"Elementwise","relu4_1",0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",4657.,4658.,291.0862944162437,161.8333
21,"Elementwise","relu4_2",0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",4656.,4659.,292.57142857142856,162.3667
23,"Elementwise","relu4_3",0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",4657.,4657.,292.57142857142856,162.6
26,"Elementwise","relu5_1",0,0,100352,0,100352,512,14,14,512,14,14,"Ramp","","","","","","",1226.,1223.,198.71683168316832,58.400000000000006
28,"Elementwise","relu5_2",0,0,100352,0,100352,512,14,14,512,14,14,"Ramp","","","","","","",1223.,1223.,196.,57.9333
30,"Elementwise","relu5_3",0,0,100352,0,100352,512,14,14,512,14,14,"Ramp","","","","","","",1248.,1252.,194.85825242718445,58.3333
34,"Elementwise","relu6",0,0,4096,0,4096,4096,"","",4096,"","","Ramp","","","","","","",124.,125.,22.755555555555556,24.8
37,"Elementwise","relu7",0,0,4096,0,4096,4096,"","",4096,"","","Ramp","","","","","","",124.,125.,23.141242937853107,24.3667
2,"Elementwise","ReLUConv1/2",0,0,102400,0,102400,256,20,20,256,20,20,"Ramp","","","","","","",2132.,2129.,201.57480314960628,58.2333
6,"Elementwise","PrimaryCaps/4/1",0,0,0,0,9216,1152,8,"",1152,8,"","NeuralNetworks`Private`ScalarFunctionObject[{NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[2], <|NeuralNetworks`Private`ScalarSymbol[2] -> {Power, NeuralNetworks`Private`ScalarSymbol[1], 2.}|>]","","","","","","",234.,233.,45.850746268656714,26.2333
8,"Elementwise","PrimaryCaps/4/3",1152,1152,0,1152,0,1152,"","",1152,"","","NeuralNetworks`Private`ScalarFunctionObject[{NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[5], <|NeuralNetworks`Private`ScalarSymbol[2] -> {Sqrt, NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[3] -> {Plus, 1., NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[4] -> {Power, NeuralNetworks`Private`ScalarSymbol[3], -1.}, NeuralNetworks`Private`ScalarSymbol[5] -> {Times, NeuralNetworks`Private`ScalarSymbol[2], NeuralNetworks`Private`ScalarSymbol[4]}|>]","","","","","","",86.,85.,0.,47.4667
21,"Elementwise","DynamicRouting/2/Net/capsule/v/1",0,0,0,0,160,10,16,"",10,16,"","NeuralNetworks`Private`ScalarFunctionObject[{NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[2], <|NeuralNetworks`Private`ScalarSymbol[2] -> {Power, NeuralNetworks`Private`ScalarSymbol[1], 2.}|>]","","","","","","",68.,69.,1.0062893081761006,22.7333
23,"Elementwise","DynamicRouting/2/Net/capsule/v/3",10,10,0,10,0,10,"","",10,"","","NeuralNetworks`Private`ScalarFunctionObject[{NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[5], <|NeuralNetworks`Private`ScalarSymbol[2] -> {Sqrt, NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[3] -> {Plus, 1., NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[4] -> {Power, NeuralNetworks`Private`ScalarSymbol[3], -1.}, NeuralNetworks`Private`ScalarSymbol[5] -> {Times, NeuralNetworks`Private`ScalarSymbol[2], NeuralNetworks`Private`ScalarSymbol[4]}|>]","","","","","","",67.,67.,0.,27.0667
