"index","kind","name","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","constant_input_overhead","constant_output_overhead","mad/time","time"
1,"Convolution","conv_1",0,0,0,0,118013952,3,224,224,64,112,112,"",7,7,2,2,1,1,2863.,9359.,26074.66902342024,2542.4333
2,"BatchNormalization","bn_1",802816,802816,0,0,0,64,112,112,64,112,112,"","","","","","","",9320.,9304.,0.,358.2667
3,"Elementwise","relu_1",0,0,802816,0,802816,64,112,112,64,112,112,"Ramp","","","","","","",9308.,9333.,266.27396351575453,272.86670000000004
4,"Padding","pool1_pad",0,0,0,0,0,64,112,112,64,113,113,"","","","","","","",9310.,9488.,0.,909.0333
5,"Pooling","pool1",0,0,1806336,0,0,64,113,113,64,56,56,"Max",3,3,2,2,"","",9484.,2373.,0.,1536.5
6,"Convolution","stage0_block0/conv_proj_shortcut",0,0,0,0,25690112,64,56,56,128,56,56,"",1,1,1,1,1,1,2374.,4671.,17754.051140290256,311.9667
7,"BatchNormalization","stage0_block0/bn_proj_shortcut",401408,401408,0,0,0,128,56,56,128,56,56,"","","","","","","",4668.,4672.,0.,159.66670000000002
8,"Convolution","stage0_block0/conv_branch2a",0,0,0,0,6422528,64,56,56,32,56,56,"",1,1,1,1,1,1,2379.,1233.,10633.324503311258,100.4667
9,"BatchNormalization","stage0_block0/bn_branch2a",100352,100352,0,0,0,32,56,56,32,56,56,"","","","","","","",1229.,1232.,0.,66.10000000000001
10,"Elementwise","stage0_block0/relu_branch2a",0,0,100352,0,100352,32,56,56,32,56,56,"Ramp","","","","","","",1230.,1231.,197.9329388560158,60.666700000000006
11,"Convolution","stage0_block0/conv_branch2b",0,0,0,0,28901376,32,56,56,32,56,56,"",3,3,1,1,1,1,1228.,1228.,22045.290617848972,921.3667
12,"BatchNormalization","stage0_block0/bn_branch2b",100352,100352,0,0,0,32,56,56,32,56,56,"","","","","","","",1228.,1229.,0.,64.7667
13,"Elementwise","stage0_block0/relu_branch2b",0,0,100352,0,100352,32,56,56,32,56,56,"Ramp","","","","","","",1231.,1228.,199.1111111111111,58.033300000000004
14,"Convolution","stage0_block0/conv_branch2c",0,0,0,0,12845056,32,56,56,128,56,56,"",1,1,1,1,1,1,1229.,4674.,8877.025570145128,248.70000000000002
15,"BatchNormalization","stage0_block0/bn_branch2c",401408,401408,0,0,0,128,56,56,128,56,56,"","","","","","","",4674.,4674.,0.,163.20000000000002
16,"Total","stage0_block0/eltwise_stage0_block0",401408,0,0,0,0,128,56,56,128,56,56,"","","","","","","",4673.,4677.,0.,238.3333
17,"Elementwise","stage0_block0/relu_stage0_block0",0,0,401408,0,401408,128,56,56,128,56,56,"Ramp","","","","","","",4676.,4675.,297.5596738324685,152.5333
18,"Convolution","stage0_block1/conv_branch2a",0,0,0,0,12845056,128,56,56,32,56,56,"",1,1,1,1,1,1,4670.,1228.,15799.576875768758,123.2333
19,"BatchNormalization","stage0_block1/bn_branch2a",100352,100352,0,0,0,32,56,56,32,56,56,"","","","","","","",1236.,1230.,0.,66.4667
20,"Elementwise","stage0_block1/relu_branch2a",0,0,100352,0,100352,32,56,56,32,56,56,"Ramp","","","","","","",1230.,1225.,193.35645472061657,61.8333
21,"Convolution","stage0_block1/conv_branch2b",0,0,0,0,28901376,32,56,56,32,56,56,"",3,3,1,1,1,1,1226.,1226.,14057.089494163425,917.9333
22,"BatchNormalization","stage0_block1/bn_branch2b",100352,100352,0,0,0,32,56,56,32,56,56,"","","","","","","",1225.,1230.,0.,70.0667
23,"Elementwise","stage0_block1/relu_branch2b",0,0,100352,0,100352,32,56,56,32,56,56,"Ramp","","","","","","",1227.,1228.,196.76862745098038,58.8333
24,"Convolution","stage0_block1/conv_branch2c",0,0,0,0,12845056,32,56,56,128,56,56,"",1,1,1,1,1,1,1227.,4667.,9709.037037037036,243.8333
25,"BatchNormalization","stage0_block1/bn_branch2c",401408,401408,0,0,0,128,56,56,128,56,56,"","","","","","","",4664.,4673.,0.,251.4667
26,"Total","stage0_block1/eltwise_stage0_block1",401408,0,0,0,0,128,56,56,128,56,56,"","","","","","","",4665.,4670.,0.,317.36670000000004
27,"Elementwise","stage0_block1/relu_stage0_block1",0,0,401408,0,401408,128,56,56,128,56,56,"Ramp","","","","","","",4664.,4665.,298.8890543559196,152.3333
28,"Convolution","stage0_block2/conv_branch2a",0,0,0,0,12845056,128,56,56,32,56,56,"",1,1,1,1,1,1,4669.,1227.,15976.437810945274,180.5
29,"BatchNormalization","stage0_block2/bn_branch2a",100352,100352,0,0,0,32,56,56,32,56,56,"","","","","","","",1229.,1229.,0.,83.33330000000001
30,"Elementwise","stage0_block2/relu_branch2a",0,0,100352,0,100352,32,56,56,32,56,56,"Ramp","","","","","","",1228.,1229.,196.,58.133300000000006
31,"Convolution","stage0_block2/conv_branch2b",0,0,0,0,28901376,32,56,56,32,56,56,"",3,3,1,1,1,1,1229.,1229.,21928.20637329287,1631.2667000000001
32,"BatchNormalization","stage0_block2/bn_branch2b",100352,100352,0,0,0,32,56,56,32,56,56,"","","","","","","",1226.,1231.,0.,66.
33,"Elementwise","stage0_block2/relu_branch2b",0,0,100352,0,100352,32,56,56,32,56,56,"Ramp","","","","","","",1232.,1229.,196.3835616438356,58.300000000000004
34,"Convolution","stage0_block2/conv_branch2c",0,0,0,0,12845056,32,56,56,128,56,56,"",1,1,1,1,1,1,1229.,4663.,9701.703927492446,244.7333
35,"BatchNormalization","stage0_block2/bn_branch2c",401408,401408,0,0,0,128,56,56,128,56,56,"","","","","","","",4668.,4671.,0.,168.0333
36,"Total","stage0_block2/eltwise_stage0_block2",401408,0,0,0,0,128,56,56,128,56,56,"","","","","","","",4675.,4674.,0.,245.8333
37,"Elementwise","stage0_block2/relu_stage0_block2",0,0,401408,0,401408,128,56,56,128,56,56,"Ramp","","","","","","",4676.,4674.,287.1301859799714,159.3
38,"Convolution","stage1_block0/conv_proj_shortcut",0,0,0,0,25690112,128,56,56,256,28,28,"",1,1,2,2,1,1,4671.,2371.,22417.20069808028,298.5333
39,"BatchNormalization","stage1_block0/bn_proj_shortcut",200704,200704,0,0,0,256,28,28,256,28,28,"","","","","","","",2375.,2371.,0.,118.33330000000001
40,"Convolution","stage1_block0/conv_branch2a",0,0,0,0,6422528,128,56,56,64,28,28,"",1,1,2,2,1,1,4671.,644.,9486.747415066471,180.76670000000001
41,"BatchNormalization","stage1_block0/bn_branch2a",50176,50176,0,0,0,64,28,28,64,28,28,"","","","","","","",641.,641.,0.,47.
