"index","kind","name","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","constant_input_overhead","constant_output_overhead","mad/time","time"
16,"Total","2a/res2a",802816,0,0,0,0,256,56,56,256,56,56,"","","","","","","",9317.,9320.,0.,532.5
26,"Total","2b/res2b",802816,0,0,0,0,256,56,56,256,56,56,"","","","","","","",9338.,9337.,0.,530.1333000000001
36,"Total","2c/res2c",802816,0,0,0,0,256,56,56,256,56,56,"","","","","","","",10116.,10107.,0.,539.5
48,"Total","3a/res3a",401408,0,0,0,0,512,28,28,512,28,28,"","","","","","","",4841.,4843.,0.,254.7333
58,"Total","3b1/res3b1",401408,0,0,0,0,512,28,28,512,28,28,"","","","","","","",4673.,4663.,0.,255.20000000000002
68,"Total","3b2/res3b2",401408,0,0,0,0,512,28,28,512,28,28,"","","","","","","",4709.,4708.,0.,249.8333
78,"Total","3b3/res3b3",401408,0,0,0,0,512,28,28,512,28,28,"","","","","","","",4710.,4676.,0.,252.7333
90,"Total","4a/res4a",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2404.,2392.,0.,140.0333
100,"Total","4b1/res4b1",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2396.,2398.,0.,140.13330000000002
110,"Total","4b2/res4b2",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2393.,2396.,0.,141.0667
120,"Total","4b3/res4b3",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2392.,2397.,0.,141.26670000000001
130,"Total","4b4/res4b4",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2395.,2399.,0.,192.8333
140,"Total","4b5/res4b5",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2397.,2394.,0.,142.8333
150,"Total","4b6/res4b6",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2395.,2396.,0.,141.8333
160,"Total","4b7/res4b7",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2394.,2396.,0.,140.8667
170,"Total","4b8/res4b8",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2395.,2395.,0.,140.70000000000002
180,"Total","4b9/res4b9",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2396.,2396.,0.,140.0333
190,"Total","4b10/res4b10",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2397.,2396.,0.,140.63330000000002
200,"Total","4b11/res4b11",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2394.,2397.,0.,141.0667
210,"Total","4b12/res4b12",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2393.,2395.,0.,140.1
220,"Total","4b13/res4b13",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2395.,2397.,0.,137.2333
230,"Total","4b14/res4b14",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2396.,2396.,0.,140.63330000000002
240,"Total","4b15/res4b15",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2376.,2379.,0.,140.6
250,"Total","4b16/res4b16",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2410.,2410.,0.,140.13330000000002
260,"Total","4b17/res4b17",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2414.,2412.,0.,194.8667
270,"Total","4b18/res4b18",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2414.,2413.,0.,141.
280,"Total","4b19/res4b19",200704,0,0,0,0,1024,14,14,1024,14,14,"","","","","","","",2372.,2372.,0.,141.2333
