"index","kind","name","time","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","mad/time"
1,"Convolution","conv1_1",15439.,0,0,0,0,86704128,3,224,224,64,224,224,"",3,3,1,1,1,1,5615.916056739426
6,"Convolution","conv2_1",15991.,0,0,0,0,924844032,64,112,112,128,112,112,"",3,3,1,1,1,1,57835.28434744544
3,"Convolution","conv1_2",50064.,0,0,0,0,1849688064,64,224,224,64,224,224,"",3,3,1,1,1,1,36946.469798657716
11,"Convolution","conv3_1",8854.,0,0,0,0,924844032,128,56,56,256,56,56,"",3,3,1,1,1,1,104454.93923650327
8,"Convolution","conv2_2",26194.,0,0,0,0,1849688064,128,112,112,128,112,112,"",3,3,1,1,1,1,70614.95243185462
18,"Convolution","conv4_1",6505.,0,0,0,0,924844032,256,28,28,512,28,28,"",3,3,1,1,1,1,142174.3323597233
13,"Convolution","conv3_2",15353.,0,0,0,0,1849688064,256,56,56,256,56,56,"",3,3,1,1,1,1,120477.30502181985
15,"Convolution","conv3_3",15381.,0,0,0,0,1849688064,256,56,56,256,56,56,"",3,3,1,1,1,1,120257.9847864248
27,"Convolution","conv5_2",2893.,0,0,0,0,462422016,512,14,14,512,14,14,"",3,3,1,1,1,1,159841.69236087106
25,"Convolution","conv5_1",2915.,0,0,0,0,462422016,512,14,14,512,14,14,"",3,3,1,1,1,1,158635.33996569467
29,"Convolution","conv5_3",3147.,0,0,0,0,462422016,512,14,14,512,14,14,"",3,3,1,1,1,1,146940.58341277408
20,"Convolution","conv4_2",12120.,0,0,0,0,1849688064,512,28,28,512,28,28,"",3,3,1,1,1,1,152614.52673267326
22,"Convolution","conv4_3",12131.,0,0,0,0,1849688064,512,28,28,512,28,28,"",3,3,1,1,1,1,152476.14079630698
35,"Dropout","drop6",163.,0,0,0,0,4096,4096,"","",4096,"","","","","","","","","",25.12883435582822
38,"Dropout","drop7",164.,0,0,0,0,4096,4096,"","",4096,"","","","","","","","","",24.975609756097562
4,"Elementwise","relu1_2",17169.,0,0,3211264,0,3211264,64,224,224,64,224,224,"Ramp","","","","","","",187.0384996214107
2,"Elementwise","relu1_1",17190.,0,0,3211264,0,3211264,64,224,224,64,224,224,"Ramp","","","","","","",186.81000581733568
9,"Elementwise","relu2_2",7347.,0,0,1605632,0,1605632,128,112,112,128,112,112,"Ramp","","","","","","",218.54253436776915
7,"Elementwise","relu2_1",7365.,0,0,1605632,0,1605632,128,112,112,128,112,112,"Ramp","","","","","","",218.00841819416158
16,"Elementwise","relu3_3",2976.,0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",269.7634408602151
12,"Elementwise","relu3_1",3042.,0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",263.9105851413544
14,"Elementwise","relu3_2",3072.,0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",261.3333333333333
30,"Elementwise","relu5_3",490.,0,0,100352,0,100352,512,14,14,512,14,14,"Ramp","","","","","","",204.8
28,"Elementwise","relu5_2",504.,0,0,100352,0,100352,512,14,14,512,14,14,"Ramp","","","","","","",199.1111111111111
26,"Elementwise","relu5_1",505.,0,0,100352,0,100352,512,14,14,512,14,14,"Ramp","","","","","","",198.71683168316832
19,"Elementwise","relu4_1",1360.,0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",295.15294117647056
23,"Elementwise","relu4_3",1379.,0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",291.0862944162437
21,"Elementwise","relu4_2",1401.,0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",286.5153461812991
37,"Elementwise","relu7",162.,0,0,4096,0,4096,4096,"","",4096,"","","Ramp","","","","","","",25.28395061728395
34,"Elementwise","relu6",164.,0,0,4096,0,4096,4096,"","",4096,"","","Ramp","","","","","","",24.975609756097562
32,"Flatten","flatten_0",242.,0,0,0,0,0,512,7,7,25088,"","","","","","","","","",0.
39,"Linear","fc8_101",181.,0,0,0,0,413696,4096,"","",101,"","","","","","","","","",2285.6132596685084
36,"Linear","fc7",2342.,0,0,0,0,16777216,4096,"","",4096,"","","","","","","","","",7163.6276686592655
33,"Linear","fc6",8332.,0,0,0,0,102760448,25088,"","",4096,"","","","","","","","","",12333.227076332212
5,"Pooling","pool1",9317.,0,0,3211264,0,0,64,224,224,64,112,112,"Max",2,2,2,2,"","",0.
10,"Pooling","pool2",4177.,0,0,1605632,0,0,128,112,112,128,56,56,"Max",2,2,2,2,"","",0.
17,"Pooling","pool3",2006.,0,0,802816,0,0,256,56,56,256,28,28,"Max",2,2,2,2,"","",0.
31,"Pooling","pool5",419.,0,0,100352,0,0,512,14,14,512,7,7,"Max",2,2,2,2,"","",0.
24,"Pooling","pool4",1042.,0,0,401408,0,0,512,28,28,512,14,14,"Max",2,2,2,2,"","",0.
40,"Softmax","prob",153.,101,101,0,101,0,101,"","",101,"","","","","","","","","",0.
