"index","kind","name","time","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","mad/time"
1,"Convolution","conv1_1",15982.,0,0,0,0,86704128,3,224,224,64,224,224,"",3,3,1,1,1,1,5425.111250156426
6,"Convolution","conv2_1",16097.,0,0,0,0,924844032,64,112,112,128,112,112,"",3,3,1,1,1,1,57454.43449089892
3,"Convolution","conv1_2",51195.,0,0,0,0,1849688064,64,224,224,64,224,224,"",3,3,1,1,1,1,36130.2483445649
11,"Convolution","conv3_1",9487.,0,0,0,0,924844032,128,56,56,256,56,56,"",3,3,1,1,1,1,97485.40444819226
8,"Convolution","conv2_2",26470.,0,0,0,0,1849688064,128,112,112,128,112,112,"",3,3,1,1,1,1,69878.65749905554
18,"Convolution","conv4_1",6715.,0,0,0,0,924844032,256,28,28,512,28,28,"",3,3,1,1,1,1,137728.07624720776
13,"Convolution","conv3_2",15618.,0,0,0,0,1849688064,256,56,56,256,56,56,"",3,3,1,1,1,1,118433.09412216673
15,"Convolution","conv3_3",16656.,0,0,0,0,1849688064,256,56,56,256,56,56,"",3,3,1,1,1,1,111052.35734870317
25,"Convolution","conv5_1",3020.,0,0,0,0,462422016,512,14,14,512,14,14,"",3,3,1,1,1,1,153119.87284768213
27,"Convolution","conv5_2",3190.,0,0,0,0,462422016,512,14,14,512,14,14,"",3,3,1,1,1,1,144959.87962382447
29,"Convolution","conv5_3",5069.,0,0,0,0,462422016,512,14,14,512,14,14,"",3,3,1,1,1,1,91225.49141842572
20,"Convolution","conv4_2",12813.,0,0,0,0,1849688064,512,28,28,512,28,28,"",3,3,1,1,1,1,144360.26410676658
22,"Convolution","conv4_3",12839.,0,0,0,0,1849688064,512,28,28,512,28,28,"",3,3,1,1,1,1,144067.9230469663
35,"Dropout","drop6",174.,0,0,0,0,4096,4096,"","",4096,"","","","","","","","","",23.54022988505747
38,"Dropout","drop7",174.,0,0,0,0,4096,4096,"","",4096,"","","","","","","","","",23.54022988505747
4,"Elementwise","relu1_2",16654.,0,0,3211264,0,3211264,64,224,224,64,224,224,"Ramp","","","","","","",192.8223850126096
2,"Elementwise","relu1_1",16688.,0,0,3211264,0,3211264,64,224,224,64,224,224,"Ramp","","","","","","",192.42953020134226
7,"Elementwise","relu2_1",7107.,0,0,1605632,0,1605632,128,112,112,128,112,112,"Ramp","","","","","","",225.92261150977907
9,"Elementwise","relu2_2",7130.,0,0,1605632,0,1605632,128,112,112,128,112,112,"Ramp","","","","","","",225.19382889200563
16,"Elementwise","relu3_3",3065.,0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",261.93017944535075
12,"Elementwise","relu3_1",3080.,0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",260.6545454545454
14,"Elementwise","relu3_2",3095.,0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",259.3912762520194
26,"Elementwise","relu5_1",480.,0,0,100352,0,100352,512,14,14,512,14,14,"Ramp","","","","","","",209.06666666666666
28,"Elementwise","relu5_2",509.,0,0,100352,0,100352,512,14,14,512,14,14,"Ramp","","","","","","",197.15520628683691
30,"Elementwise","relu5_3",510.,0,0,100352,0,100352,512,14,14,512,14,14,"Ramp","","","","","","",196.76862745098038
23,"Elementwise","relu4_3",1354.,0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",296.4608567208272
19,"Elementwise","relu4_1",1423.,0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",282.0857343640197
21,"Elementwise","relu4_2",1425.,0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",281.6898245614035
34,"Elementwise","relu6",176.,0,0,4096,0,4096,4096,"","",4096,"","","Ramp","","","","","","",23.272727272727273
37,"Elementwise","relu7",176.,0,0,4096,0,4096,4096,"","",4096,"","","Ramp","","","","","","",23.272727272727273
32,"Flatten","flatten_0",254.,0,0,0,0,0,512,7,7,25088,"","","","","","","","","",0.
39,"Linear","fc8",397.,0,0,0,0,4096000,4096,"","",1000,"","","","","","","","","",10317.380352644836
36,"Linear","fc7",1547.,0,0,0,0,16777216,4096,"","",4096,"","","","","","","","","",10845.00064641241
33,"Linear","fc6",8200.,0,0,0,0,102760448,25088,"","",4096,"","","","","","","","","",12531.761951219512
5,"Pooling","pool1",9255.,0,0,3211264,0,0,64,224,224,64,112,112,"Max",2,2,2,2,"","",0.
10,"Pooling","pool2",4039.,0,0,1605632,0,0,128,112,112,128,56,56,"Max",2,2,2,2,"","",0.
17,"Pooling","pool3",1969.,0,0,802816,0,0,256,56,56,256,28,28,"Max",2,2,2,2,"","",0.
31,"Pooling","pool5",569.,0,0,100352,0,0,512,14,14,512,7,7,"Max",2,2,2,2,"","",0.
24,"Pooling","pool4",1068.,0,0,401408,0,0,512,28,28,512,14,14,"Max",2,2,2,2,"","",0.
40,"Softmax","prob",181.,1000,1000,0,1000,0,1000,"","",1000,"","","","","","","","","",0.
