"index","name","time"
1,"Ademxapp_Model_A_Trained_on_ImageNet_Competition_Data",787217.16
2,"Age_Estimation_VGG-16_Trained_on_IMDB-WIKI_and_Looking_at_People_Data",169968.96
3,"Age_Estimation_VGG-16_Trained_on_IMDB-WIKI_Data",169094.94
4,"CapsNet_Trained_on_MNIST_Data",155225.76
5,"Gender_Prediction_VGG-16_Trained_on_IMDB-WIKI_Data",171010.22
6,"Inception_V1_Trained_on_Extended_Salient_Object_Subitizing_Data",52472.3
7,"Inception_V1_Trained_on_ImageNet_Competition_Data",52595.96
8,"Inception_V1_Trained_on_Places365_Data",52372.4
9,"Inception_V3_Trained_on_ImageNet_Competition_Data",101341.24
10,"LeNet_Trained_on_MNIST_Data",896.3000000000001
11,"MobileNet_V2_Trained_on_ImageNet_Competition_Data",54957.06
12,"ResNet-101_Trained_on_ImageNet_Competition_Data",81476.96
13,"ResNet-101_Trained_on_YFCC100m_Geotagged_Data",93141.92
14,"ResNet-152_Trained_on_ImageNet_Competition_Data",116072.68000000001
15,"ResNet-50_Trained_on_ImageNet_Competition_Data",51511.6
16,"SqueezeNet_V1.1_Trained_on_ImageNet_Competition_Data",17928.96
17,"VGG-16_Trained_on_ImageNet_Competition_Data",169746.86000000002
18,"VGG-19_Trained_on_ImageNet_Competition_Data",195454.34
19,"Wide_ResNet-50-2_Trained_on_ImageNet_Competition_Data",97030.78
20,"Wolfram_ImageIdentify_Net_V1",43706.82
21,"Yahoo_Open_NSFW_Model_V1",30448.38
