"index","kind","name","time","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","constant_input_overhead","constant_output_overhead","mad/time"
1,"Convolution","conv1_1",15556.,0,0,0,0,86704128,3,224,224,64,224,224,"",3,3,1,1,1,1,1838.,39722.,5573.677552069941
6,"Convolution","conv2_1",16054.,0,0,0,0,924844032,64,112,112,128,112,112,"",3,3,1,1,1,1,9354.,19442.,57608.323906814505
3,"Convolution","conv1_2",50053.,0,0,0,0,1849688064,64,224,224,64,224,224,"",3,3,1,1,1,1,39697.,39758.,36954.58941521987
11,"Convolution","conv3_1",8900.,0,0,0,0,924844032,128,56,56,256,56,56,"",3,3,1,1,1,1,4710.,9348.,103915.0597752809
8,"Convolution","conv2_2",26248.,0,0,0,0,1849688064,128,112,112,128,112,112,"",3,3,1,1,1,1,19414.,19440.,70469.67631819566
18,"Convolution","conv4_1",6505.,0,0,0,0,924844032,256,28,28,512,28,28,"",3,3,1,1,1,1,2413.,4710.,142174.3323597233
15,"Convolution","conv3_3",15374.,0,0,0,0,1849688064,256,56,56,256,56,56,"",3,3,1,1,1,1,9350.,9366.,120312.73995056588
13,"Convolution","conv3_2",15391.,0,0,0,0,1849688064,256,56,56,256,56,56,"",3,3,1,1,1,1,9344.,9347.,120179.84952244819
27,"Convolution","conv5_2",2935.,0,0,0,0,462422016,512,14,14,512,14,14,"",3,3,1,1,1,1,1227.,1226.,157554.3495741056
25,"Convolution","conv5_1",2939.,0,0,0,0,462422016,512,14,14,512,14,14,"",3,3,1,1,1,1,1265.,1265.,157339.91697856414
29,"Convolution","conv5_3",2946.,0,0,0,0,462422016,512,14,14,512,14,14,"",3,3,1,1,1,1,1227.,1225.,156966.06109979632
20,"Convolution","conv4_2",12135.,0,0,0,0,1849688064,512,28,28,512,28,28,"",3,3,1,1,1,1,4715.,4711.,152425.8808405439
22,"Convolution","conv4_3",12148.,0,0,0,0,1849688064,512,28,28,512,28,28,"",3,3,1,1,1,1,4709.,4708.,152262.76457029962
35,"Dropout","drop6",173.,0,0,0,0,4096,4096,"","",4096,"","","","","","","","","",117.,116.,23.67630057803468
38,"Dropout","drop7",178.,0,0,0,0,4096,4096,"","",4096,"","","","","","","","","",117.,116.,23.01123595505618
2,"Elementwise","relu1_1",17068.,0,0,3211264,0,3211264,64,224,224,64,224,224,"Ramp","","","","","","",39727.,39728.,188.14530114834778
4,"Elementwise","relu1_2",17203.,0,0,3211264,0,3211264,64,224,224,64,224,224,"Ramp","","","","","","",39767.,39751.,186.66883683078532
9,"Elementwise","relu2_2",7224.,0,0,1605632,0,1605632,128,112,112,128,112,112,"Ramp","","","","","","",19371.,19430.,222.26356589147287
7,"Elementwise","relu2_1",7327.,0,0,1605632,0,1605632,128,112,112,128,112,112,"Ramp","","","","","","",19397.,19419.,219.1390746553842
14,"Elementwise","relu3_2",3030.,0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",9339.,9341.,264.95577557755774
16,"Elementwise","relu3_3",3032.,0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",9366.,9339.,264.7810026385224
12,"Elementwise","relu3_1",3052.,0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",9348.,9343.,263.04587155963304
26,"Elementwise","relu5_1",503.,0,0,100352,0,100352,512,14,14,512,14,14,"Ramp","","","","","","",1265.,1265.,199.506958250497
28,"Elementwise","relu5_2",512.,0,0,100352,0,100352,512,14,14,512,14,14,"Ramp","","","","","","",1226.,1222.,196.
30,"Elementwise","relu5_3",512.,0,0,100352,0,100352,512,14,14,512,14,14,"Ramp","","","","","","",1228.,1229.,196.
21,"Elementwise","relu4_2",1383.,0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",4720.,4712.,290.2443962400578
23,"Elementwise","relu4_3",1396.,0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",4713.,4708.,287.54154727793696
19,"Elementwise","relu4_1",1406.,0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",4713.,4713.,285.4964438122333
34,"Elementwise","relu6",175.,0,0,4096,0,4096,4096,"","",4096,"","","Ramp","","","","","","",118.,117.,23.405714285714286
37,"Elementwise","relu7",178.,0,0,4096,0,4096,4096,"","",4096,"","","Ramp","","","","","","",118.,117.,23.01123595505618
32,"Flatten","flatten_0",264.,0,0,0,0,0,512,7,7,25088,"","","","","","","","","",355.,355.,0.
39,"Linear","fc8_101",212.,0,0,0,0,413696,4096,"","",101,"","","","","","","","","",116.,63.,1951.3962264150944
36,"Linear","fc7",1521.,0,0,0,0,16777216,4096,"","",4096,"","","","","","","","","",117.,116.,11030.385272846812
33,"Linear","fc6",8238.,0,0,0,0,102760448,25088,"","",4096,"","","","","","","","","",355.,117.,12473.955814518087
5,"Pooling","pool1",9324.,0,0,3211264,0,0,64,224,224,64,112,112,"Max",2,2,2,2,"","",39751.,9392.,0.
10,"Pooling","pool2",4079.,0,0,1605632,0,0,128,112,112,128,56,56,"Max",2,2,2,2,"","",19420.,4712.,0.
17,"Pooling","pool3",1994.,0,0,802816,0,0,256,56,56,256,28,28,"Max",2,2,2,2,"","",9360.,2415.,0.
31,"Pooling","pool5",454.,0,0,100352,0,0,512,14,14,512,7,7,"Max",2,2,2,2,"","",1226.,353.,0.
24,"Pooling","pool4",1097.,0,0,401408,0,0,512,28,28,512,14,14,"Max",2,2,2,2,"","",4712.,1262.,0.
40,"Softmax","prob",164.,101,101,0,101,0,101,"","",101,"","","","","","","","","",64.,63.,0.
