"index","kind","name","time","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","mad/time"
19,"BatchNormalization","2b/bn2b_branch2a",788.2,200704,200704,0,0,0,64,56,56,64,56,56,"","","","","","","",0.
32,"BatchNormalization","2c/bn2c_branch2b",796.37,200704,200704,0,0,0,64,56,56,64,56,56,"","","","","","","",0.
22,"BatchNormalization","2b/bn2b_branch2b",817.1700000000001,200704,200704,0,0,0,64,56,56,64,56,56,"","","","","","","",0.
9,"BatchNormalization","2a/bn2a_branch2a",817.27,200704,200704,0,0,0,64,56,56,64,56,56,"","","","","","","",0.
12,"BatchNormalization","2a/bn2a_branch2b",827.57,200704,200704,0,0,0,64,56,56,64,56,56,"","","","","","","",0.
29,"BatchNormalization","2c/bn2c_branch2a",1167.73,200704,200704,0,0,0,64,56,56,64,56,56,"","","","","","","",0.
2,"BatchNormalization","bn_conv1",3186.37,802816,802816,0,0,0,64,112,112,64,112,112,"","","","","","","",0.
64,"BatchNormalization","3c/bn3c_branch2b",511.2,100352,100352,0,0,0,128,28,28,128,28,28,"","","","","","","",0.
74,"BatchNormalization","3d/bn3d_branch2b",533.7,100352,100352,0,0,0,128,28,28,128,28,28,"","","","","","","",0.
51,"BatchNormalization","3b/bn3b_branch2a",534.47,100352,100352,0,0,0,128,28,28,128,28,28,"","","","","","","",0.
44,"BatchNormalization","3a/bn3a_branch2b",534.73,100352,100352,0,0,0,128,28,28,128,28,28,"","","","","","","",0.
61,"BatchNormalization","3c/bn3c_branch2a",537.07,100352,100352,0,0,0,128,28,28,128,28,28,"","","","","","","",0.
71,"BatchNormalization","3d/bn3d_branch2a",537.67,100352,100352,0,0,0,128,28,28,128,28,28,"","","","","","","",0.
54,"BatchNormalization","3b/bn3b_branch2b",537.87,100352,100352,0,0,0,128,28,28,128,28,28,"","","","","","","",0.
41,"BatchNormalization","3a/bn3a_branch2a",542.,100352,100352,0,0,0,128,28,28,128,28,28,"","","","","","","",0.
83,"BatchNormalization","4a/bn4a_branch2a",360.5,50176,50176,0,0,0,256,14,14,256,14,14,"","","","","","","",0.
113,"BatchNormalization","4d/bn4d_branch2a",366.33,50176,50176,0,0,0,256,14,14,256,14,14,"","","","","","","",0.
106,"BatchNormalization","4c/bn4c_branch2b",369.53000000000003,50176,50176,0,0,0,256,14,14,256,14,14,"","","","","","","",0.
103,"BatchNormalization","4c/bn4c_branch2a",372.43,50176,50176,0,0,0,256,14,14,256,14,14,"","","","","","","",0.
96,"BatchNormalization","4b/bn4b_branch2b",372.5,50176,50176,0,0,0,256,14,14,256,14,14,"","","","","","","",0.
123,"BatchNormalization","4e/bn4e_branch2a",373.07,50176,50176,0,0,0,256,14,14,256,14,14,"","","","","","","",0.
93,"BatchNormalization","4b/bn4b_branch2a",374.07,50176,50176,0,0,0,256,14,14,256,14,14,"","","","","","","",0.
133,"BatchNormalization","4f/bn4f_branch2a",374.8,50176,50176,0,0,0,256,14,14,256,14,14,"","","","","","","",0.
86,"BatchNormalization","4a/bn4a_branch2b",374.90000000000003,50176,50176,0,0,0,256,14,14,256,14,14,"","","","","","","",0.
136,"BatchNormalization","4f/bn4f_branch2b",377.23,50176,50176,0,0,0,256,14,14,256,14,14,"","","","","","","",0.
126,"BatchNormalization","4e/bn4e_branch2b",404.63,50176,50176,0,0,0,256,14,14,256,14,14,"","","","","","","",0.
116,"BatchNormalization","4d/bn4d_branch2b",511.7,50176,50176,0,0,0,256,14,14,256,14,14,"","","","","","","",0.
25,"BatchNormalization","2b/bn2b_branch2c",3159.63,802816,802816,0,0,0,256,56,56,256,56,56,"","","","","","","",0.
15,"BatchNormalization","2a/bn2a_branch2c",3160.63,802816,802816,0,0,0,256,56,56,256,56,56,"","","","","","","",0.
7,"BatchNormalization","2a/bn2a_branch1",3169.8,802816,802816,0,0,0,256,56,56,256,56,56,"","","","","","","",0.
