"index","kind","name","time","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","mad/time"
26,"Catenate","inception_3a/output",869.,0,0,0,0,0,64,28,28,256,28,28,"","","","","","","",0.
98,"Catenate","inception_4d/output",549.,0,0,0,0,0,112,14,14,528,14,14,"","","","","","","",0.
84,"Catenate","inception_4c/output",575.,0,0,0,0,0,128,14,14,512,14,14,"","","","","","","",0.
40,"Catenate","inception_3b/output",1377.,0,0,0,0,0,128,28,28,480,28,28,"","","","","","","",0.
70,"Catenate","inception_4b/output",575.,0,0,0,0,0,160,14,14,512,14,14,"","","","","","","",0.
56,"Catenate","inception_4a/output",568.,0,0,0,0,0,192,14,14,512,14,14,"","","","","","","",0.
128,"Catenate","inception_5a/output",388.,0,0,0,0,0,256,7,7,832,7,7,"","","","","","","",0.
112,"Catenate","inception_4e/output",743.,0,0,0,0,0,256,14,14,832,14,14,"","","","","","","",0.
142,"Catenate","inception_5b/output",433.,0,0,0,0,0,384,7,7,1024,7,7,"","","","","","","",0.
6,"Convolution","conv2_3x3_reduce",884.,0,0,0,0,12845056,64,56,56,64,56,56,"",1,1,1,1,1,1,14530.60633484163
19,"Convolution","inception_3a/5x5_reduce",352.,0,0,0,0,2408448,192,28,28,16,28,28,"",1,1,1,1,1,1,6842.181818181818
24,"Convolution","inception_3a/pool_proj",378.,0,0,0,0,4816896,192,28,28,32,28,28,"",1,1,1,1,1,1,12743.11111111111
13,"Convolution","inception_3a/1x1",465.,0,0,0,0,9633792,192,28,28,64,28,28,"",1,1,1,1,1,1,20717.832258064514
15,"Convolution","inception_3a/3x3_reduce",545.,0,0,0,0,14450688,192,28,28,96,28,28,"",1,1,1,1,1,1,26515.02385321101
33,"Convolution","inception_3b/5x5_reduce",443.,0,0,0,0,6422528,256,28,28,32,28,28,"",1,1,1,1,1,1,14497.805869074491
38,"Convolution","inception_3b/pool_proj",543.,0,0,0,0,12845056,256,28,28,64,28,28,"",1,1,1,1,1,1,23655.720073664826
29,"Convolution","inception_3b/3x3_reduce",740.,0,0,0,0,25690112,256,28,28,128,28,28,"",1,1,1,1,1,1,34716.36756756757
27,"Convolution","inception_3b/1x1",745.,0,0,0,0,25690112,256,28,28,128,28,28,"",1,1,1,1,1,1,34483.371812080535
49,"Convolution","inception_4a/5x5_reduce",267.,0,0,0,0,1505280,480,14,14,16,14,14,"",1,1,1,1,1,1,5637.752808988764
54,"Convolution","inception_4a/pool_proj",332.,0,0,0,0,6021120,480,14,14,64,14,14,"",1,1,1,1,1,1,18135.90361445783
45,"Convolution","inception_4a/3x3_reduce",372.,0,0,0,0,9031680,480,14,14,96,14,14,"",1,1,1,1,1,1,24278.709677419356
43,"Convolution","inception_4a/1x1",509.,0,0,0,0,18063360,480,14,14,192,14,14,"",1,1,1,1,1,1,35487.93713163064
63,"Convolution","inception_4b/5x5_reduce",283.,0,0,0,0,2408448,512,14,14,24,14,14,"",1,1,1,1,1,1,8510.416961130742
77,"Convolution","inception_4c/5x5_reduce",287.,0,0,0,0,2408448,512,14,14,24,14,14,"",1,1,1,1,1,1,8391.80487804878
91,"Convolution","inception_4d/5x5_reduce",302.,0,0,0,0,3211264,512,14,14,32,14,14,"",1,1,1,1,1,1,10633.324503311258
82,"Convolution","inception_4c/pool_proj",347.,0,0,0,0,6422528,512,14,14,64,14,14,"",1,1,1,1,1,1,18508.72622478386
68,"Convolution","inception_4b/pool_proj",351.,0,0,0,0,6422528,512,14,14,64,14,14,"",1,1,1,1,1,1,18297.80056980057
96,"Convolution","inception_4d/pool_proj",352.,0,0,0,0,6422528,512,14,14,64,14,14,"",1,1,1,1,1,1,18245.818181818184
85,"Convolution","inception_4d/1x1",416.,0,0,0,0,11239424,512,14,14,112,14,14,"",1,1,1,1,1,1,27017.846153846156
73,"Convolution","inception_4c/3x3_reduce",436.,0,0,0,0,12845056,512,14,14,128,14,14,"",1,1,1,1,1,1,29461.1376146789
71,"Convolution","inception_4c/1x1",438.,0,0,0,0,12845056,512,14,14,128,14,14,"",1,1,1,1,1,1,29326.611872146117
87,"Convolution","inception_4d/3x3_reduce",463.,0,0,0,0,14450688,512,14,14,144,14,14,"",1,1,1,1,1,1,31210.989200863933
57,"Convolution","inception_4b/1x1",481.,0,0,0,0,16056320,512,14,14,160,14,14,"",1,1,1,1,1,1,33381.12266112266
59,"Convolution","inception_4b/3x3_reduce",561.,0,0,0,0,11239424,512,14,14,112,14,14,"",1,1,1,1,1,1,20034.623885918
105,"Convolution","inception_4e/5x5_reduce",314.,0,0,0,0,3311616,528,14,14,32,14,14,"",1,1,1,1,1,1,10546.547770700638
110,"Convolution","inception_4e/pool_proj",427.,0,0,0,0,13246464,528,14,14,128,14,14,"",1,1,1,1,1,1,31022.16393442623
101,"Convolution","inception_4e/3x3_reduce",456.,0,0,0,0,16558080,528,14,14,160,14,14,"",1,1,1,1,1,1,36311.57894736842
99,"Convolution","inception_4e/1x1",498.,0,0,0,0,26492928,528,14,14,256,14,14,"",1,1,1,1,1,1,53198.65060240963
121,"Convolution","inception_5a/5x5_reduce",239.,0,0,0,0,1304576,832,7,7,32,7,7,"",1,1,1,1,1,1,5458.476987447698
140,"Convolution","inception_5b/pool_proj",269.,0,0,0,0,5218304,832,7,7,128,7,7,"",1,1,1,1,1,1,19398.899628252788
126,"Convolution","inception_5a/pool_proj",273.,0,0,0,0,5218304,832,7,7,128,7,7,"",1,1,1,1,1,1,19114.666666666668
117,"Convolution","inception_5a/3x3_reduce",291.,0,0,0,0,6522880,832,7,7,160,7,7,"",1,1,1,1,1,1,22415.395189003437
131,"Convolution","inception_5b/3x3_reduce",299.,0,0,0,0,7827456,832,7,7,192,7,7,"",1,1,1,1,1,1,26178.782608695652
115,"Convolution","inception_5a/1x1",323.,0,0,0,0,10436608,832,7,7,256,7,7,"",1,1,1,1,1,1,32311.479876160993
135,"Convolution","inception_5b/5x5_reduce",368.,0,0,0,0,1956864,832,7,7,48,7,7,"",1,1,1,1,1,1,5317.565217391304
129,"Convolution","inception_5b/1x1",403.,0,0,0,0,15654912,832,7,7,384,7,7,"",1,1,1,1,1,1,38845.93548387097
8,"Convolution","conv2_3x3",4369.,0,0,0,0,346816512,64,56,56,192,56,56,"",3,3,1,1,1,1,79381.21126115815
47,"Convolution","inception_4a/3x3",756.,0,0,0,0,35223552,96,14,14,208,14,14,"",3,3,1,1,1,1,46592.
17,"Convolution","inception_3a/3x3",1421.,0,0,0,0,86704128,96,28,28,128,28,28,"",3,3,1,1,1,1,61016.275862068964
61,"Convolution","inception_4b/3x3",877.,0,0,0,0,44255232,112,14,14,224,14,14,"",3,3,1,1,1,1,50462.066134549605
75,"Convolution","inception_4c/3x3",1128.,0,0,0,0,57802752,128,14,14,256,14,14,"",3,3,1,1,1,1,51243.574468085106
31,"Convolution","inception_3b/3x3",2256.,0,0,0,0,173408256,128,28,28,192,28,28,"",3,3,1,1,1,1,76865.36170212766
89,"Convolution","inception_4d/3x3",1292.,0,0,0,0,73156608,144,14,14,288,14,14,"",3,3,1,1,1,1,56622.761609907124
119,"Convolution","inception_5a/3x3",432.,0,0,0,0,22579200,160,7,7,320,7,7,"",3,3,1,1,1,1,52266.666666666664
103,"Convolution","inception_4e/3x3",981.,0,0,0,0,90316800,160,14,14,320,14,14,"",3,3,1,1,1,1,92066.05504587157
133,"Convolution","inception_5b/3x3",653.,0,0,0,0,32514048,192,7,7,384,7,7,"",3,3,1,1,1,1,49791.80398162328
51,"Convolution","inception_4a/5x5",355.,0,0,0,0,3763200,16,14,14,48,14,14,"",5,5,1,1,1,1,10600.56338028169
21,"Convolution","inception_3a/5x5",579.,0,0,0,0,10035200,16,28,28,32,28,28,"",5,5,1,1,1,1,17331.95164075993
65,"Convolution","inception_4b/5x5",407.,0,0,0,0,7526400,24,14,14,64,14,14,"",5,5,1,1,1,1,18492.383292383292
79,"Convolution","inception_4c/5x5",457.,0,0,0,0,7526400,24,14,14,64,14,14,"",5,5,1,1,1,1,16469.1466083151
123,"Convolution","inception_5a/5x5",293.,0,0,0,0,5017600,32,7,7,128,7,7,"",5,5,1,1,1,1,17124.91467576792
93,"Convolution","inception_4d/5x5",455.,0,0,0,0,10035200,32,14,14,64,14,14,"",5,5,1,1,1,1,22055.384615384617
107,"Convolution","inception_4e/5x5",544.,0,0,0,0,20070400,32,14,14,128,14,14,"",5,5,1,1,1,1,36894.117647058825
35,"Convolution","inception_3b/5x5",1571.,0,0,0,0,60211200,32,28,28,96,28,28,"",5,5,1,1,1,1,38326.67091024825
137,"Convolution","inception_5b/5x5",502.,0,0,0,0,7526400,48,7,7,128,7,7,"",5,5,1,1,1,1,14992.828685258964
1,"Convolution","conv1_7x7_s2",4955.,0,0,0,0,118013952,3,224,224,64,112,112,"",7,7,2,2,1,1,23817.14470232089
144,"Dropout","pool5_drop_7x7_s1",162.,0,0,0,0,1024,1024,1,1,1024,1,1,"","","","","","","",6.320987654320987
50,"Elementwise","inception_4a/relu_5x5_reduce",167.,0,0,3136,0,3136,16,14,14,16,14,14,"Ramp","","","","","","",18.778443113772457
20,"Elementwise","inception_3a/relu_5x5_reduce",207.,0,0,12544,0,12544,16,28,28,16,28,28,"Ramp","","","","","","",60.59903381642512
64,"Elementwise","inception_4b/relu_5x5_reduce",169.,0,0,4704,0,4704,24,14,14,24,14,14,"Ramp","","","","","","",27.83431952662722
78,"Elementwise","inception_4c/relu_5x5_reduce",171.,0,0,4704,0,4704,24,14,14,24,14,14,"Ramp","","","","","","",27.50877192982456
122,"Elementwise","inception_5a/relu_5x5_reduce",163.,0,0,1568,0,1568,32,7,7,32,7,7,"Ramp","","","","","","",9.61963190184049
92,"Elementwise","inception_4d/relu_5x5_reduce",180.,0,0,6272,0,6272,32,14,14,32,14,14,"Ramp","","","","","","",34.84444444444445
106,"Elementwise","inception_4e/relu_5x5_reduce",188.,0,0,6272,0,6272,32,14,14,32,14,14,"Ramp","","","","","","",33.361702127659576
34,"Elementwise","inception_3b/relu_5x5_reduce",241.,0,0,25088,0,25088,32,28,28,32,28,28,"Ramp","","","","","","",104.09958506224066
25,"Elementwise","inception_3a/relu_pool_proj",262.,0,0,25088,0,25088,32,28,28,32,28,28,"Ramp","","","","","","",95.7557251908397
22,"Elementwise","inception_3a/relu_5x5",402.,0,0,25088,0,25088,32,28,28,32,28,28,"Ramp","","","","","","",62.407960199004975
136,"Elementwise","inception_5b/relu_5x5_reduce",268.,0,0,2352,0,2352,48,7,7,48,7,7,"Ramp","","","","","","",8.776119402985074
52,"Elementwise","inception_4a/relu_5x5",191.,0,0,9408,0,9408,48,14,14,48,14,14,"Ramp","","","","","","",49.25654450261781
66,"Elementwise","inception_4b/relu_5x5",196.,0,0,12544,0,12544,64,14,14,64,14,14,"Ramp","","","","","","",63.99999999999999
83,"Elementwise","inception_4c/relu_pool_proj",198.,0,0,12544,0,12544,64,14,14,64,14,14,"Ramp","","","","","","",63.35353535353536
69,"Elementwise","inception_4b/relu_pool_proj",201.,0,0,12544,0,12544,64,14,14,64,14,14,"Ramp","","","","","","",62.407960199004975
80,"Elementwise","inception_4c/relu_5x5",202.,0,0,12544,0,12544,64,14,14,64,14,14,"Ramp","","","","","","",62.0990099009901
55,"Elementwise","inception_4a/relu_pool_proj",204.,0,0,12544,0,12544,64,14,14,64,14,14,"Ramp","","","","","","",61.490196078431374
97,"Elementwise","inception_4d/relu_pool_proj",206.,0,0,12544,0,12544,64,14,14,64,14,14,"Ramp","","","","","","",60.89320388349514
