"index","kind","name","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","constant_input_overhead","constant_output_overhead","mad/time","time"
1,"Convolution","1/conv1",0,0,0,0,16257024,3,224,224,48,112,112,"",3,3,2,2,1,1,3083.,8392.,5690.242912145607,775.3333
2,"BatchNormalization","1/conv1_bn",602112,602112,0,0,0,48,112,112,48,112,112,"","","","","","","",6974.,6968.,0.,365.0333
3,"Elementwise","1/relu1",0,0,1204224,0,0,48,112,112,48,112,112,"NeuralNetworks`Private`ScalarFunctionObject[{NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[3], <|NeuralNetworks`Private`ScalarSymbol[2] -> {Max, 0., NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[3] -> {Min, 6., NeuralNetworks`Private`ScalarSymbol[2]}|>]","","","","","","",6967.,6959.,0.,835.6333000000001
4,"Convolution","2_1/1/conv2_1_dwise",0,0,0,0,5419008,48,112,112,48,112,112,"",3,3,1,1,1,1,6981.,6963.,725.2419700214133,4971.3
5,"BatchNormalization","2_1/1/conv2_1_dwise_bn",602112,602112,0,0,0,48,112,112,48,112,112,"","","","","","","",6975.,6959.,0.,246.60000000000002
6,"Elementwise","2_1/1/relu2_1_dwise",0,0,1204224,0,0,48,112,112,48,112,112,"NeuralNetworks`Private`ScalarFunctionObject[{NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[3], <|NeuralNetworks`Private`ScalarSymbol[2] -> {Max, 0., NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[3] -> {Min, 6., NeuralNetworks`Private`ScalarSymbol[2]}|>]","","","","","","",6967.,6976.,0.,468.5
7,"Convolution","2_1/2/conv2_1_linear",0,0,0,0,14450688,48,112,112,24,112,112,"",1,1,1,1,1,1,6966.,3525.,9803.723202170962,297.5667
8,"BatchNormalization","2_1/2/conv2_1_linear_bn",301056,301056,0,0,0,24,112,112,24,112,112,"","","","","","","",3520.,3523.,0.,155.1
9,"Convolution","2_2/1/conv2_2_expand",0,0,0,0,43352064,24,112,112,144,112,112,"",1,1,1,1,1,1,3515.,21947.,6248.495820121073,871.0333
10,"BatchNormalization","2_2/1/conv2_2_expand_bn",1806336,1806336,0,0,0,144,112,112,144,112,112,"","","","","","","",21913.,21898.,0.,701.8667
11,"Elementwise","2_2/1/relu2_2_expand",0,0,3612672,0,0,144,112,112,144,112,112,"NeuralNetworks`Private`ScalarFunctionObject[{NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[3], <|NeuralNetworks`Private`ScalarSymbol[2] -> {Max, 0., NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[3] -> {Min, 6., NeuralNetworks`Private`ScalarSymbol[2]}|>]","","","","","","",21880.,21898.,0.,1341.
12,"Convolution","2_2/2/conv2_2_dwise",0,0,0,0,4064256,144,112,112,144,56,56,"",3,3,2,2,1,1,21906.,5249.,452.237231556693,6566.5333
13,"BatchNormalization","2_2/2/conv2_2_dwise_bn",451584,451584,0,0,0,144,56,56,144,56,56,"","","","","","","",5243.,5246.,0.,282.2667
14,"Elementwise","2_2/2/relu2_2_dwise",0,0,903168,0,0,144,56,56,144,56,56,"NeuralNetworks`Private`ScalarFunctionObject[{NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[3], <|NeuralNetworks`Private`ScalarSymbol[2] -> {Max, 0., NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[3] -> {Min, 6., NeuralNetworks`Private`ScalarSymbol[2]}|>]","","","","","","",5250.,5244.,0.,357.1
15,"Convolution","2_2/3/conv2_2_linear",0,0,0,0,14450688,144,56,56,32,56,56,"",1,1,1,1,1,1,5242.,1227.,17665.877750611246,193.3667
16,"BatchNormalization","2_2/3/conv2_2_linear_bn",100352,100352,0,0,0,32,56,56,32,56,56,"","","","","","","",1223.,1223.,0.,89.36670000000001
17,"Convolution","3_1/1/conv3_1_expand",0,0,0,0,19267584,32,56,56,192,56,56,"",1,1,1,1,1,1,1233.,6962.,9440.266536011759,338.43330000000003
18,"BatchNormalization","3_1/1/conv3_1_expand_bn",602112,602112,0,0,0,192,56,56,192,56,56,"","","","","","","",6964.,6977.,0.,366.36670000000004
19,"Elementwise","3_1/1/relu3_1_expand",0,0,1204224,0,0,192,56,56,192,56,56,"NeuralNetworks`Private`ScalarFunctionObject[{NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[3], <|NeuralNetworks`Private`ScalarSymbol[2] -> {Max, 0., NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[3] -> {Min, 6., NeuralNetworks`Private`ScalarSymbol[2]}|>]","","","","","","",6977.,6977.,0.,464.20000000000005
20,"Convolution","3_1/2/conv3_1_dwise",0,0,0,0,5419008,192,56,56,192,56,56,"",3,3,1,1,1,1,6979.,6976.,662.7134645958175,5063.3667000000005
21,"BatchNormalization","3_1/2/conv3_1_dwise_bn",602112,602112,0,0,0,192,56,56,192,56,56,"","","","","","","",6981.,6965.,0.,231.3667
22,"Elementwise","3_1/2/relu3_1_dwise",0,0,1204224,0,0,192,56,56,192,56,56,"NeuralNetworks`Private`ScalarFunctionObject[{NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[3], <|NeuralNetworks`Private`ScalarSymbol[2] -> {Max, 0., NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[3] -> {Min, 6., NeuralNetworks`Private`ScalarSymbol[2]}|>]","","","","","","",6979.,6981.,0.,633.7667
23,"Convolution","3_1/3/conv3_1_linear",0,0,0,0,19267584,192,56,56,32,56,56,"",1,1,1,1,1,1,6973.,1229.,19945.739130434784,139.2333
