"index","kind","name","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","constant_input_overhead","constant_output_overhead","mad/time","time"
1,"Convolution","conv1_1",0,0,0,0,86704128,3,224,224,64,224,224,"",3,3,1,1,1,1,1841.,39742.,5187.825525040387,2698.5667000000003
2,"Elementwise","relu1_1",0,0,3211264,0,3211264,64,224,224,64,224,224,"Ramp","","","","","","",39627.,39751.,188.03513291954562,1408.7333
3,"Convolution","conv1_2",0,0,0,0,1849688064,64,224,224,64,224,224,"",3,3,1,1,1,1,39626.,39771.,36935.403342718506,34043.0333
4,"Elementwise","relu1_2",0,0,3211264,0,3211264,64,224,224,64,224,224,"Ramp","","","","","","",39642.,39726.,187.793216374269,1411.2667000000001
5,"Pooling","pool1",0,0,3211264,0,0,64,224,224,64,112,112,"Max",2,2,2,2,"","",39632.,9359.,0.,3817.5
6,"Convolution","conv2_1",0,0,0,0,924844032,64,112,112,128,112,112,"",3,3,1,1,1,1,9352.,19340.,58342.419379258135,9604.1
7,"Elementwise","relu2_1",0,0,1605632,0,1605632,128,112,112,128,112,112,"Ramp","","","","","","",19360.,19348.,226.20907297830374,536.6667
8,"Convolution","conv2_2",0,0,0,0,1849688064,128,112,112,128,112,112,"",3,3,1,1,1,1,19339.,19301.,70429.42786429578,19058.3
9,"Elementwise","relu2_2",0,0,1605632,0,1605632,128,112,112,128,112,112,"Ramp","","","","","","",19341.,19307.,222.07911479944676,536.2
10,"Pooling","pool2",0,0,1605632,0,0,128,112,112,128,56,56,"Max",2,2,2,2,"","",19338.,4707.,0.,1921.0333
11,"Convolution","conv3_1",0,0,0,0,924844032,128,56,56,256,56,56,"",3,3,1,1,1,1,4705.,9349.,104632.20183278651,5758.4667
12,"Elementwise","relu3_1",0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",9349.,9338.,272.32564450474894,303.36670000000004
13,"Convolution","conv3_2",0,0,0,0,1849688064,256,56,56,256,56,56,"",3,3,1,1,1,1,9344.,9342.,120673.80375782879,11708.2
14,"Elementwise","relu3_2",0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",9339.,9344.,271.4050033806626,304.6
15,"Convolution","conv3_3",0,0,0,0,1849688064,256,56,56,256,56,56,"",3,3,1,1,1,1,9335.,9334.,120477.30502181985,11729.800000000001
16,"Elementwise","relu3_3",0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",9332.,9342.,270.85560053981106,303.4667
17,"Convolution","conv3_4",0,0,0,0,1849688064,256,56,56,256,56,56,"",3,3,1,1,1,1,9335.,9337.,120618.7195304858,11709.2333
18,"Elementwise","relu3_4",0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",9334.,9336.,272.2332994235334,305.
19,"Pooling","pool3",0,0,802816,0,0,256,56,56,256,28,28,"Max",2,2,2,2,"","",9344.,2414.,0.,1008.9333
20,"Convolution","conv4_1",0,0,0,0,924844032,256,28,28,512,28,28,"",3,3,1,1,1,1,2410.,4704.,143142.5525460455,5071.4667
21,"Elementwise","relu4_1",0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",4704.,4708.,291.72093023255815,162.13330000000002
22,"Convolution","conv4_2",0,0,0,0,1849688064,512,28,28,512,28,28,"",3,3,1,1,1,1,4714.,4707.,152715.3289299868,10310.4
23,"Elementwise","relu4_2",0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",4705.,4703.,290.8753623188406,159.4333
24,"Convolution","conv4_3",0,0,0,0,1849688064,512,28,28,512,28,28,"",3,3,1,1,1,1,4707.,4705.,152791.01800759952,10271.033300000001
25,"Elementwise","relu4_3",0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",4707.,4710.,291.9330909090909,169.26670000000001
26,"Convolution","conv4_4",0,0,0,0,1849688064,512,28,28,512,28,28,"",3,3,1,1,1,1,4706.,4710.,152892.0535625723,10291.3333
27,"Elementwise","relu4_4",0,0,401408,0,401408,512,28,28,512,28,28,"Ramp","","","","","","",4708.,4706.,292.3583394027677,169.1
28,"Pooling","pool4",0,0,401408,0,0,512,28,28,512,14,14,"Max",2,2,2,2,"","",4710.,1262.,0.,513.3333
29,"Convolution","conv5_1",0,0,0,0,462422016,512,14,14,512,14,14,"",3,3,1,1,1,1,1260.,1260.,157286.4,2481.4667
