"index","kind","name","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","constant_input_overhead","constant_output_overhead","mad/time","time"
1,"Convolution",1,0,0,0,0,288000,1,28,28,20,24,24,"",5,5,1,1,1,1,87.,286.,1116.2790697674418,58.400000000000006
2,"Elementwise",2,0,0,11520,0,11520,20,24,24,20,24,24,"Ramp","","","","","","",286.,286.,53.08755760368663,26.966700000000003
3,"Pooling",3,0,0,11520,0,0,20,24,24,20,12,12,"Max",2,2,2,2,"","",287.,126.,0.,42.
4,"Convolution",4,0,0,0,0,1600000,20,12,12,50,8,8,"",5,5,1,1,1,1,128.,133.,5755.395683453237,110.06670000000001
5,"Elementwise",5,0,0,3200,0,3200,50,8,8,50,8,8,"Ramp","","","","","","",134.,134.,17.582417582417584,28.
6,"Pooling",6,0,0,3200,0,0,50,8,8,50,4,4,"Max",2,2,2,2,"","",134.,89.,0.,39.033300000000004
7,"Flatten",7,0,0,0,0,0,50,4,4,800,"","","","","","","","","",89.,90.,0.,30.0667
8,"Linear",8,0,0,0,0,400000,800,"","",500,"","","","","","","","","",91.,84.,1923.076923076923,49.800000000000004
9,"Elementwise",9,0,0,500,0,500,500,"","",500,"","","Ramp","","","","","","",84.,86.,3.1446540880503147,30.133300000000002
10,"Linear",10,0,0,0,0,5000,500,"","",10,"","","","","","","","","",85.,71.,31.446540880503147,33.2
11,"Softmax",11,10,10,0,10,0,10,"","",10,"","","","","","","","","",73.,66.,0.,30.3667
