"index","kind","name","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","constant_input_overhead","constant_output_overhead","mad/time","time"
1,"BatchNormalization","bn_data",150528,150528,0,0,0,3,224,224,3,224,224,"","","","","","","",1835.,1840.,0.,71.9
2,"Convolution","conv0",0,0,0,0,118013952,3,224,224,64,112,112,"",7,7,2,2,1,1,1832.,9352.,22629.712751677853,1937.2
3,"BatchNormalization","bn0",802816,802816,0,0,0,64,112,112,64,112,112,"","","","","","","",9363.,9357.,0.,286.93330000000003
4,"Elementwise","relu0",0,0,802816,0,802816,64,112,112,64,112,112,"Ramp","","","","","","",9362.,9350.,270.3994610980128,281.40000000000003
5,"Pooling","pooling0",0,0,1806336,0,0,64,112,112,64,56,56,"Max",3,3,2,2,"","",9361.,2409.,0.,1524.8333
6,"BatchNormalization","stage1_unit1/bn1",200704,200704,0,0,0,64,56,56,64,56,56,"","","","","","","",2407.,2408.,0.,88.
7,"Elementwise","stage1_unit1/relu1",0,0,200704,0,200704,64,56,56,64,56,56,"Ramp","","","","","","",2408.,2409.,253.41414141414143,80.
8,"Convolution","stage1_unit1/conv1",0,0,0,0,12845056,64,56,56,64,56,56,"",1,1,1,1,1,1,2409.,2407.,15569.764848484849,82.5333
9,"BatchNormalization","stage1_unit1/bn2",200704,200704,0,0,0,64,56,56,64,56,56,"","","","","","","",2410.,2406.,0.,100.6667
10,"Elementwise","stage1_unit1/relu2",0,0,200704,0,200704,64,56,56,64,56,56,"Ramp","","","","","","",2406.,2409.,265.83311258278144,92.03330000000001
11,"Convolution","stage1_unit1/conv2",0,0,0,0,115605504,64,56,56,64,56,56,"",3,3,1,1,1,1,2404.,2405.,41780.088182146734,1755.2333
12,"BatchNormalization","stage1_unit1/bn3",200704,200704,0,0,0,64,56,56,64,56,56,"","","","","","","",2408.,2407.,0.,99.06670000000001
13,"Elementwise","stage1_unit1/relu3",0,0,200704,0,200704,64,56,56,64,56,56,"Ramp","","","","","","",2406.,2405.,266.539176626826,93.9333
14,"Convolution","stage1_unit1/conv3",0,0,0,0,51380224,64,56,56,256,56,56,"",1,1,1,1,1,1,2406.,9354.,21031.610315186244,249.60000000000002
15,"Convolution","stage1_unit1/sc",0,0,0,0,51380224,64,56,56,256,56,56,"",1,1,1,1,1,1,2406.,9335.,21205.21007016096,250.9
16,"Threading","stage1_unit1/_plus_stage1_unit1",1605632,0,0,0,0,256,56,56,256,56,56,"Plus","","","","","","",9346.,9342.,0.,401.9667
17,"BatchNormalization","stage1_unit2/bn1",802816,802816,0,0,0,256,56,56,256,56,56,"","","","","","","",9354.,9349.,0.,474.
18,"Elementwise","stage1_unit2/relu1",0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",9360.,9342.,277.98337950138506,282.7
19,"Convolution","stage1_unit2/conv1",0,0,0,0,51380224,256,56,56,64,56,56,"",1,1,1,1,1,1,9349.,2408.,39432.25172678434,218.
20,"BatchNormalization","stage1_unit2/bn2",200704,200704,0,0,0,64,56,56,64,56,56,"","","","","","","",2407.,2408.,0.,101.9
21,"Elementwise","stage1_unit2/relu2",0,0,200704,0,200704,64,56,56,64,56,56,"Ramp","","","","","","",2409.,2408.,262.70157068062827,94.06670000000001
22,"Convolution","stage1_unit2/conv2",0,0,0,0,115605504,64,56,56,64,56,56,"",3,3,1,1,1,1,2409.,2406.,47109.007334963324,1770.9
23,"BatchNormalization","stage1_unit2/bn3",200704,200704,0,0,0,64,56,56,64,56,56,"","","","","","","",2408.,2412.,0.,101.9333
24,"Elementwise","stage1_unit2/relu3",0,0,200704,0,200704,64,56,56,64,56,56,"Ramp","","","","","","",2405.,2411.,260.9934980494148,92.56670000000001
25,"Convolution","stage1_unit2/conv3",0,0,0,0,51380224,64,56,56,256,56,56,"",1,1,1,1,1,1,2409.,9347.,21023.004909983636,246.9667
26,"Threading","stage1_unit2/_plus_stage1_unit2",1605632,0,0,0,0,256,56,56,256,56,56,"Plus","","","","","","",9353.,9347.,0.,396.93330000000003
27,"BatchNormalization","stage1_unit3/bn1",802816,802816,0,0,0,256,56,56,256,56,56,"","","","","","","",9334.,9343.,0.,289.1
28,"Elementwise","stage1_unit3/relu1",0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",9348.,9351.,268.77000334784066,264.2333
29,"Convolution","stage1_unit3/conv1",0,0,0,0,51380224,256,56,56,64,56,56,"",1,1,1,1,1,1,9355.,2409.,39191.62776506484,225.4667
30,"BatchNormalization","stage1_unit3/bn2",200704,200704,0,0,0,64,56,56,64,56,56,"","","","","","","",2409.,2404.,0.,99.80000000000001
31,"Elementwise","stage1_unit3/relu2",0,0,200704,0,200704,64,56,56,64,56,56,"Ramp","","","","","","",2409.,2408.,260.6545454545454,91.36670000000001
32,"Convolution","stage1_unit3/conv2",0,0,0,0,115605504,64,56,56,64,56,56,"",3,3,1,1,1,1,2404.,2408.,41674.65897620764,1773.5667
33,"BatchNormalization","stage1_unit3/bn3",200704,200704,0,0,0,64,56,56,64,56,56,"","","","","","","",2411.,2408.,0.,100.1667
34,"Elementwise","stage1_unit3/relu3",0,0,200704,0,200704,64,56,56,64,56,56,"Ramp","","","","","","",2407.,2412.,258.9729032258065,90.7333
35,"Convolution","stage1_unit3/conv3",0,0,0,0,51380224,64,56,56,256,56,56,"",1,1,1,1,1,1,2407.,9345.,20776.475535786492,250.
36,"Threading","stage1_unit3/_plus_stage1_unit3",1605632,0,0,0,0,256,56,56,256,56,56,"Plus","","","","","","",9346.,9353.,0.,399.23330000000004
37,"BatchNormalization","stage2_unit1/bn1",802816,802816,0,0,0,256,56,56,256,56,56,"","","","","","","",9341.,9360.,0.,295.1667
38,"Elementwise","stage2_unit1/relu1",0,0,802816,0,802816,256,56,56,256,56,56,"Ramp","","","","","","",9340.,9343.,272.881033310673,362.1333
