"index","kind","name","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","constant_input_overhead","constant_output_overhead","mad/time","time"
1,"Convolution","conv1a",0,0,0,0,176947200,3,320,320,64,320,320,"",3,3,1,1,1,1,3633.,103286.,2283.24859996387,3704.2667
2,"Pooling","pool1",0,0,14745600,0,0,64,320,320,64,160,160,"Max",3,3,2,2,"","",103159.,19806.,0.,12617.8333
3,"BatchNormalization","2a/bn2a_branch2a",1638400,1638400,0,0,0,64,160,160,64,160,160,"","","","","","","",19798.,19808.,0.,608.6333000000001
4,"Elementwise","2a/res2a_branch2a_relu",0,0,1638400,0,1638400,64,160,160,64,160,160,"Ramp","","","","","","",19834.,19793.,225.24058289799288,580.5
5,"Convolution","2a/res2a_branch1",0,0,0,0,209715200,64,160,160,128,160,160,"",1,1,1,1,1,1,19824.,40599.,5414.240718748386,1178.6667
6,"Convolution","2a/res2a_branch2a",0,0,0,0,1887436800,64,160,160,128,160,160,"",3,3,1,1,1,1,19797.,40566.,33143.16218304418,19541.833300000002
7,"BatchNormalization","2a/bn2a_branch2b1",3276800,3276800,0,0,0,128,160,160,128,160,160,"","","","","","","",40598.,40588.,0.,1574.8667
8,"Elementwise","2a/res2a_branch2b1_relu",0,0,3276800,0,3276800,128,160,160,128,160,160,"Ramp","","","","","","",40583.,40598.,83.54068937385274,1506.1000000000001
9,"Convolution","2a/res2a_branch2b1",0,0,0,0,3774873600,128,160,160,128,160,160,"",3,3,1,1,1,1,40557.,40591.,47081.16440918956,38628.7667
10,"Threading","2a/_plus2a",6553600,0,0,0,0,128,160,160,128,160,160,"Plus","","","","","","",40582.,40587.,0.,2503.5333
11,"BatchNormalization","2b1/bn2b1_branch2a",3276800,3276800,0,0,0,128,160,160,128,160,160,"","","","","","","",40570.,40610.,0.,1619.7667000000001
12,"Elementwise","2b1/res2b1_branch2a_relu",0,0,3276800,0,3276800,128,160,160,128,160,160,"Ramp","","","","","","",40571.,40604.,83.54707937074525,1558.7667000000001
13,"Convolution","2b1/res2b1_branch2a",0,0,0,0,3774873600,128,160,160,128,160,160,"",3,3,1,1,1,1,40624.,40591.,46437.12141714848,38628.
14,"BatchNormalization","2b1/bn2b1_branch2b1",3276800,3276800,0,0,0,128,160,160,128,160,160,"","","","","","","",40564.,40599.,0.,1643.4333000000001
15,"Elementwise","2b1/res2b1_branch2b1_relu",0,0,3276800,0,3276800,128,160,160,128,160,160,"Ramp","","","","","","",40547.,40583.,81.20539254559873,1583.1333
16,"Convolution","2b1/res2b1_branch2b1",0,0,0,0,3774873600,128,160,160,128,160,160,"",3,3,1,1,1,1,40578.,40583.,48439.28653920185,38699.9
17,"Threading","2b1/_plus2b1",6553600,0,0,0,0,128,160,160,128,160,160,"Plus","","","","","","",40572.,40579.,0.,2602.5
18,"BatchNormalization","2b2/bn2b2_branch2a",3276800,3276800,0,0,0,128,160,160,128,160,160,"","","","","","","",40535.,40592.,0.,1651.2333
19,"Elementwise","2b2/res2b2_branch2a_relu",0,0,3276800,0,3276800,128,160,160,128,160,160,"Ramp","","","","","","",40576.,40576.,80.57837013721536,1579.6000000000001
20,"Convolution","2b2/res2b2_branch2a",0,0,0,0,3774873600,128,160,160,128,160,160,"",3,3,1,1,1,1,40598.,40563.,48456.074862328795,38677.3667
21,"BatchNormalization","2b2/bn2b2_branch2b1",3276800,3276800,0,0,0,128,160,160,128,160,160,"","","","","","","",40563.,40584.,0.,1648.7
22,"Elementwise","2b2/res2b2_branch2b1_relu",0,0,3276800,0,3276800,128,160,160,128,160,160,"Ramp","","","","","","",40563.,40632.,82.74329579314175,1575.4
23,"Convolution","2b2/res2b2_branch2b1",0,0,0,0,3774873600,128,160,160,128,160,160,"",3,3,1,1,1,1,40563.,40575.,48243.662295836206,38632.0333
24,"Threading","2b2/_plus2b2",6553600,0,0,0,0,128,160,160,128,160,160,"Plus","","","","","","",40598.,40579.,0.,2619.1
25,"Pooling","pool2",0,0,7372800,0,0,128,160,160,128,80,80,"Max",3,3,2,2,"","",40547.,9591.,0.,6163.6333
26,"BatchNormalization","3a/bn3a_branch2a",819200,819200,0,0,0,128,80,80,128,80,80,"","","","","","","",9573.,9547.,0.,301.8
27,"Elementwise","3a/res3a_branch2a_relu",0,0,819200,0,819200,128,80,80,128,80,80,"Ramp","","","","","","",9582.,9569.,265.8876987990912,291.8
28,"Convolution","3a/res3a_branch1",0,0,0,0,209715200,128,80,80,256,80,80,"",1,1,1,1,1,1,9585.,19785.,32524.06947890819,652.1667
29,"Convolution","3a/res3a_branch2a",0,0,0,0,1887436800,128,80,80,256,80,80,"",3,3,1,1,1,1,9591.,19827.,99385.85645832236,12131.8333
30,"BatchNormalization","3a/bn3a_branch2b1",1638400,1638400,0,0,0,256,80,80,256,80,80,"","","","","","","",19807.,19802.,0.,748.9667000000001
31,"Elementwise","3a/res3a_branch2b1_relu",0,0,1638400,0,1638400,256,80,80,256,80,80,"Ramp","","","","","","",19814.,19820.,219.30129835363402,714.1667
32,"Convolution","3a/res3a_branch2b1",0,0,0,0,3774873600,256,80,80,256,80,80,"",3,3,1,1,1,1,19831.,19819.,116869.15170278637,24747.
33,"Threading","3a/_plus3a",3276800,0,0,0,0,256,80,80,256,80,80,"Plus","","","","","","",19834.,19804.,0.,1160.1000000000001
34,"BatchNormalization","3b1/bn3b1_branch2a",1638400,1638400,0,0,0,256,80,80,256,80,80,"","","","","","","",19805.,19829.,0.,727.4333
35,"Elementwise","3b1/res3b1_branch2a_relu",0,0,1638400,0,1638400,256,80,80,256,80,80,"Ramp","","","","","","",19794.,19809.,219.1839464882943,693.1
36,"Convolution","3b1/res3b1_branch2a",0,0,0,0,3774873600,256,80,80,256,80,80,"",3,3,1,1,1,1,19841.,19815.,116977.79981406879,24772.833300000002
37,"BatchNormalization","3b1/bn3b1_branch2b1",1638400,1638400,0,0,0,256,80,80,256,80,80,"","","","","","","",19834.,19849.,0.,749.6667
38,"Elementwise","3b1/res3b1_branch2b1_relu",0,0,1638400,0,1638400,256,80,80,256,80,80,"Ramp","","","","","","",19853.,19822.,219.00815399010827,693.1667
39,"Convolution","3b1/res3b1_branch2b1",0,0,0,0,3774873600,256,80,80,256,80,80,"",3,3,1,1,1,1,19835.,19809.,116869.15170278637,24719.9667
40,"Threading","3b1/_plus3b1",3276800,0,0,0,0,256,80,80,256,80,80,"Plus","","","","","","",19797.,19804.,0.,1160.4333000000001
41,"BatchNormalization","3b2/bn3b2_branch2a",1638400,1638400,0,0,0,256,80,80,256,80,80,"","","","","","","",19824.,19803.,0.,749.4333
42,"Elementwise","3b2/res3b2_branch2a_relu",0,0,1638400,0,1638400,256,80,80,256,80,80,"Ramp","","","","","","",19810.,19819.,219.9194630872483,721.9667000000001
43,"Convolution","3b2/res3b2_branch2a",0,0,0,0,3774873600,256,80,80,256,80,80,"",3,3,1,1,1,1,19837.,19816.,116919.82902806171,24672.7667
44,"BatchNormalization","3b2/bn3b2_branch2b1",1638400,1638400,0,0,0,256,80,80,256,80,80,"","","","","","","",19832.,19821.,0.,750.9333
45,"Elementwise","3b2/res3b2_branch2b1_relu",0,0,1638400,0,1638400,256,80,80,256,80,80,"Ramp","","","","","","",19829.,19849.,218.8618755009351,720.7333
46,"Convolution","3b2/res3b2_branch2b1",0,0,0,0,3774873600,256,80,80,256,80,80,"",3,3,1,1,1,1,19828.,19812.,116840.21295035286,24743.800000000003
