"index","kind","name","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","constant_input_overhead","constant_output_overhead","mad/time","time"
1,"Convolution","conv1_7x7_s2",0,0,0,0,118013952,3,224,224,64,112,112,"",7,7,2,2,1,1,1847.,9404.,25971.38028169014,2199.4667
2,"Elementwise","conv1_relu_7x7",0,0,802816,0,802816,64,112,112,64,112,112,"Ramp","","","","","","",9395.,9405.,273.06666666666666,279.6667
3,"Padding","pool1_3x3_s2_pad",0,0,0,0,0,64,112,112,64,113,113,"","","","","","","",9365.,9549.,0.,906.0667000000001
4,"Pooling","pool1_3x3_s2",0,0,1806336,0,0,64,113,113,64,56,56,"Max",3,3,2,2,"","",9571.,2417.,0.,1533.1333
5,"LocalResponseNormalization","pool1_norm1",401408,0,0,0,0,64,56,56,64,56,56,"","","","","","","",2415.,2414.,0.,3473.0667000000003
6,"Convolution","conv2_3x3_reduce",0,0,0,0,12845056,64,56,56,64,56,56,"",1,1,1,1,1,1,2414.,2413.,13871.550755939526,149.2333
7,"Elementwise","conv2_relu_3x3_reduce",0,0,200704,0,200704,64,56,56,64,56,56,"Ramp","","","","","","",2419.,2416.,253.7345132743363,93.4667
8,"Convolution","conv2_3x3",0,0,0,0,346816512,64,56,56,192,56,56,"",3,3,1,1,1,1,2419.,7027.,65424.73344651952,2627.4
9,"Elementwise","conv2_relu_3x3",0,0,602112,0,602112,192,56,56,192,56,56,"Ramp","","","","","","",7035.,7018.,284.8211920529801,214.3333
10,"LocalResponseNormalization","conv2_norm2",1204224,0,0,0,0,192,56,56,192,56,56,"","","","","","","",7048.,7020.,0.,10421.2
11,"Padding","pool2_3x3_s2_pad",0,0,0,0,0,192,56,56,192,57,57,"","","","","","","",7040.,7276.,0.,653.6
12,"Pooling","pool2_3x3_s2",0,0,1354752,0,0,192,57,57,192,28,28,"Max",3,3,2,2,"","",7281.,1847.,0.,1186.7
13,"Convolution","inception_3a/1x1",0,0,0,0,9633792,192,28,28,64,28,28,"",1,1,1,1,1,1,1843.,685.,19987.12033195021,91.4333
14,"Elementwise","inception_3a/relu_1x1",0,0,50176,0,50176,64,28,28,64,28,28,"Ramp","","","","","","",685.,679.,145.0173410404624,47.566700000000004
15,"Convolution","inception_3a/3x3_reduce",0,0,0,0,14450688,192,28,28,96,28,28,"",1,1,1,1,1,1,1842.,970.,24872.09638554217,115.83330000000001
16,"Elementwise","inception_3a/relu_3x3_reduce",0,0,75264,0,75264,96,28,28,96,28,28,"Ramp","","","","","","",977.,975.,177.50943396226415,53.033300000000004
17,"Convolution","inception_3a/3x3",0,0,0,0,86704128,96,28,28,128,28,28,"",3,3,1,1,1,1,974.,1264.,39845.64705882353,1021.9667000000001
18,"Elementwise","inception_3a/relu_3x3",0,0,100352,0,100352,128,28,28,128,28,28,"Ramp","","","","","","",1264.,1265.,199.90438247011951,60.2333
19,"Convolution","inception_3a/5x5_reduce",0,0,0,0,2408448,192,28,28,16,28,28,"",1,1,1,1,1,1,1843.,226.,6960.832369942196,56.133300000000006
20,"Elementwise","inception_3a/relu_5x5_reduce",0,0,12544,0,12544,16,28,28,16,28,28,"Ramp","","","","","","",227.,229.,62.0990099009901,35.800000000000004
21,"Convolution","inception_3a/5x5",0,0,0,0,10035200,16,28,28,32,28,28,"",5,5,1,1,1,1,227.,378.,13274.074074074073,334.1333
22,"Elementwise","inception_3a/relu_5x5",0,0,25088,0,25088,32,28,28,32,28,28,"Ramp","","","","","","",378.,380.,96.12260536398468,32.
23,"Pooling","inception_3a/pool",0,0,1354752,0,0,192,28,28,192,28,28,"Max",3,3,1,1,"","",1841.,1842.,0.,1195.6000000000001
24,"Convolution","inception_3a/pool_proj",0,0,0,0,4816896,192,28,28,32,28,28,"",1,1,1,1,1,1,1840.,376.,12576.751958224544,84.1333
25,"Elementwise","inception_3a/relu_pool_proj",0,0,25088,0,25088,32,28,28,32,28,28,"Ramp","","","","","","",378.,381.,97.61867704280155,41.
26,"Catenate","inception_3a/output",0,0,0,0,0,64,28,28,256,28,28,"","","","","","","",684.,2415.,0.,124.86670000000001
27,"Convolution","inception_3b/1x1",0,0,0,0,25690112,256,28,28,128,28,28,"",1,1,1,1,1,1,2417.,1264.,34253.48266666666,162.4333
