"index","kind","name","add_flops","div_flops","comp_flops","exp_flops","mad_flops","input_channel","input_height","input_width","output_channel","output_height","output_width","function","kernel_1","kernel_2","stride_1","stride_2","dilation_1","dilation_2","constant_input_overhead","constant_output_overhead","mad/time","time"
1,"Convolution","ReLUConv1/1",0,0,0,0,8294400,1,28,28,256,20,20,"",9,9,1,1,1,1,138.,2126.,14551.578947368422,153.8
2,"Elementwise","ReLUConv1/2",0,0,102400,0,102400,256,20,20,256,20,20,"Ramp","","","","","","",2132.,2129.,201.57480314960628,58.2333
3,"Convolution","PrimaryCaps/1",0,0,0,0,191102976,256,20,20,256,6,6,"",9,9,2,2,1,1,2128.,307.,79725.89737171464,2061.3333000000002
4,"Transpose","PrimaryCaps/2",0,0,0,0,0,256,6,6,6,6,256,"","","","","","","",303.,303.,0.,105.6333
5,"Reshape","PrimaryCaps/3",0,0,0,0,0,6,6,256,1152,8,"","","","","","","","",303.,303.,0.,26.
6,"Elementwise","PrimaryCaps/4/1",0,0,0,0,9216,1152,8,"",1152,8,"","NeuralNetworks`Private`ScalarFunctionObject[{NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[2], <|NeuralNetworks`Private`ScalarSymbol[2] -> {Power, NeuralNetworks`Private`ScalarSymbol[1], 2.}|>]","","","","","","",234.,233.,45.850746268656714,26.2333
7,"Aggregation","PrimaryCaps/4/2",9216,0,0,0,0,1152,8,"",1152,"","","Total","","","","","","",232.,87.,0.,216.13330000000002
8,"Elementwise","PrimaryCaps/4/3",1152,1152,0,1152,0,1152,"","",1152,"","","NeuralNetworks`Private`ScalarFunctionObject[{NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[5], <|NeuralNetworks`Private`ScalarSymbol[2] -> {Sqrt, NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[3] -> {Plus, 1., NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[4] -> {Power, NeuralNetworks`Private`ScalarSymbol[3], -1.}, NeuralNetworks`Private`ScalarSymbol[5] -> {Times, NeuralNetworks`Private`ScalarSymbol[2], NeuralNetworks`Private`ScalarSymbol[4]}|>]","","","","","","",86.,85.,0.,47.4667
9,"Replicate","PrimaryCaps/4/4",0,0,0,0,0,1152,"","",1152,8,"","","","","","","","",84.,174.,0.,296.5333
10,"Threading","PrimaryCaps/4/5",0,0,0,0,18432,1152,8,"",1152,8,"","Times","","","","","","",175.,175.,80.84210526315789,25.8667
11,"ConstantArray","PrimaryPredVects/2",0,0,0,0,0,"KeyAbsent",1,"",1152,10,16,"","","","","","","",0.,2422.,0.,14894.9333
12,"Replicate","PrimaryPredVects/1",0,0,0,0,0,1152,8,"",1152,10,16,"","","","","","","",237.,2416.,0.,44712.1
13,"Threading","PrimaryPredVects/3",0,0,0,0,2949120,1152,10,16,1152,10,16,"Times","","","","","","",2411.,2417.,354.58939521462065,748.4333
14,"Aggregation","PrimaryPredVects/4",1474560,0,0,0,0,1152,10,16,1152,10,16,"Total","","","","","","",2410.,2414.,0.,29847.4333
15,"Replicate","DynamicRouting/1",0,0,0,0,0,1152,10,16,2,1152,10,"","","","","","","",2412.,409.,0.,10673.8667
16,"Reshape","DynamicRouting/2/Net/capsule/c/1",0,0,0,0,0,11520,"","",1152,10,"","","","","","","","",265.,265.,0.,27.166700000000002
17,"Softmax","DynamicRouting/2/Net/capsule/c/2",11520,11520,0,11520,0,1152,10,"",1152,10,"","","","","","","","",266.,204.,0.,224.0333
18,"Replicate","DynamicRouting/2/Net/capsule/s/1",0,0,0,0,0,1152,10,"",1152,10,16,"","","","","","","",206.,2190.,0.,5396.8667000000005
19,"Threading","DynamicRouting/2/Net/capsule/s/2",0,0,0,0,368640,1152,10,16,1152,10,16,"Times","","","","","","",2186.,2187.,436.77725118483414,102.36670000000001
20,"Aggregation","DynamicRouting/2/Net/capsule/s/3",184320,0,0,0,0,1152,10,16,10,16,"","Total","","","","","","",2185.,68.,0.,3490.8333000000002
21,"Elementwise","DynamicRouting/2/Net/capsule/v/1",0,0,0,0,160,10,16,"",10,16,"","NeuralNetworks`Private`ScalarFunctionObject[{NeuralNetworks`Private`ScalarSymbol[1]}, NeuralNetworks`Private`ScalarSymbol[2], <|NeuralNetworks`Private`ScalarSymbol[2] -> {Power, NeuralNetworks`Private`ScalarSymbol[1], 2.}|>]","","","","","","",68.,69.,1.0062893081761006,22.7333
22,"Aggregation","DynamicRouting/2/Net/capsule/v/2",160,0,0,0,0,10,16,"",10,"","","Total","","","","","","",66.,66.,0.,29.6
